lonchura_striata ENSLSDG00000005393
taeniopygia_guttata ENSTGUG00000012070
serinus_canaria ENSSCAG00000000070
parus_major ENSPMJG00000015299
cyanistes_caeruleus ENSCCEG00000012259
junco_hyemalis ENSJHYG00000017472
zonotrichia_albicollis ENSZALG00000007308
ficedula_albicollis ENSFALG00000010760
manacus_vitellinus ENSMVIG00005018109
lepidothrix_coronata ENSLCOG00000016157
calidris_pygmaea ENSCPGG00000014663
calidris_pugnax ENSCPUG00000009277
melopsittacus_undulatus ENSMUNG00000011411
gallus_gallus ENSGALG00000041120
coturnix_japonica ENSCJPG00005009396
meleagris_gallopavo ENSMGAG00000013447
numida_meleagris ENSNMEG00000008215
anser_brachyrhynchus ENSABRG00000001472
anas_platyrhynchos ENSAPLG00000014222
dromaius_novaehollandiae ENSDNVG00000013394
crocodylus_porosus ENSCPRG00005001846
chrysemys_picta ENSCPBG00000006455
gopherus_agassizii ENSGAGG00000016613
pelodiscus_sinensis ENSPSIG00000012765
anolis_carolinensis ENSACAG00000010877
pogona_vitticeps ENSPVIG00000003250
salvator_merianae ENSSMRG00000013268
sphenodon_punctatus ENSSPUG00000004946
phascolarctos_cinereus ENSPCIG00000028383
vombatus_ursinus ENSVURG00010010931
notamacropus_eugenii ENSMEUG00000006522
monodelphis_domestica ENSMODG00000017934
sorex_araneus ENSSARG00000008754
erinaceus_europaeus ENSEEUG00000003676
capra_hircus ENSCHIG00000016378
ovis_aries ENSOARG00000010056
bos_indicus ENSBIXG00000016305
bos_indicus ENSBIXG00005008932
bos_taurus ENSBTAG00000033365
bos_mutus ENSBMUG00000017330
bison_bison ENSBBBG00000011242
tursiops_truncatus ENSTTRG00000006077
sus_scrofa ENSSSCG00000004402
vicugna_pacos ENSVPAG00000009552
pteropus_vampyrus ENSPVAG00000011155
myotis_lucifugus ENSMLUG00000001821
ailuropoda_melanoleuca ENSAMEG00000003450
ursus_maritimus ENSUMAG00000025494
neovison_vison ENSNVIG00000005328
mustela_putorius ENSMPUG00000010099
canis_lupus ENSCAFG00020018485
canis_lupus ENSCAFG00000003873
vulpes_vulpes ENSVVUG00000006472
panthera_pardus ENSPPRG00000005676
panthera_tigris ENSPTIG00000006391
felis_catus ENSFCAG00000001657
equus_caballus ENSECAG00000007283
equus_asinus ENSEASG00005006695
microtus_ochrogaster ENSMOCG00000000140
peromyscus_maniculatus ENSPEMG00000018932
cricetulus_griseus ENSCGRG00015026224
