dromaius_novaehollandiae ENSDNVG00000010030
nothoprocta_perdicaria ENSNPEG00000006081
calidris_pugnax ENSCPUG00000012480
calidris_pygmaea ENSCPGG00000012749
melopsittacus_undulatus ENSMUNG00000008190
anas_platyrhynchos_platyrhynchos ENSAPLG00000022692
anser_brachyrhynchus ENSABRG00000005336
numida_meleagris ENSNMEG00000012447
coturnix_japonica ENSCJPG00005007498
manacus_vitellinus ENSMVIG00005015946
lepidothrix_coronata ENSLCOG00000013719
lonchura_striata_domestica ENSLSDG00000015185
lonchura_striata_domestica ENSLSDG00000005233
serinus_canaria ENSSCAG00000010509
zonotrichia_albicollis ENSZALG00000000984
cyanistes_caeruleus ENSCCEG00000017444
parus_major ENSPMJG00000009284
junco_hyemalis ENSJHYG00000003775
crocodylus_porosus ENSCPRG00005015263
chrysemys_picta_bellii ENSCPBG00000005323
gopherus_agassizii ENSGAGG00000008668
notechis_scutatus ENSNSUG00000017775
