haplochromis_burtoni ENSHBUG00000011899
seriola_lalandi_dorsalis ENSSLDG00000011901
chrysemys_picta_bellii ENSCPBG00000018179
zonotrichia_albicollis ENSZALG00000003040
notechis_scutatus ENSNSUG00000006933
peromyscus_maniculatus_bairdii ENSPEMG00000026463
meriones_unguiculatus ENSMUGG00000008599
mus_spicilegus ENSMSIG00000021374
mus_spicilegus ENSMSIG00000015553
mus_spicilegus ENSMSIG00000024904
mus_spicilegus ENSMSIG00000000991
mus_spicilegus ENSMSIG00000024427
urocitellus_parryii ENSUPAG00010012922
rhinopithecus_bieti ENSRBIG00000030130
pan_paniscus ENSPPAG00000011219
cricetulus_griseus_crigri-picr ENSCGRG00015004955
mesocricetus_auratus ENSMAUG00000016526
mus_spicilegus ENSMSIG00000022717
mus_spicilegus ENSMSIG00000016700
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022119
jaculus_jaculus ENSJJAG00000011765
spermophilus_dauricus ENSSDAG00000008884
heterocephalus_glaber_male ENSHGLG00100000428
cavia_aperea ENSCAPG00000011761
mesocricetus_auratus ENSMAUG00000010138
spermophilus_dauricus ENSSDAG00000023827
colobus_angolensis_palliatus ENSCANG00000038360
macaca_fascicularis ENSMFAG00000016016
cebus_capucinus ENSCCAG00000026811
mus_spicilegus ENSMSIG00000017022
mus_spicilegus ENSMSIG00000014771
mus_spicilegus ENSMSIG00000001062
meriones_unguiculatus ENSMUGG00000019329
cavia_aperea ENSCAPG00000006961
mandrillus_leucophaeus ENSMLEG00000000209
macaca_fascicularis ENSMFAG00000029597
prolemur_simus ENSPSMG00000001259
piliocolobus_tephrosceles ENSPTEG00000008931
piliocolobus_tephrosceles ENSPTEG00000008974
macaca_fascicularis ENSMFAG00000029862
macaca_fascicularis ENSMFAG00000013274
prolemur_simus ENSPSMG00000002401
peromyscus_maniculatus_bairdii ENSPEMG00000025529
microtus_ochrogaster ENSMOCG00000022667
mus_spicilegus ENSMSIG00000020264
mus_spicilegus ENSMSIG00000024592
meriones_unguiculatus ENSMUGG00000004428
mandrillus_leucophaeus ENSMLEG00000021075
cebus_capucinus ENSCCAG00000007339
ursus_americanus ENSUAMG00000019317
bos_taurus ENSBTAG00000049167
phascolarctos_cinereus ENSPCIG00000032590
monodelphis_domestica ENSMODG00000024468
