denticeps_clupeoides ENSDCDG00000018406
clupea_harengus ENSCHAG00000000662
ictalurus_punctatus ENSIPUG00000019147
ictalurus_punctatus ENSIPUG00000019155
electrophorus_electricus ENSEEEG00000016794
electrophorus_electricus ENSEEEG00000018596
pygocentrus_nattereri ENSPNAG00000016612
pygocentrus_nattereri ENSPNAG00000019399
astyanax_mexicanus ENSAMXG00000029480
astyanax_mexicanus ENSAMXG00000038859
astyanax_mexicanus ENSAMXG00000041198
danio_rerio ENSDARG00000100946
danio_rerio ENSDARG00000086421
esox_lucius ENSELUG00000006328
esox_lucius ENSELUG00000005929
hucho_hucho ENSHHUG00000006804
hucho_hucho ENSHHUG00000028144
hucho_hucho ENSHHUG00000028126
hucho_hucho ENSHHUG00000028135
hucho_hucho ENSHHUG00000039791
esox_lucius ENSELUG00000010141
amphiprion_ocellaris ENSAOCG00000016109
amphiprion_percula ENSAPEG00000010660
acanthochromis_polyacanthus ENSAPOG00000008832
stegastes_partitus ENSSPAG00000004095
parambassis_ranga ENSPRNG00000014072
pundamilia_nyererei ENSPNYG00000004882
haplochromis_burtoni ENSHBUG00000011455
maylandia_zebra ENSMZEG00005009059
astatotilapia_calliptera ENSACLG00000006245
neolamprologus_brichardi ENSNBRG00000017417
oreochromis_niloticus ENSONIG00000015713
amphilophus_citrinellus ENSACIG00000016648
poecilia_formosa ENSPFOG00000014148
poecilia_mexicana ENSPMEG00000005484
poecilia_latipinna ENSPLAG00000017973
poecilia_reticulata ENSPREG00000004362
gambusia_affinis ENSGAFG00000019275
xiphophorus_maculatus ENSXMAG00000025602
xiphophorus_couchianus ENSXCOG00000003693
kryptolebias_marmoratus ENSKMAG00000005701
oryzias_melastigma ENSOMEG00000005062
gouania_willdenowi ENSGWIG00000003462
seriola_dumerili ENSSDUG00000003672
seriola_lalandi ENSSLDG00000012939
scophthalmus_maximus ENSSMAG00000003777
lates_calcarifer ENSLCAG00010022018
mastacembelus_armatus ENSMAMG00000001885
monopterus_albus ENSMALG00000020426
mola_mola ENSMMOG00000020360
takifugu_rubripes ENSTRUG00000021602
larimichthys_crocea ENSLCRG00005008404
cottoperca_gobio ENSCGOG00000024259
gasterosteus_aculeatus ENSGACG00000000848
labrus_bergylta ENSLBEG00000024234
hippocampus_comes ENSHCOG00000011322
cynoglossus_semilaevis ENSCSEG00000007463
anabas_testudineus ENSATEG00000001578
anabas_testudineus ENSATEG00000001584
betta_splendens ENSBSLG00000006655
betta_splendens ENSBSLG00000006698
betta_splendens ENSBSLG00000006509
periophthalmus_magnuspinnatus ENSPMGG00000021041
scleropages_formosus ENSSFOG00015022820
paramormyrops_kingsleyae ENSPKIG00000007419
lepisosteus_oculatus ENSLOCG00000013268
lepisosteus_oculatus ENSLOCG00000013266
