meriones_unguiculatus ENSMUGG00000007567
bos_taurus ENSBTAG00000052707
amphiprion_percula ENSAPEG00000000081
amphiprion_ocellaris ENSAOCG00000002613
acanthochromis_polyacanthus ENSAPOG00000018413
stegastes_partitus ENSSPAG00000008237
xiphophorus_couchianus ENSXCOG00000001324
xiphophorus_maculatus ENSXMAG00000020997
poecilia_latipinna ENSPLAG00000014548
poecilia_mexicana ENSPMEG00000004445
poecilia_reticulata ENSPREG00000009518
gambusia_affinis ENSGAFG00000016572
fundulus_heteroclitus ENSFHEG00000019737
cyprinodon_variegatus ENSCVAG00000022696
oryzias_latipes ENSORLG00000030602
oryzias_latipes ENSORLG00020000023
oryzias_latipes_asm223469v1 ENSORLG00015004290
oryzias_melastigma ENSOMEG00000019935
labrus_bergylta ENSLBEG00000026977
takifugu_rubripes ENSTRUG00000023981
seriola_lalandi_dorsalis ENSSLDG00000025590
cynoglossus_semilaevis ENSCSEG00000007366
astyanax_mexicanus ENSAMXG00000029281
pygocentrus_nattereri ENSPNAG00000011547
amphiprion_percula ENSAPEG00000017787
amphiprion_ocellaris ENSAOCG00000019393
pundamilia_nyererei ENSPNYG00000007103
haplochromis_burtoni ENSHBUG00000011572
astatotilapia_calliptera ENSACLG00000004395
maylandia_zebra ENSMZEG00005020036
neolamprologus_brichardi ENSNBRG00000009636
amphilophus_citrinellus ENSACIG00000020411
scophthalmus_maximus ENSSMAG00000006524
poecilia_mexicana ENSPMEG00000019477
ciona_intestinalis ENSCING00000018183
