oreochromis_niloticus ENSONIG00000006792
haplochromis_burtoni ENSHBUG00000001940
poecilia_latipinna ENSPLAG00000006360
poecilia_mexicana ENSPMEG00000010592
poecilia_reticulata ENSPREG00000004565
gambusia_affinis ENSGAFG00000000655
cyprinodon_variegatus ENSCVAG00000008049
oryzias_melastigma ENSOMEG00000009408
tetraodon_nigroviridis ENSTNIG00000002736
takifugu_rubripes ENSTRUG00000009141
ictalurus_punctatus ENSIPUG00000006313
chinchilla_lanigera ENSCLAG00000012327
octodon_degus ENSODEG00000012852
cavia_porcellus ENSCPOG00000038608
cavia_aperea ENSCAPG00000004913
heterocephalus_glaber_male ENSHGLG00100000846
mus_musculus ENSMUSG00000038844
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025290
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024371
mus_pahari MGP_PahariEiJ_G0025816
rattus_norvegicus ENSRNOG00000004951
mesocricetus_auratus ENSMAUG00000017233
capra_hircus ENSCHIG00000021403
ailuropoda_melanoleuca ENSAMEG00000005047
neovison_vison ENSNVIG00000014144
canis_lupus_dingo ENSCAFG00020027522
panthera_pardus ENSPPRG00000025019
panthera_tigris_altaica ENSPTIG00000006930
felis_catus ENSFCAG00000014489
equus_caballus ENSECAG00000007559
equus_asinus_asinus ENSEASG00005001852
tursiops_truncatus ENSTTRG00000006389
sorex_araneus ENSSARG00000010283
myotis_lucifugus ENSMLUG00000006574
pan_troglodytes ENSPTRG00000013269
pan_paniscus ENSPPAG00000017286
homo_sapiens ENSG00000089177
gorilla_gorilla ENSGGOG00000034900
nomascus_leucogenys ENSNLEG00000014626
rhinopithecus_roxellana ENSRROG00000045133
rhinopithecus_bieti ENSRBIG00000041283
colobus_angolensis_palliatus ENSCANG00000032622
piliocolobus_tephrosceles ENSPTEG00000036793
papio_anubis ENSPANG00000019915
theropithecus_gelada ENSTGEG00000017102
cercocebus_atys ENSCATG00000042020
mandrillus_leucophaeus ENSMLEG00000044380
macaca_mulatta ENSMMUG00000009658
macaca_nemestrina ENSMNEG00000029256
macaca_fascicularis ENSMFAG00000034145
cebus_capucinus ENSCCAG00000026372
saimiri_boliviensis_boliviensis ENSSBOG00000020816
callithrix_jacchus ENSCJAG00000004746
aotus_nancymaae ENSANAG00000038245
carlito_syrichta ENSTSYG00000011788
propithecus_coquereli ENSPCOG00000028189
prolemur_simus ENSPSMG00000000529
microcebus_murinus ENSMICG00000015229
otolemur_garnettii ENSOGAG00000002483
mus_spicilegus ENSMSIG00000025120
meriones_unguiculatus ENSMUGG00000019498
cricetulus_griseus_crigri-picr ENSCGRG00015007846
cricetulus_griseus_crigri ENSCGRG00000001781
cricetulus_griseus_chok1gshd ENSCGRG00001022622
nannospalax_galili ENSNGAG00000013803
heterocephalus_glaber_female ENSHGLG00000016849
fukomys_damarensis ENSFDAG00000015065
dipodomys_ordii ENSDORG00000005792
marmota_marmota_marmota ENSMMMG00000002150
calidris_pygmaea ENSCPGG00000016761
calidris_pugnax ENSCPUG00000018349
manacus_vitellinus ENSMVIG00005006226
lepidothrix_coronata ENSLCOG00000013464
gallus_gallus ENSGALG00000008725
coturnix_japonica ENSCJPG00005011809
anas_platyrhynchos_platyrhynchos ENSAPLG00000012639
dromaius_novaehollandiae ENSDNVG00000001662
chrysemys_picta_bellii ENSCPBG00000023271
salvator_merianae ENSSMRG00000022526
vulpes_vulpes ENSVVUG00000014146
ornithorhynchus_anatinus ENSOANG00000001236
parus_major ENSPMJG00000001425
ficedula_albicollis ENSFALG00000010872
junco_hyemalis ENSJHYG00000013444
numida_meleagris ENSNMEG00000022194
chelonoidis_abingdonii ENSCABG00000009550
xenopus_tropicalis ENSXETG00000003551
drosophila_melanogaster FBgn0004387
