equus_caballus ENSECAG00000013258
equus_asinus_asinus ENSEASG00005010833
erinaceus_europaeus ENSEEUG00000015047
erinaceus_europaeus ENSEEUG00000012568
tursiops_truncatus ENSTTRG00000014159
vicugna_pacos ENSVPAG00000000338
sus_scrofa ENSSSCG00000013227
ursus_americanus ENSUAMG00000000188
ursus_maritimus ENSUMAG00000009210
ailuropoda_melanoleuca ENSAMEG00000007634
neovison_vison ENSNVIG00000010139
mustela_putorius_furo ENSMPUG00000003932
canis_lupus_familiaris ENSCAFG00000008415
canis_lupus_dingo ENSCAFG00020025561
vulpes_vulpes ENSVVUG00000023426
panthera_pardus ENSPPRG00000022635
panthera_tigris_altaica ENSPTIG00000006244
felis_catus ENSFCAG00000009499
pteropus_vampyrus ENSPVAG00000007342
myotis_lucifugus ENSMLUG00000006745
peromyscus_maniculatus_bairdii ENSPEMG00000001992
microtus_ochrogaster ENSMOCG00000021780
cricetulus_griseus_crigri ENSCGRG00000015386
cricetulus_griseus_chok1gshd ENSCGRG00001023919
cricetulus_griseus_crigri-picr ENSCGRG00015022131
mesocricetus_auratus ENSMAUG00000009694
mus_spicilegus ENSMSIG00000027623
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024858
mus_musculus ENSMUSG00000005505
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023948
mus_pahari MGP_PahariEiJ_G0025384
rattus_norvegicus ENSRNOG00000009397
meriones_unguiculatus ENSMUGG00000014354
nannospalax_galili ENSNGAG00000000276
jaculus_jaculus ENSJJAG00000020543
dipodomys_ordii ENSDORG00000015593
castor_canadensis ENSCCNG00000020973
urocitellus_parryii ENSUPAG00010014056
ictidomys_tridecemlineatus ENSSTOG00000020864
marmota_marmota_marmota ENSMMMG00000015654
spermophilus_dauricus ENSSDAG00000007652
oryctolagus_cuniculus ENSOCUG00000006353
pan_troglodytes ENSPTRG00000003570
pan_paniscus ENSPPAG00000031866
homo_sapiens ENSG00000123444
gorilla_gorilla ENSGGOG00000013959
pongo_abelii ENSPPYG00000003300
nomascus_leucogenys ENSNLEG00000014672
colobus_angolensis_palliatus ENSCANG00000030152
piliocolobus_tephrosceles ENSPTEG00000035396
rhinopithecus_bieti ENSRBIG00000027987
rhinopithecus_roxellana ENSRROG00000043819
macaca_nemestrina ENSMNEG00000036394
macaca_fascicularis ENSMFAG00000032928
macaca_mulatta ENSMMUG00000004289
papio_anubis ENSPANG00000017205
theropithecus_gelada ENSTGEG00000024519
mandrillus_leucophaeus ENSMLEG00000028879
cercocebus_atys ENSCATG00000032867
chlorocebus_sabaeus ENSCSAG00000005797
callithrix_jacchus ENSCJAG00000020173
saimiri_boliviensis_boliviensis ENSSBOG00000030700
cebus_capucinus ENSCCAG00000020004
aotus_nancymaae ENSANAG00000029505
carlito_syrichta ENSTSYG00000002344
propithecus_coquereli ENSPCOG00000017241
prolemur_simus ENSPSMG00000019995
microcebus_murinus ENSMICG00000001087
otolemur_garnettii ENSOGAG00000028799
dasypus_novemcinctus ENSDNOG00000009543
choloepus_hoffmanni ENSCHOG00000001651
loxodonta_africana ENSLAFG00000017937
procavia_capensis ENSPCAG00000009409
bos_mutus ENSBMUG00000024643
bos_taurus ENSBTAG00000018482
bison_bison_bison ENSBBBG00000012295
ovis_aries ENSOARG00000007111
ovis_aries ENSOARG00000004387
capra_hircus ENSCHIG00000016297
echinops_telfairi ENSETEG00000008697
ochotona_princeps ENSOPRG00000003273
sorex_araneus ENSSARG00000007259
chinchilla_lanigera ENSCLAG00000016255
octodon_degus ENSODEG00000015830
cavia_porcellus ENSCPOG00000019448
cavia_aperea ENSCAPG00000012603
heterocephalus_glaber_female ENSHGLG00000016015
heterocephalus_glaber_male ENSHGLG00100016017
fukomys_damarensis ENSFDAG00000016805
sarcophilus_harrisii ENSSHAG00000017582
notamacropus_eugenii ENSMEUG00000012809
phascolarctos_cinereus ENSPCIG00000016600
monodelphis_domestica ENSMODG00000019915
ornithorhynchus_anatinus ENSOANG00000007899
cyanistes_caeruleus ENSCCEG00000002398
parus_major ENSPMJG00000000885
ficedula_albicollis ENSFALG00000006408
lonchura_striata_domestica ENSLSDG00000014685
taeniopygia_guttata ENSTGUG00000010361
serinus_canaria ENSSCAG00000003415
junco_hyemalis ENSJHYG00000010629
zonotrichia_albicollis ENSZALG00000013562
lepidothrix_coronata ENSLCOG00000012905
manacus_vitellinus ENSMVIG00005008563
calidris_pygmaea ENSCPGG00000015673
calidris_pugnax ENSCPUG00000012616
melopsittacus_undulatus ENSMUNG00000015010
gallus_gallus ENSGALG00000008089
coturnix_japonica ENSCJPG00005010839
meleagris_gallopavo ENSMGAG00000010626
numida_meleagris ENSNMEG00000009742
anser_brachyrhynchus ENSABRG00000017600
anas_platyrhynchos_platyrhynchos ENSAPLG00000008802
apteryx_haastii ENSAHAG00000017840
apteryx_rowi ENSARWG00000003445
apteryx_owenii ENSAOWG00000017121
dromaius_novaehollandiae ENSDNVG00000003940
nothoprocta_perdicaria ENSNPEG00000009441
crocodylus_porosus ENSCPRG00005017435
gopherus_agassizii ENSGAGG00000011556
chelonoidis_abingdonii ENSCABG00000004036
chrysemys_picta_bellii ENSCPBG00000016961
pelodiscus_sinensis ENSPSIG00000003906
anolis_carolinensis ENSACAG00000002052
pogona_vitticeps ENSPVIG00000022137
notechis_scutatus ENSNSUG00000017712
salvator_merianae ENSSMRG00000006338
sphenodon_punctatus ENSSPUG00000004313
xenopus_tropicalis ENSXETG00000027467
latimeria_chalumnae ENSLACG00000018996
mola_mola ENSMMOG00000001668
labrus_bergylta ENSLBEG00000014698
gasterosteus_aculeatus ENSGACG00000005255
seriola_dumerili ENSSDUG00000007244
seriola_lalandi_dorsalis ENSSLDG00000023182
scophthalmus_maximus ENSSMAG00000013783
mastacembelus_armatus ENSMAMG00000005579
monopterus_albus ENSMALG00000006496
anabas_testudineus ENSATEG00000010209
amphiprion_percula ENSAPEG00000021632
amphiprion_ocellaris ENSAOCG00000019324
acanthochromis_polyacanthus ENSAPOG00000009282
stegastes_partitus ENSSPAG00000011724
maylandia_zebra ENSMZEG00005000506
astatotilapia_calliptera ENSACLG00000014220
haplochromis_burtoni ENSHBUG00000018269
pundamilia_nyererei ENSPNYG00000014971
neolamprologus_brichardi ENSNBRG00000014991
oreochromis_niloticus ENSONIG00000015498
amphilophus_citrinellus ENSACIG00000004631
xiphophorus_maculatus ENSXMAG00000003696
xiphophorus_couchianus ENSXCOG00000003244
gambusia_affinis ENSGAFG00000020764
poecilia_formosa ENSPFOG00000010466
poecilia_mexicana ENSPMEG00000021107
poecilia_latipinna ENSPLAG00000003991
poecilia_reticulata ENSPREG00000011179
cyprinodon_variegatus ENSCVAG00000007811
fundulus_heteroclitus ENSFHEG00000021264
kryptolebias_marmoratus ENSKMAG00000020215
oryzias_latipes ENSORLG00020008336
oryzias_latipes ENSORLG00000006648
oryzias_latipes_asm223469v1 ENSORLG00015001518
oryzias_melastigma ENSOMEG00000019350
cynoglossus_semilaevis ENSCSEG00000007357
takifugu_rubripes ENSTRUG00000023881
tetraodon_nigroviridis ENSTNIG00000006550
hippocampus_comes ENSHCOG00000018709
periophthalmus_magnuspinnatus ENSPMGG00000016266
gadus_morhua ENSGMOG00000017530
esox_lucius ENSELUG00000023124
pygocentrus_nattereri ENSPNAG00000002995
astyanax_mexicanus ENSAMXG00000029227
ictalurus_punctatus ENSIPUG00000023030
danio_rerio ENSDARG00000069271
scleropages_formosus ENSSFOG00015008654
paramormyrops_kingsleyae ENSPKIG00000003656
lepisosteus_oculatus ENSLOCG00000006020
