zonotrichia_albicollis ENSZALG00000011484
junco_hyemalis ENSJHYG00000016438
lonchura_striata ENSLSDG00000000701
parus_major ENSPMJG00000000783
cyanistes_caeruleus ENSCCEG00000014944
ficedula_albicollis ENSFALG00000007484
lepidothrix_coronata ENSLCOG00000015287
melopsittacus_undulatus ENSMUNG00000014932
calidris_pugnax ENSCPUG00000011943
apteryx_rowi ENSARWG00000016623
salvator_merianae ENSSMRG00000001450
notechis_scutatus ENSNSUG00000009049
phascolarctos_cinereus ENSPCIG00000010751
notamacropus_eugenii ENSMEUG00000002289
monodelphis_domestica ENSMODG00000002164
meriones_unguiculatus ENSMUGG00000025471
latimeria_chalumnae ENSLACG00000009684
xiphophorus_maculatus ENSXMAG00000016131
xiphophorus_couchianus ENSXCOG00000005563
poecilia_formosa ENSPFOG00000010210
oryzias_latipes ENSORLG00015021636
oryzias_latipes ENSORLG00000018612
oryzias_melastigma ENSOMEG00000021106
maylandia_zebra ENSMZEG00005022720
astatotilapia_calliptera ENSACLG00000015284
pundamilia_nyererei ENSPNYG00000018778
haplochromis_burtoni ENSHBUG00000005057
neolamprologus_brichardi ENSNBRG00000011507
oreochromis_niloticus ENSONIG00000004069
mastacembelus_armatus ENSMAMG00000011047
anabas_testudineus ENSATEG00000004519
seriola_lalandi ENSSLDG00000002737
mola_mola ENSMMOG00000019105
hippocampus_comes ENSHCOG00000016928
paramormyrops_kingsleyae ENSPKIG00000001495
eptatretus_burgeri ENSEBUG00000008977
ciona_intestinalis ENSCING00000014238
ciona_savignyi ENSCSAVG00000010878
drosophila_melanogaster FBgn0267398
