ovis_aries ENSOARG00000000047
capra_hircus ENSCHIG00000025574
bos_mutus ENSBMUG00000015488
bos_taurus ENSBTAG00000048288
bison_bison_bison ENSBBBG00000001655
tursiops_truncatus ENSTTRG00000000725
sus_scrofa ENSSSCG00000007218
vicugna_pacos ENSVPAG00000000448
equus_asinus_asinus ENSEASG00005003636
equus_caballus ENSECAG00000009931
ursus_americanus ENSUAMG00000000592
ursus_maritimus ENSUMAG00000001002
ailuropoda_melanoleuca ENSAMEG00000011284
mustela_putorius_furo ENSMPUG00000017918
neovison_vison ENSNVIG00000010663
canis_lupus_dingo ENSCAFG00020004088
canis_lupus_familiaris ENSCAFG00000006980
vulpes_vulpes ENSVVUG00000008327
panthera_tigris_altaica ENSPTIG00000011706
panthera_pardus ENSPPRG00000016039
felis_catus ENSFCAG00000038375
erinaceus_europaeus ENSEEUG00000001603
sorex_araneus ENSSARG00000008352
pteropus_vampyrus ENSPVAG00000007213
myotis_lucifugus ENSMLUG00000014910
mus_musculus ENSMUSG00000074681
mus_spicilegus ENSMSIG00000027381
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025377
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024456
mus_pahari MGP_PahariEiJ_G0025900
rattus_norvegicus ENSRNOG00000023477
meriones_unguiculatus ENSMUGG00000021594
cricetulus_griseus_chok1gshd ENSCGRG00001024777
cricetulus_griseus_crigri ENSCGRG00000017481
cricetulus_griseus_crigri-picr ENSCGRG00015003882
microtus_ochrogaster ENSMOCG00000011564
peromyscus_maniculatus_bairdii ENSPEMG00000023226
jaculus_jaculus ENSJJAG00000018383
castor_canadensis ENSCCNG00000010771
spermophilus_dauricus ENSSDAG00000009647
urocitellus_parryii ENSUPAG00010018856
marmota_marmota_marmota ENSMMMG00000023834
oryctolagus_cuniculus ENSOCUG00000010202
ochotona_princeps ENSOPRG00000005051
prolemur_simus ENSPSMG00000003207
microcebus_murinus ENSMICG00000046620
propithecus_coquereli ENSPCOG00000008290
otolemur_garnettii ENSOGAG00000027515
pan_troglodytes ENSPTRG00000013137
pan_paniscus ENSPPAG00000040495
homo_sapiens ENSG00000125903
gorilla_gorilla ENSGGOG00000015870
pongo_abelii ENSPPYG00000010874
nomascus_leucogenys ENSNLEG00000009553
theropithecus_gelada ENSTGEG00000008945
papio_anubis ENSPANG00000022070
mandrillus_leucophaeus ENSMLEG00000036616
cercocebus_atys ENSCATG00000008156
chlorocebus_sabaeus ENSCSAG00000012886
macaca_nemestrina ENSMNEG00000045416
macaca_fascicularis ENSMFAG00000029355
rhinopithecus_bieti ENSRBIG00000042551
rhinopithecus_roxellana ENSRROG00000035788
colobus_angolensis_palliatus ENSCANG00000010819
piliocolobus_tephrosceles ENSPTEG00000001495
cebus_capucinus ENSCCAG00000037555
saimiri_boliviensis_boliviensis ENSSBOG00000024138
callithrix_jacchus ENSCJAG00000020824
aotus_nancymaae ENSANAG00000027950
tupaia_belangeri ENSTBEG00000000629
loxodonta_africana ENSLAFG00000017430
echinops_telfairi ENSETEG00000014934
choloepus_hoffmanni ENSCHOG00000011304
dasypus_novemcinctus ENSDNOG00000011103
