monodelphis_domestica ENSMODG00000002937
phascolarctos_cinereus ENSPCIG00000025962
pteropus_vampyrus ENSPVAG00000008045
myotis_lucifugus ENSMLUG00000009122
bos_mutus ENSBMUG00000021527
bos_taurus ENSBTAG00000021796
bison_bison_bison ENSBBBG00000012482
ovis_aries ENSOARG00000013872
capra_hircus ENSCHIG00000023049
tursiops_truncatus ENSTTRG00000008383
sus_scrofa ENSSSCG00000024329
vicugna_pacos ENSVPAG00000008966
equus_caballus ENSECAG00000014885
equus_asinus_asinus ENSEASG00005004455
ursus_maritimus ENSUMAG00000005887
ursus_americanus ENSUAMG00000022497
ailuropoda_melanoleuca ENSAMEG00000008372
neovison_vison ENSNVIG00000009061
mustela_putorius_furo ENSMPUG00000003298
canis_lupus_dingo ENSCAFG00020020834
vulpes_vulpes ENSVVUG00000021604
panthera_pardus ENSPPRG00000021054
panthera_tigris_altaica ENSPTIG00000017185
felis_catus ENSFCAG00000009640
erinaceus_europaeus ENSEEUG00000008244
sorex_araneus ENSSARG00000010075
macaca_mulatta ENSMMUG00000039520
macaca_nemestrina ENSMNEG00000030094
macaca_fascicularis ENSMFAG00000039888
mandrillus_leucophaeus ENSMLEG00000030232
theropithecus_gelada ENSTGEG00000023771
cercocebus_atys ENSCATG00000007707
papio_anubis ENSPANG00000026351
chlorocebus_sabaeus ENSCSAG00000002222
colobus_angolensis_palliatus ENSCANG00000035003
piliocolobus_tephrosceles ENSPTEG00000037844
rhinopithecus_roxellana ENSRROG00000030517
rhinopithecus_bieti ENSRBIG00000031760
pan_troglodytes ENSPTRG00000005552
pan_paniscus ENSPPAG00000043405
homo_sapiens ENSG00000157895
gorilla_gorilla ENSGGOG00000012113
pongo_abelii ENSPPYG00000005043
nomascus_leucogenys ENSNLEG00000032853
callithrix_jacchus ENSCJAG00000038625
saimiri_boliviensis_boliviensis ENSSBOG00000033295
aotus_nancymaae ENSANAG00000038481
cebus_capucinus ENSCCAG00000026073
callithrix_jacchus ENSCJAG00000048638
callithrix_jacchus ENSCJAG00000021722
cebus_capucinus ENSCCAG00000035946
aotus_nancymaae ENSANAG00000020032
cebus_capucinus ENSCCAG00000038122
saimiri_boliviensis_boliviensis ENSSBOG00000005089
carlito_syrichta ENSTSYG00000009317
prolemur_simus ENSPSMG00000002430
microcebus_murinus ENSMICG00000008728
propithecus_coquereli ENSPCOG00000025153
prolemur_simus ENSPSMG00000009091
otolemur_garnettii ENSOGAG00000009074
tupaia_belangeri ENSTBEG00000006996
heterocephalus_glaber_male ENSHGLG00100013135
heterocephalus_glaber_female ENSHGLG00000006704
fukomys_damarensis ENSFDAG00000017876
octodon_degus ENSODEG00000006506
cavia_porcellus ENSCPOG00000037839
cavia_aperea ENSCAPG00000005919
chinchilla_lanigera ENSCLAG00000014369
ictidomys_tridecemlineatus ENSSTOG00000004743
urocitellus_parryii ENSUPAG00010016694
marmota_marmota_marmota ENSMMMG00000020954
spermophilus_dauricus ENSSDAG00000001140
peromyscus_maniculatus_bairdii ENSPEMG00000010888
microtus_ochrogaster ENSMOCG00000020970
mus_spicilegus ENSMSIG00000010364
mus_pahari MGP_PahariEiJ_G0024190
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028608
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027610
mus_musculus ENSMUSG00000029559
rattus_norvegicus ENSRNOG00000001185
cricetulus_griseus_crigri ENSCGRG00000005926
cricetulus_griseus_chok1gshd ENSCGRG00001017554
cricetulus_griseus_crigri-picr ENSCGRG00015001550
mesocricetus_auratus ENSMAUG00000021072
meriones_unguiculatus ENSMUGG00000000874
nannospalax_galili ENSNGAG00000023852
jaculus_jaculus ENSJJAG00000018859
castor_canadensis ENSCCNG00000018935
ochotona_princeps ENSOPRG00000001689
oryctolagus_cuniculus ENSOCUG00000025422
dasypus_novemcinctus ENSDNOG00000000382
dasypus_novemcinctus ENSDNOG00000036314
choloepus_hoffmanni ENSCHOG00000010871
procavia_capensis ENSPCAG00000012959
loxodonta_africana ENSLAFG00000017885
ornithorhynchus_anatinus ENSOANG00000014647
gallus_gallus ENSGALG00000006965
meleagris_gallopavo ENSMGAG00000008537
anas_platyrhynchos_platyrhynchos ENSAPLG00000018598
anser_brachyrhynchus ENSABRG00000015894
lonchura_striata_domestica ENSLSDG00000000832
