loxodonta_africana ENSLAFG00000016954
procavia_capensis ENSPCAG00000014283
echinops_telfairi ENSETEG00000011120
bos_taurus ENSBTAG00000004970
bos_mutus ENSBMUG00000014845
capra_hircus ENSCHIG00000014157
ovis_aries ENSOARG00000012808
tursiops_truncatus ENSTTRG00000009916
sus_scrofa ENSSSCG00000005896
pteropus_vampyrus ENSPVAG00000015669
myotis_lucifugus ENSMLUG00000011361
ursus_americanus ENSUAMG00000006952
ailuropoda_melanoleuca ENSAMEG00000005450
canis_lupus_familiaris ENSCAFG00000028687
canis_lupus_dingo ENSCAFG00020020979
mustela_putorius_furo ENSMPUG00000006064
neovison_vison ENSNVIG00000024168
felis_catus ENSFCAG00000044531
panthera_pardus ENSPPRG00000012041
erinaceus_europaeus ENSEEUG00000005520
sorex_araneus ENSSARG00000003944
equus_caballus ENSECAG00000024309
equus_asinus_asinus ENSEASG00005010970
pan_troglodytes ENSPTRG00000042607
gorilla_gorilla ENSGGOG00000014343
pan_paniscus ENSPPAG00000030217
homo_sapiens ENSG00000254402
pongo_abelii ENSPPYG00000018986
nomascus_leucogenys ENSNLEG00000010911
theropithecus_gelada ENSTGEG00000019434
papio_anubis ENSPANG00000024704
cercocebus_atys ENSCATG00000042762
mandrillus_leucophaeus ENSMLEG00000027454
macaca_mulatta ENSMMUG00000040973
macaca_fascicularis ENSMFAG00000042615
macaca_nemestrina ENSMNEG00000042065
chlorocebus_sabaeus ENSCSAG00000008249
piliocolobus_tephrosceles ENSPTEG00000023047
colobus_angolensis_palliatus ENSCANG00000032255
rhinopithecus_roxellana ENSRROG00000031307
rhinopithecus_bieti ENSRBIG00000040946
callithrix_jacchus ENSCJAG00000021397
saimiri_boliviensis_boliviensis ENSSBOG00000024246
cebus_capucinus ENSCCAG00000024943
aotus_nancymaae ENSANAG00000036174
carlito_syrichta ENSTSYG00000036088
propithecus_coquereli ENSPCOG00000016411
prolemur_simus ENSPSMG00000024993
microcebus_murinus ENSMICG00000015954
otolemur_garnettii ENSOGAG00000013013
urocitellus_parryii ENSUPAG00010023565
ictidomys_tridecemlineatus ENSSTOG00000026151
dipodomys_ordii ENSDORG00000002299
cricetulus_griseus_crigri-picr ENSCGRG00015022096
cricetulus_griseus_crigri ENSCGRG00000005518
cricetulus_griseus_chok1gshd ENSCGRG00001015767
mesocricetus_auratus ENSMAUG00000006984
peromyscus_maniculatus_bairdii ENSPEMG00000011028
microtus_ochrogaster ENSMOCG00000019160
mus_spicilegus ENSMSIG00000024657
mus_musculus ENSMUSG00000033707
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020850
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019947
mus_pahari MGP_PahariEiJ_G0019957
rattus_norvegicus ENSRNOG00000016204
meriones_unguiculatus ENSMUGG00000012214
nannospalax_galili ENSNGAG00000001077
jaculus_jaculus ENSJJAG00000020237
castor_canadensis ENSCCNG00000011603
chinchilla_lanigera ENSCLAG00000009919
octodon_degus ENSODEG00000012173
cavia_porcellus ENSCPOG00000015568
cavia_aperea ENSCAPG00000013735
heterocephalus_glaber_female ENSHGLG00000009883
heterocephalus_glaber_male ENSHGLG00100007362
fukomys_damarensis ENSFDAG00000020196
ochotona_princeps ENSOPRG00000002675
dasypus_novemcinctus ENSDNOG00000048795
poecilia_formosa ENSPFOG00000023838
chelonoidis_abingdonii ENSCABG00000020847
gopherus_agassizii ENSGAGG00000021948
chrysemys_picta_bellii ENSCPBG00000019007
anolis_carolinensis ENSACAG00000010667
pogona_vitticeps ENSPVIG00000007791
notechis_scutatus ENSNSUG00000011869
salvator_merianae ENSSMRG00000008286
crocodylus_porosus ENSCPRG00005014021
latimeria_chalumnae ENSLACG00000002393
xenopus_tropicalis ENSXETG00000014032
scleropages_formosus ENSSFOG00015006665
paramormyrops_kingsleyae ENSPKIG00000002373
scleropages_formosus ENSSFOG00015013903
paramormyrops_kingsleyae ENSPKIG00000003391
gasterosteus_aculeatus ENSGACG00000014460
cynoglossus_semilaevis ENSCSEG00000021115
amphiprion_ocellaris ENSAOCG00000012537
amphiprion_percula ENSAPEG00000019229
acanthochromis_polyacanthus ENSAPOG00000009786
stegastes_partitus ENSSPAG00000020665
haplochromis_burtoni ENSHBUG00000003668
maylandia_zebra ENSMZEG00005014165
astatotilapia_calliptera ENSACLG00000021312
pundamilia_nyererei ENSPNYG00000019773
neolamprologus_brichardi ENSNBRG00000018860
oreochromis_niloticus ENSONIG00000009080
amphilophus_citrinellus ENSACIG00000004339
fundulus_heteroclitus ENSFHEG00000000187
cyprinodon_variegatus ENSCVAG00000009098
xiphophorus_maculatus ENSXMAG00000029449
xiphophorus_couchianus ENSXCOG00000007806
gambusia_affinis ENSGAFG00000013996
poecilia_mexicana ENSPMEG00000017621
poecilia_formosa ENSPFOG00000019481
poecilia_latipinna ENSPLAG00000014320
poecilia_reticulata ENSPREG00000022386
kryptolebias_marmoratus ENSKMAG00000020682
oryzias_latipes ENSORLG00000012498
oryzias_latipes_asm223469v1 ENSORLG00015001577
oryzias_latipes ENSORLG00020006667
oryzias_melastigma ENSOMEG00000013829
mastacembelus_armatus ENSMAMG00000015104
monopterus_albus ENSMALG00000010262
anabas_testudineus ENSATEG00000008806
seriola_lalandi_dorsalis ENSSLDG00000012199
seriola_dumerili ENSSDUG00000011196
scophthalmus_maximus ENSSMAG00000015230
takifugu_rubripes ENSTRUG00000023744
tetraodon_nigroviridis ENSTNIG00000007958
mola_mola ENSMMOG00000012626
labrus_bergylta ENSLBEG00000001316
hippocampus_comes ENSHCOG00000016473
periophthalmus_magnuspinnatus ENSPMGG00000020381
gadus_morhua ENSGMOG00000005220
esox_lucius ENSELUG00000012865
periophthalmus_magnuspinnatus ENSPMGG00000023603
hippocampus_comes ENSHCOG00000007917
takifugu_rubripes ENSTRUG00000006630
tetraodon_nigroviridis ENSTNIG00000003366
poecilia_formosa ENSPFOG00000001595
poecilia_mexicana ENSPMEG00000016015
poecilia_latipinna ENSPLAG00000013523
poecilia_reticulata ENSPREG00000020634
xiphophorus_maculatus ENSXMAG00000025938
xiphophorus_couchianus ENSXCOG00000005924
cyprinodon_variegatus ENSCVAG00000007316
kryptolebias_marmoratus ENSKMAG00000009254
oryzias_latipes ENSORLG00020007262
oryzias_latipes ENSORLG00000002470
oryzias_latipes_asm223469v1 ENSORLG00015003537
oryzias_melastigma ENSOMEG00000008541
labrus_bergylta ENSLBEG00000021688
gasterosteus_aculeatus ENSGACG00000002004
mastacembelus_armatus ENSMAMG00000022297
monopterus_albus ENSMALG00000020661
anabas_testudineus ENSATEG00000005971
mola_mola ENSMMOG00000008588
amphiprion_percula ENSAPEG00000021375
amphiprion_ocellaris ENSAOCG00000017994
acanthochromis_polyacanthus ENSAPOG00000005715
stegastes_partitus ENSSPAG00000010472
astatotilapia_calliptera ENSACLG00000020340
haplochromis_burtoni ENSHBUG00000007153
pundamilia_nyererei ENSPNYG00000004201
neolamprologus_brichardi ENSNBRG00000002265
oreochromis_niloticus ENSONIG00000007706
maylandia_zebra ENSMZEG00005017996
amphilophus_citrinellus ENSACIG00000019376
scophthalmus_maximus ENSSMAG00000004205
cynoglossus_semilaevis ENSCSEG00000019537
seriola_dumerili ENSSDUG00000006556
seriola_lalandi_dorsalis ENSSLDG00000023829
gadus_morhua ENSGMOG00000013578
esox_lucius ENSELUG00000012962
pygocentrus_nattereri ENSPNAG00000009846
astyanax_mexicanus ENSAMXG00000041915
ictalurus_punctatus ENSIPUG00000007618
danio_rerio ENSDARG00000101704
lepisosteus_oculatus ENSLOCG00000008376
notamacropus_eugenii ENSMEUG00000001872
phascolarctos_cinereus ENSPCIG00000008976
sarcophilus_harrisii ENSSHAG00000011423
monodelphis_domestica ENSMODG00000011100
