meleagris_gallopavo ENSMGAG00000008937
coturnix_japonica ENSCJPG00005003992
gallus_gallus ENSGALG00000000875
numida_meleagris ENSNMEG00000007302
anas_platyrhynchos_platyrhynchos ENSAPLG00000013635
anser_brachyrhynchus ENSABRG00000006692
calidris_pygmaea ENSCPGG00000008338
calidris_pugnax ENSCPUG00000011043
melopsittacus_undulatus ENSMUNG00000013913
zonotrichia_albicollis ENSZALG00000003871
junco_hyemalis ENSJHYG00000010921
serinus_canaria ENSSCAG00000009894
lonchura_striata_domestica ENSLSDG00000013523
taeniopygia_guttata ENSTGUG00000008329
parus_major ENSPMJG00000012050
cyanistes_caeruleus ENSCCEG00000003878
ficedula_albicollis ENSFALG00000002591
lepidothrix_coronata ENSLCOG00000014280
manacus_vitellinus ENSMVIG00005000526
apteryx_haastii ENSAHAG00000007874
apteryx_owenii ENSAOWG00000001207
apteryx_rowi ENSARWG00000000710
dromaius_novaehollandiae ENSDNVG00000001857
nothoprocta_perdicaria ENSNPEG00000005635
crocodylus_porosus ENSCPRG00005008749
chelonoidis_abingdonii ENSCABG00000014158
gopherus_agassizii ENSGAGG00000011331
chrysemys_picta_bellii ENSCPBG00000026985
ursus_americanus ENSUAMG00000020426
ursus_maritimus ENSUMAG00000017968
ailuropoda_melanoleuca ENSAMEG00000002396
mustela_putorius_furo ENSMPUG00000007891
neovison_vison ENSNVIG00000006734
canis_lupus_familiaris ENSCAFG00000020189
canis_lupus_dingo ENSCAFG00020020802
panthera_tigris_altaica ENSPTIG00000010512
panthera_pardus ENSPPRG00000003903
felis_catus ENSFCAG00000011901
equus_asinus_asinus ENSEASG00005013281
equus_caballus ENSECAG00000012186
bos_taurus ENSBTAG00000007545
bos_mutus ENSBMUG00000006177
bison_bison_bison ENSBBBG00000017628
ovis_aries ENSOARG00000003862
capra_hircus ENSCHIG00000021763
tursiops_truncatus ENSTTRG00000000154
sus_scrofa ENSSSCG00000002739
vicugna_pacos ENSVPAG00000002910
pteropus_vampyrus ENSPVAG00000010242
myotis_lucifugus ENSMLUG00000008702
erinaceus_europaeus ENSEEUG00000002126
heterocephalus_glaber_male ENSHGLG00100004314
heterocephalus_glaber_female ENSHGLG00000012919
fukomys_damarensis ENSFDAG00000010694
chinchilla_lanigera ENSCLAG00000003562
octodon_degus ENSODEG00000014074
cavia_porcellus ENSCPOG00000012158
cavia_aperea ENSCAPG00000010787
ictidomys_tridecemlineatus ENSSTOG00000022464
urocitellus_parryii ENSUPAG00010014596
spermophilus_dauricus ENSSDAG00000024125
marmota_marmota_marmota ENSMMMG00000013569
castor_canadensis ENSCCNG00000027082
dipodomys_ordii ENSDORG00000005834
cricetulus_griseus_crigri-picr ENSCGRG00015010660
