peromyscus_maniculatus ENSPEMG00000029262
cricetulus_griseus ENSCGRG00015027114
meriones_unguiculatus ENSMUGG00000011974
castor_canadensis ENSCCNG00000011762
oryctolagus_cuniculus ENSOCUG00000035771
equus_caballus ENSECAG00000035444
equus_asinus ENSEASG00005002447
bos_mutus ENSBMUG00000000327
ursus_americanus ENSUAMG00000013912
ursus_maritimus ENSUMAG00000018210
neovison_vison ENSNVIG00000008080
canis_lupus ENSCAFG00020017953
canis_lupus ENSCAFG00000048356
felis_catus ENSFCAG00000047550
piliocolobus_tephrosceles ENSPTEG00000013306
macaca_mulatta ENSMMUG00000064952
callithrix_jacchus ENSCJAG00000059354
echinops_telfairi ENSETEG00000020145
pongo_abelii ENSPPYG00000010550
tupaia_belangeri ENSTBEG00000013154
cricetulus_griseus ENSCGRG00015027109
mus_spicilegus ENSMSIG00000023576
sorex_araneus ENSSARG00000011881
loxodonta_africana ENSLAFG00000031577
echinops_telfairi ENSETEG00000007632
