parus_major ENSPMJG00000001265
coturnix_japonica ENSCJPG00005009891
notechis_scutatus ENSNSUG00000015021
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021057
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021963
ictidomys_tridecemlineatus ENSSTOG00000009113
carlito_syrichta ENSTSYG00000036757
sus_scrofa ENSSSCG00000004029
canis_lupus_dingo ENSCAFG00020019085
sarcophilus_harrisii ENSSHAG00000014127
zonotrichia_albicollis ENSZALG00000016340
manacus_vitellinus ENSMVIG00005013891
ornithorhynchus_anatinus ENSOANG00000011161
latimeria_chalumnae ENSLACG00000015585
pygocentrus_nattereri ENSPNAG00000002418
lepidothrix_coronata ENSLCOG00000006249
eptatretus_burgeri ENSEBUG00000013799
eptatretus_burgeri ENSEBUG00000009508
eptatretus_burgeri ENSEBUG00000004113
eptatretus_burgeri ENSEBUG00000010152
chelonoidis_abingdonii ENSCABG00000004854
gopherus_agassizii ENSGAGG00000003901
chrysemys_picta_bellii ENSCPBG00000019817
pelodiscus_sinensis ENSPSIG00000012197
calidris_pygmaea ENSCPGG00000008150
anas_platyrhynchos_platyrhynchos ENSAPLG00000010080
lonchura_striata_domestica ENSLSDG00000004604
apteryx_haastii ENSAHAG00000007332
apteryx_rowi ENSARWG00000010158
dromaius_novaehollandiae ENSDNVG00000003571
apteryx_owenii ENSAOWG00000011450
nothoprocta_perdicaria ENSNPEG00000006348
gallus_gallus ENSGALG00000011555
coturnix_japonica ENSCJPG00005004387
salvator_merianae ENSSMRG00000022196
anolis_carolinensis ENSACAG00000003270
sphenodon_punctatus ENSSPUG00000012200
sarcophilus_harrisii ENSSHAG00000013737
crocodylus_porosus ENSCPRG00005017579
taeniopygia_guttata ENSTGUG00000009383
pogona_vitticeps ENSPVIG00000008965
pongo_abelii ENSPPYG00000017160
heterocephalus_glaber_male ENSHGLG00100000339
mustela_putorius_furo ENSMPUG00000006368
mesocricetus_auratus ENSMAUG00000001920
nannospalax_galili ENSNGAG00000009989
chinchilla_lanigera ENSCLAG00000006238
macaca_fascicularis ENSMFAG00000044069
saimiri_boliviensis_boliviensis ENSSBOG00000036267
erinaceus_europaeus ENSEEUG00000012054
pteropus_vampyrus ENSPVAG00000015228
spermophilus_dauricus ENSSDAG00000018545
ochotona_princeps ENSOPRG00000011662
rhinopithecus_roxellana ENSRROG00000040592
nomascus_leucogenys ENSNLEG00000011478
sorex_araneus ENSSARG00000010852
procavia_capensis ENSPCAG00000007832
canis_lupus_familiaris ENSCAFG00000000772
myotis_lucifugus ENSMLUG00000002829
microtus_ochrogaster ENSMOCG00000008370
peromyscus_maniculatus_bairdii ENSPEMG00000007765
cricetulus_griseus_crigri ENSCGRG00000011540
mus_spicilegus ENSMSIG00000014232
marmota_marmota_marmota ENSMMMG00000009192
heterocephalus_glaber_male ENSHGLG00100006565
ursus_maritimus ENSUMAG00000011658
bos_mutus ENSBMUG00000022934
oryctolagus_cuniculus ENSOCUG00000004117
dipodomys_ordii ENSDORG00000008151
cavia_porcellus ENSCPOG00000003424
rhinopithecus_bieti ENSRBIG00000043656
macaca_mulatta ENSMMUG00000000428
pan_paniscus ENSPPAG00000038059
tupaia_belangeri ENSTBEG00000016809
neovison_vison ENSNVIG00000018179
ovis_aries ENSOARG00000004811
loxodonta_africana ENSLAFG00000021654
jaculus_jaculus ENSJJAG00000022765
macaca_nemestrina ENSMNEG00000043724
ailuropoda_melanoleuca ENSAMEG00000008459
heterocephalus_glaber_female ENSHGLG00000000093
heterocephalus_glaber_male ENSHGLG00100013034
heterocephalus_glaber_female ENSHGLG00000002873
rattus_norvegicus ENSRNOG00000048297
pan_troglodytes ENSPTRG00000018785
gorilla_gorilla ENSGGOG00000000733
colobus_angolensis_palliatus ENSCANG00000000415
cercocebus_atys ENSCATG00000037623
aotus_nancymaae ENSANAG00000029669
microcebus_murinus ENSMICG00000009220
papio_anubis ENSPANG00000006711
octodon_degus ENSODEG00000007408
heterocephalus_glaber_male ENSHGLG00100003547
cricetulus_griseus_chok1gshd ENSCGRG00001012114
mus_musculus ENSMUSG00000062078
