sus_scrofa ENSSSCG00000034667
ursus_maritimus ENSUMAG00000017519
piliocolobus_tephrosceles ENSPTEG00000020523
bos_taurus ENSBTAG00000054304
neovison_vison ENSNVIG00000005970
neovison_vison ENSNVIG00000005220
ursus_americanus ENSUAMG00000006392
vulpes_vulpes ENSVVUG00000005949
equus_caballus ENSECAG00000039756
peromyscus_maniculatus_bairdii ENSPEMG00000029689
mus_spicilegus ENSMSIG00000003784
microcebus_murinus ENSMICG00000048864
theropithecus_gelada ENSTGEG00000017453
piliocolobus_tephrosceles ENSPTEG00000019249
eptatretus_burgeri ENSEBUG00000001884
