dipodomys_ordii ENSDORG00000025837
castor_canadensis ENSCCNG00000013191
cricetulus_griseus ENSCGRG00001017413
cricetulus_griseus ENSCGRG00015021702
cricetulus_griseus ENSCGRG00000017332
mesocricetus_auratus ENSMAUG00000007422
microtus_ochrogaster ENSMOCG00000021536
peromyscus_maniculatus ENSPEMG00000015021
mus_spretus MGP_SPRETEiJ_G0023792
mus_spicilegus ENSMSIG00000025842
mus_musculus ENSMUSG00000052595
mus_caroli MGP_CAROLIEiJ_G0022873
mus_pahari MGP_PahariEiJ_G0014366
rattus_norvegicus ENSRNOG00000033195
meriones_unguiculatus ENSMUGG00000024355
nannospalax_galili ENSNGAG00000015136
jaculus_jaculus ENSJJAG00000011550
cavia_porcellus ENSCPOG00000009807
cavia_aperea ENSCAPG00000017386
chinchilla_lanigera ENSCLAG00000010424
heterocephalus_glaber ENSHGLG00000008955
heterocephalus_glaber ENSHGLG00100000518
fukomys_damarensis ENSFDAG00000019371
octodon_degus ENSODEG00000012177
urocitellus_parryii ENSUPAG00010010871
ictidomys_tridecemlineatus ENSSTOG00000005763
spermophilus_dauricus ENSSDAG00000019901
marmota_marmota ENSMMMG00000018647
oryctolagus_cuniculus ENSOCUG00000011587
ochotona_princeps ENSOPRG00000010667
prolemur_simus ENSPSMG00000003460
propithecus_coquereli ENSPCOG00000024172
otolemur_garnettii ENSOGAG00000012884
pongo_abelii ENSPPYG00000002819
pan_troglodytes ENSPTRG00000002508
nomascus_leucogenys ENSNLEG00000012028
rhinopithecus_roxellana ENSRROG00000041398
rhinopithecus_bieti ENSRBIG00000042892
piliocolobus_tephrosceles ENSPTEG00000037968
chlorocebus_sabaeus ENSCSAG00000007032
callithrix_jacchus ENSCJAG00000005045
tursiops_truncatus ENSTTRG00000013190
vicugna_pacos ENSVPAG00000006130
panthera_tigris ENSPTIG00000021223
panthera_pardus ENSPPRG00000012180
felis_catus ENSFCAG00000011179
sorex_araneus ENSSARG00000005940
erinaceus_europaeus ENSEEUG00000000013
echinops_telfairi ENSETEG00000012527
macaca_mulatta ENSMMUG00000007077
macaca_nemestrina ENSMNEG00000031454
theropithecus_gelada ENSTGEG00000006034
mandrillus_leucophaeus ENSMLEG00000037223
cercocebus_atys ENSCATG00000043715
papio_anubis ENSPANG00000021988
macaca_fascicularis ENSMFAG00000035948
colobus_angolensis ENSCANG00000038032
gorilla_gorilla ENSGGOG00000009670
homo_sapiens ENSG00000148584
pan_paniscus ENSPPAG00000028115
saimiri_boliviensis ENSSBOG00000021930
cebus_capucinus ENSCCAG00000018168
aotus_nancymaae ENSANAG00000019974
carlito_syrichta ENSTSYG00000001755
microcebus_murinus ENSMICG00000003377
choloepus_hoffmanni ENSCHOG00000009089
loxodonta_africana ENSLAFG00000015462
procavia_capensis ENSPCAG00000006463
dasypus_novemcinctus ENSDNOG00000002829
bos_indicus ENSBIXG00005022105
bos_indicus ENSBIXG00000013644
bos_mutus ENSBMUG00000009224
bos_taurus ENSBTAG00000021195
bison_bison ENSBBBG00000000479
capra_hircus ENSCHIG00000020411
ovis_aries ENSOARG00000013695
sus_scrofa ENSSSCG00000010431
ursus_americanus ENSUAMG00000020065
ursus_maritimus ENSUMAG00000011162
ailuropoda_melanoleuca ENSAMEG00000000523
neovison_vison ENSNVIG00000023985
mustela_putorius ENSMPUG00000016971
canis_lupus ENSCAFG00000015581
canis_lupus ENSCAFG00020026421
vulpes_vulpes ENSVVUG00000002504
equus_caballus ENSECAG00000010424
equus_asinus ENSEASG00005012924
myotis_lucifugus ENSMLUG00000016071
phascolarctos_cinereus ENSPCIG00000002175
vombatus_ursinus ENSVURG00010002982
notamacropus_eugenii ENSMEUG00000015909
sarcophilus_harrisii ENSSHAG00000005096
monodelphis_domestica ENSMODG00000016478
ornithorhynchus_anatinus ENSOANG00000007360
apteryx_haastii ENSAHAG00000013597
apteryx_owenii ENSAOWG00000017094
apteryx_rowi ENSARWG00000013829
dromaius_novaehollandiae ENSDNVG00000013846
nothoprocta_perdicaria ENSNPEG00000009983
