salvator_merianae ENSSMRG00000013760
pogona_vitticeps ENSPVIG00000019167
sphenodon_punctatus ENSSPUG00000009112
gopherus_agassizii ENSGAGG00000008426
chelonoidis_abingdonii ENSCABG00000010516
chrysemys_picta ENSCPBG00000009148
pelodiscus_sinensis ENSPSIG00000007516
apteryx_owenii ENSAOWG00000010615
apteryx_haastii ENSAHAG00000009840
apteryx_rowi ENSARWG00000004787
nothoprocta_perdicaria ENSNPEG00000014129
lonchura_striata ENSLSDG00000008762
junco_hyemalis ENSJHYG00000013201
gallus_gallus ENSGALG00000046995
coturnix_japonica ENSCJPG00005013972
anser_brachyrhynchus ENSABRG00000017901
calidris_pugnax ENSCPUG00000007670
calidris_pygmaea ENSCPGG00000016953
pteropus_vampyrus ENSPVAG00000005494
erinaceus_europaeus ENSEEUG00000010987
ailuropoda_melanoleuca ENSAMEG00000015589
ursus_americanus ENSUAMG00000025502
neovison_vison ENSNVIG00000001585
mustela_putorius ENSMPUG00000014216
canis_lupus ENSCAFG00020000815
canis_lupus ENSCAFG00000012722
vulpes_vulpes ENSVVUG00000015884
panthera_pardus ENSPPRG00000012004
panthera_tigris ENSPTIG00000005761
felis_catus ENSFCAG00000031448
capra_hircus ENSCHIG00000025508
ovis_aries ENSOARG00000009471
bos_taurus ENSBTAG00000017877
bos_indicus ENSBIXG00005018840
bos_indicus ENSBIXG00000027042
bos_mutus ENSBMUG00000020316
bison_bison ENSBBBG00000013739
tursiops_truncatus ENSTTRG00000009171
sus_scrofa ENSSSCG00000026861
vicugna_pacos ENSVPAG00000008422
equus_caballus ENSECAG00000016260
equus_asinus ENSEASG00005012036
pan_troglodytes ENSPTRG00000001567
pan_paniscus ENSPPAG00000039929
homo_sapiens ENSG00000143217
gorilla_gorilla ENSGGOG00000022856
pongo_abelii ENSPPYG00000000616
nomascus_leucogenys ENSNLEG00000035019
piliocolobus_tephrosceles ENSPTEG00000022199
colobus_angolensis ENSCANG00000035452
rhinopithecus_bieti ENSRBIG00000028515
rhinopithecus_roxellana ENSRROG00000039102
macaca_nemestrina ENSMNEG00000043450
macaca_fascicularis ENSMFAG00000037387
cercocebus_atys ENSCATG00000044865
theropithecus_gelada ENSTGEG00000006695
mandrillus_leucophaeus ENSMLEG00000040571
papio_anubis ENSPANG00000005565
chlorocebus_sabaeus ENSCSAG00000002629
macaca_mulatta ENSMMUG00000064337
saimiri_boliviensis ENSSBOG00000030566
cebus_capucinus ENSCCAG00000020380
callithrix_jacchus ENSCJAG00000005452
aotus_nancymaae ENSANAG00000024594
carlito_syrichta ENSTSYG00000008177
propithecus_coquereli ENSPCOG00000028324
microcebus_murinus ENSMICG00000041538
prolemur_simus ENSPSMG00000021286
otolemur_garnettii ENSOGAG00000006717
tupaia_belangeri ENSTBEG00000015801
castor_canadensis ENSCCNG00000013356
dipodomys_ordii ENSDORG00000004586
microtus_ochrogaster ENSMOCG00000019108
peromyscus_maniculatus ENSPEMG00000017008
cricetulus_griseus ENSCGRG00015017273
cricetulus_griseus ENSCGRG00001022510
cricetulus_griseus ENSCGRG00000002950
mesocricetus_auratus ENSMAUG00000012465
mus_musculus ENSMUSG00000006411
mus_spretus MGP_SPRETEiJ_G0015674
mus_spicilegus ENSMSIG00000024154
mus_caroli MGP_CAROLIEiJ_G0014869
mus_pahari MGP_PahariEiJ_G0028107
rattus_norvegicus ENSRNOG00000004029
meriones_unguiculatus ENSMUGG00000016486
nannospalax_galili ENSNGAG00000020500
jaculus_jaculus ENSJJAG00000020909
heterocephalus_glaber ENSHGLG00000010781
heterocephalus_glaber ENSHGLG00100004109
fukomys_damarensis ENSFDAG00000018347
chinchilla_lanigera ENSCLAG00000012315
octodon_degus ENSODEG00000009227
cavia_porcellus ENSCPOG00000015318
cavia_aperea ENSCAPG00000008128
spermophilus_dauricus ENSSDAG00000012715
ictidomys_tridecemlineatus ENSSTOG00000022923
urocitellus_parryii ENSUPAG00010004913
marmota_marmota ENSMMMG00000022085
oryctolagus_cuniculus ENSOCUG00000002367
ochotona_princeps ENSOPRG00000010839
loxodonta_africana ENSLAFG00000006190
procavia_capensis ENSPCAG00000003488
echinops_telfairi ENSETEG00000015722
dasypus_novemcinctus ENSDNOG00000030773
phascolarctos_cinereus ENSPCIG00000020601
vombatus_ursinus ENSVURG00010019476
notamacropus_eugenii ENSMEUG00000009750
sarcophilus_harrisii ENSSHAG00000016224
monodelphis_domestica ENSMODG00000005386
ornithorhynchus_anatinus ENSOANG00000014579
latimeria_chalumnae ENSLACG00000011302
hucho_hucho ENSHHUG00000004852
hucho_hucho ENSHHUG00000001324
esox_lucius ENSELUG00000020043
larimichthys_crocea ENSLCRG00005019913
mola_mola ENSMMOG00000012282
cottoperca_gobio ENSCGOG00000012166
labrus_bergylta ENSLBEG00000001433
scophthalmus_maximus ENSSMAG00000013908
cynoglossus_semilaevis ENSCSEG00000013894
seriola_lalandi ENSSLDG00000016775
seriola_dumerili ENSSDUG00000018150
lates_calcarifer ENSLCAG00010009936
mastacembelus_armatus ENSMAMG00000004313
monopterus_albus ENSMALG00000003724
amphiprion_ocellaris ENSAOCG00000007379
amphiprion_percula ENSAPEG00000016571
acanthochromis_polyacanthus ENSAPOG00000008293
stegastes_partitus ENSSPAG00000007633
parambassis_ranga ENSPRNG00000025535
gouania_willdenowi ENSGWIG00000021218
astatotilapia_calliptera ENSACLG00000011130
maylandia_zebra ENSMZEG00005008167
haplochromis_burtoni ENSHBUG00000009869
pundamilia_nyererei ENSPNYG00000019111
neolamprologus_brichardi ENSNBRG00000012080
amphilophus_citrinellus ENSACIG00000020942
anabas_testudineus ENSATEG00000019650
betta_splendens ENSBSLG00000019772
xiphophorus_maculatus ENSXMAG00000011569
xiphophorus_couchianus ENSXCOG00000005757
poecilia_mexicana ENSPMEG00000003950
poecilia_formosa ENSPFOG00000023699
poecilia_reticulata ENSPREG00000000818
poecilia_latipinna ENSPLAG00000004665
gambusia_affinis ENSGAFG00000003025
fundulus_heteroclitus ENSFHEG00000022555
cyprinodon_variegatus ENSCVAG00000008497
kryptolebias_marmoratus ENSKMAG00000004321
oryzias_latipes ENSORLG00015014113
oryzias_latipes ENSORLG00020012762
oryzias_latipes ENSORLG00000011259
oryzias_melastigma ENSOMEG00000000763
gasterosteus_aculeatus ENSGACG00000020016
tetraodon_nigroviridis ENSTNIG00000003844
takifugu_rubripes ENSTRUG00000019818
periophthalmus_magnuspinnatus ENSPMGG00000002533
hippocampus_comes ENSHCOG00000003346
gadus_morhua ENSGMOG00000006268
denticeps_clupeoides ENSDCDG00000031038
clupea_harengus ENSCHAG00000002410
ictalurus_punctatus ENSIPUG00000018565
electrophorus_electricus ENSEEEG00000016680
astyanax_mexicanus ENSAMXG00005016124
astyanax_mexicanus ENSAMXG00000011426
pygocentrus_nattereri ENSPNAG00000018302
danio_rerio ENSDARG00000077419
scleropages_formosus ENSSFOG00015015991
paramormyrops_kingsleyae ENSPKIG00000007710
hucho_hucho ENSHHUG00000005082
hucho_hucho ENSHHUG00000035342
esox_lucius ENSELUG00000003722
seriola_lalandi ENSSLDG00000008280
seriola_dumerili ENSSDUG00000005983
scophthalmus_maximus ENSSMAG00000010061
mastacembelus_armatus ENSMAMG00000008622
cottoperca_gobio ENSCGOG00000024486
mola_mola ENSMMOG00000020553
tetraodon_nigroviridis ENSTNIG00000000631
takifugu_rubripes ENSTRUG00000009732
larimichthys_crocea ENSLCRG00005003758
labrus_bergylta ENSLBEG00000004319
lates_calcarifer ENSLCAG00010001111
monopterus_albus ENSMALG00000013689
cynoglossus_semilaevis ENSCSEG00000021318
betta_splendens ENSBSLG00000022844
amphiprion_ocellaris ENSAOCG00000002776
amphiprion_percula ENSAPEG00000020516
acanthochromis_polyacanthus ENSAPOG00000007250
parambassis_ranga ENSPRNG00000025692
gouania_willdenowi ENSGWIG00000016560
fundulus_heteroclitus ENSFHEG00000004447
cyprinodon_variegatus ENSCVAG00000005336
xiphophorus_maculatus ENSXMAG00000026944
gambusia_affinis ENSGAFG00000021011
poecilia_mexicana ENSPMEG00000018064
poecilia_latipinna ENSPLAG00000005593
poecilia_formosa ENSPFOG00000012455
poecilia_reticulata ENSPREG00000000918
kryptolebias_marmoratus ENSKMAG00000017585
oryzias_latipes ENSORLG00015010356
oryzias_latipes ENSORLG00020006551
oryzias_melastigma ENSOMEG00000019795
maylandia_zebra ENSMZEG00005024147
astatotilapia_calliptera ENSACLG00000004749
pundamilia_nyererei ENSPNYG00000002801
haplochromis_burtoni ENSHBUG00000007624
oreochromis_niloticus ENSONIG00000015162
gasterosteus_aculeatus ENSGACG00000017724
hippocampus_comes ENSHCOG00000013294
gadus_morhua ENSGMOG00000018531
ictalurus_punctatus ENSIPUG00000018952
electrophorus_electricus ENSEEEG00000016678
pygocentrus_nattereri ENSPNAG00000006215
astyanax_mexicanus ENSAMXG00000042743
danio_rerio ENSDARG00000103148
denticeps_clupeoides ENSDCDG00000034220
clupea_harengus ENSCHAG00000021523
scleropages_formosus ENSSFOG00015013016
paramormyrops_kingsleyae ENSPKIG00000015737
lepisosteus_oculatus ENSLOCG00000001007
erpetoichthys_calabaricus ENSECRG00000014020
eptatretus_burgeri ENSEBUG00000001070
eptatretus_burgeri ENSEBUG00000012764
latimeria_chalumnae ENSLACG00000002540
latimeria_chalumnae ENSLACG00000022156
xenopus_tropicalis ENSXETG00000011017
xenopus_tropicalis ENSXETG00000011027
xenopus_tropicalis ENSXETG00000011041
lepisosteus_oculatus ENSLOCG00000006953
lepisosteus_oculatus ENSLOCG00000006967
erpetoichthys_calabaricus ENSECRG00000005801
callorhinchus_milii ENSCMIG00000014432
callorhinchus_milii ENSCMIG00000014851
petromyzon_marinus ENSPMAG00000009180
