vulpes_vulpes ENSVVUG00000028048
ursus_maritimus ENSUMAG00000002791
bison_bison_bison ENSBBBG00000008678
bos_taurus ENSBTAG00000007052
urocitellus_parryii ENSUPAG00010020475
spermophilus_dauricus ENSSDAG00000004290
marmota_marmota_marmota ENSMMMG00000001755
castor_canadensis ENSCCNG00000013773
mus_spicilegus ENSMSIG00000009820
pan_paniscus ENSPPAG00000012682
pan_troglodytes ENSPTRG00000046912
gorilla_gorilla ENSGGOG00000041953
nomascus_leucogenys ENSNLEG00000036030
piliocolobus_tephrosceles ENSPTEG00000007765
cercocebus_atys ENSCATG00000015976
saimiri_boliviensis_boliviensis ENSSBOG00000020334
prolemur_simus ENSPSMG00000023969
junco_hyemalis ENSJHYG00000004206
serinus_canaria ENSSCAG00000007458
