pundamilia_nyererei ENSPNYG00000004690
astatotilapia_calliptera ENSACLG00000019250
haplochromis_burtoni ENSHBUG00000012524
amphilophus_citrinellus ENSACIG00000002534
acanthochromis_polyacanthus ENSAPOG00000023667
monopterus_albus ENSMALG00000008822
neolamprologus_brichardi ENSNBRG00000017691
maylandia_zebra ENSMZEG00005011805
poecilia_reticulata ENSPREG00000001767
poecilia_latipinna ENSPLAG00000019047
gambusia_affinis ENSGAFG00000017855
poecilia_mexicana ENSPMEG00000012813
mastacembelus_armatus ENSMAMG00000014425
periophthalmus_magnuspinnatus ENSPMGG00000021600
latimeria_chalumnae ENSLACG00000013706
