mus_musculus ENSMUSG00000061144
mus_spicilegus ENSMSIG00000023981
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023150
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022240
mus_pahari MGP_PahariEiJ_G0018973
rattus_norvegicus ENSRNOG00000045937
rattus_norvegicus ENSRNOG00000039251
rattus_norvegicus ENSRNOG00000051016
microtus_ochrogaster ENSMOCG00000003286
peromyscus_maniculatus_bairdii ENSPEMG00000011778
cricetulus_griseus_crigri ENSCGRG00000000103
cricetulus_griseus_chok1gshd ENSCGRG00001022156
cricetulus_griseus_crigri-picr ENSCGRG00015004303
mesocricetus_auratus ENSMAUG00000017393
nannospalax_galili ENSNGAG00000019606
jaculus_jaculus ENSJJAG00000012629
ictidomys_tridecemlineatus ENSSTOG00000034457
urocitellus_parryii ENSUPAG00010013049
heterocephalus_glaber_male ENSHGLG00100019331
heterocephalus_glaber_female ENSHGLG00000005863
fukomys_damarensis ENSFDAG00000006320
castor_canadensis ENSCCNG00000021887
ursus_maritimus ENSUMAG00000010001
ursus_americanus ENSUAMG00000027603
vulpes_vulpes ENSVVUG00000021295
equus_caballus ENSECAG00000030960
equus_asinus_asinus ENSEASG00005020714
equus_asinus_asinus ENSEASG00005020712
monodelphis_domestica ENSMODG00000028745
ornithorhynchus_anatinus ENSOANG00000021422
