oryctolagus_cuniculus ENSOCUG00000014806
ochotona_princeps ENSOPRG00000010493
microtus_ochrogaster ENSMOCG00000012069
cricetulus_griseus ENSCGRG00000007738
jaculus_jaculus ENSJJAG00000021918
ictidomys_tridecemlineatus ENSSTOG00000001360
fukomys_damarensis ENSFDAG00000015644
sorex_araneus ENSSARG00000009892
castor_canadensis ENSCCNG00000031172
dipodomys_ordii ENSDORG00000023294
microtus_ochrogaster ENSMOCG00000001091
peromyscus_maniculatus ENSPEMG00000026596
cricetulus_griseus ENSCGRG00015024642
cricetulus_griseus ENSCGRG00000007163
cricetulus_griseus ENSCGRG00001009429
mesocricetus_auratus ENSMAUG00000016455
meriones_unguiculatus ENSMUGG00000010233
meriones_unguiculatus ENSMUGG00000010735
mus_spretus MGP_SPRETEiJ_G0027929
mus_musculus ENSMUSG00000007415
mus_spicilegus ENSMSIG00000007708
mus_caroli MGP_CAROLIEiJ_G0026934
mus_pahari MGP_PahariEiJ_G0021707
rattus_norvegicus ENSRNOG00000008613
nannospalax_galili ENSNGAG00000018462
jaculus_jaculus ENSJJAG00000021746
spermophilus_dauricus ENSSDAG00000017380
urocitellus_parryii ENSUPAG00010016577
marmota_marmota ENSMMMG00000020506
ictidomys_tridecemlineatus ENSSTOG00000033661
heterocephalus_glaber ENSHGLG00000013060
heterocephalus_glaber ENSHGLG00100003522
fukomys_damarensis ENSFDAG00000004710
chinchilla_lanigera ENSCLAG00000003685
chinchilla_lanigera ENSCLAG00000003315
cavia_porcellus ENSCPOG00000027317
cavia_porcellus ENSCPOG00000035569
octodon_degus ENSODEG00000000896
tupaia_belangeri ENSTBEG00000008527
propithecus_coquereli ENSPCOG00000019007
microcebus_murinus ENSMICG00000033903
prolemur_simus ENSPSMG00000011215
otolemur_garnettii ENSOGAG00000010833
callithrix_jacchus ENSCJAG00000048628
cebus_capucinus ENSCCAG00000020281
aotus_nancymaae ENSANAG00000037321
rhinopithecus_bieti ENSRBIG00000042405
rhinopithecus_roxellana ENSRROG00000038537
colobus_angolensis ENSCANG00000018362
piliocolobus_tephrosceles ENSPTEG00000028394
mandrillus_leucophaeus ENSMLEG00000015921
cercocebus_atys ENSCATG00000021259
chlorocebus_sabaeus ENSCSAG00000012585
macaca_fascicularis ENSMFAG00000033362
macaca_mulatta ENSMMUG00000010104
macaca_nemestrina ENSMNEG00000034063
papio_anubis ENSPANG00000006522
gorilla_gorilla ENSGGOG00000023375
homo_sapiens ENSG00000157259
pan_troglodytes ENSPTRG00000019395
pan_troglodytes ENSPTRG00000049637
pongo_abelii ENSPPYG00000017821
nomascus_leucogenys ENSNLEG00000015297
tursiops_truncatus ENSTTRG00000011333
vicugna_pacos ENSVPAG00000002253
sus_scrofa ENSSSCG00000031835
erinaceus_europaeus ENSEEUG00000001797
equus_caballus ENSECAG00000021181
equus_asinus ENSEASG00005020044
pteropus_vampyrus ENSPVAG00000010830
capra_hircus ENSCHIG00000006633
ovis_aries ENSOARG00000018184
bos_indicus ENSBIXG00005012696
bos_indicus ENSBIXG00000025116
bos_taurus ENSBTAG00000021996
bos_mutus ENSBMUG00000023417
bison_bison ENSBBBG00000017906
myotis_lucifugus ENSMLUG00000011820
canis_lupus ENSCAFG00000030614
canis_lupus ENSCAFG00020012131
vulpes_vulpes ENSVVUG00000015336
neovison_vison ENSNVIG00000004201
mustela_putorius ENSMPUG00000008401
ursus_maritimus ENSUMAG00000019033
ursus_americanus ENSUAMG00000014027
ailuropoda_melanoleuca ENSAMEG00000005644
panthera_tigris ENSPTIG00000006969
panthera_pardus ENSPPRG00000003057
felis_catus ENSFCAG00000018515
procavia_capensis ENSPCAG00000009927
echinops_telfairi ENSETEG00000017237
loxodonta_africana ENSLAFG00000021929
choloepus_hoffmanni ENSCHOG00000000193
phascolarctos_cinereus ENSPCIG00000037007
vombatus_ursinus ENSVURG00010022638
monodelphis_domestica ENSMODG00000010701
sarcophilus_harrisii ENSSHAG00000018915
paramormyrops_kingsleyae ENSPKIG00000018020
scleropages_formosus ENSSFOG00015008239
hucho_hucho ENSHHUG00000016752
hucho_hucho ENSHHUG00000012754
esox_lucius ENSELUG00000001126
amphiprion_ocellaris ENSAOCG00000006887
amphiprion_percula ENSAPEG00000011960
acanthochromis_polyacanthus ENSAPOG00000019384
stegastes_partitus ENSSPAG00000014816
parambassis_ranga ENSPRNG00000024269
maylandia_zebra ENSMZEG00005004278
astatotilapia_calliptera ENSACLG00000016410
pundamilia_nyererei ENSPNYG00000011347
haplochromis_burtoni ENSHBUG00000002796
neolamprologus_brichardi ENSNBRG00000012605
oreochromis_niloticus ENSONIG00000002562
amphilophus_citrinellus ENSACIG00000010663
gouania_willdenowi ENSGWIG00000004867
poecilia_formosa ENSPFOG00000013480
poecilia_latipinna ENSPLAG00000014901
poecilia_mexicana ENSPMEG00000021584
poecilia_reticulata ENSPREG00000007634
xiphophorus_couchianus ENSXCOG00000020089
gambusia_affinis ENSGAFG00000010890
cyprinodon_variegatus ENSCVAG00000020586
fundulus_heteroclitus ENSFHEG00000013299
kryptolebias_marmoratus ENSKMAG00000006435
oryzias_latipes ENSORLG00015013975
oryzias_latipes ENSORLG00020006152
oryzias_latipes ENSORLG00000012716
oryzias_melastigma ENSOMEG00000012207
cottoperca_gobio ENSCGOG00000004837
gasterosteus_aculeatus ENSGACG00000005433
larimichthys_crocea ENSLCRG00005019162
labrus_bergylta ENSLBEG00000018997
takifugu_rubripes ENSTRUG00000014149
tetraodon_nigroviridis ENSTNIG00000017797
mola_mola ENSMMOG00000019019
