theropithecus_gelada ENSTGEG00000016527
papio_anubis ENSPANG00000024747
macaca_fascicularis ENSMFAG00000042991
macaca_nemestrina ENSMNEG00000033510
mandrillus_leucophaeus ENSMLEG00000030642
cercocebus_atys ENSCATG00000030911
chlorocebus_sabaeus ENSCSAG00000009125
rhinopithecus_bieti ENSRBIG00000038249
rhinopithecus_roxellana ENSRROG00000035132
colobus_angolensis_palliatus ENSCANG00000043020
piliocolobus_tephrosceles ENSPTEG00000026592
homo_sapiens ENSG00000250571
pan_troglodytes ENSPTRG00000020650
gorilla_gorilla ENSGGOG00000009307
pongo_abelii ENSPPYG00000018931
cebus_capucinus ENSCCAG00000022001
callithrix_jacchus ENSCJAG00000047319
aotus_nancymaae ENSANAG00000016700
carlito_syrichta ENSTSYG00000030430
prolemur_simus ENSPSMG00000000038
propithecus_coquereli ENSPCOG00000020486
microcebus_murinus ENSMICG00000046887
chinchilla_lanigera ENSCLAG00000012388
cavia_porcellus ENSCPOG00000040511
heterocephalus_glaber_male ENSHGLG00100011951
heterocephalus_glaber_female ENSHGLG00000011373
rattus_norvegicus ENSRNOG00000021765
meriones_unguiculatus ENSMUGG00000009664
cricetulus_griseus_crigri-picr ENSCGRG00015017243
cricetulus_griseus_crigri ENSCGRG00000014804
cricetulus_griseus_chok1gshd ENSCGRG00001013239
peromyscus_maniculatus_bairdii ENSPEMG00000025643
microtus_ochrogaster ENSMOCG00000004387
urocitellus_parryii ENSUPAG00010023449
ictidomys_tridecemlineatus ENSSTOG00000023930
marmota_marmota_marmota ENSMMMG00000006001
equus_asinus_asinus ENSEASG00005009556
equus_caballus ENSECAG00000028286
pteropus_vampyrus ENSPVAG00000024242
ursus_americanus ENSUAMG00000015770
ailuropoda_melanoleuca ENSAMEG00000010458
canis_lupus_familiaris ENSCAFG00000029287
canis_lupus_dingo ENSCAFG00020018643
mustela_putorius_furo ENSMPUG00000008492
neovison_vison ENSNVIG00000010691
felis_catus ENSFCAG00000033573
panthera_pardus ENSPPRG00000016835
bos_taurus ENSBTAG00000003606
capra_hircus ENSCHIG00000012546
bison_bison_bison ENSBBBG00000001320
tursiops_truncatus ENSTTRG00000021363
sus_scrofa ENSSSCG00000039881
dasypus_novemcinctus ENSDNOG00000001356
procavia_capensis ENSPCAG00000018803
loxodonta_africana ENSLAFG00000022926
monodelphis_domestica ENSMODG00000011659
phascolarctos_cinereus ENSPCIG00000026539
