myotis_lucifugus ENSMLUG00000011936
pteropus_vampyrus ENSPVAG00000005666
bos_taurus ENSBTAG00000019354
bos_mutus ENSBMUG00000008442
bison_bison_bison ENSBBBG00000008755
capra_hircus ENSCHIG00000019864
ovis_aries ENSOARG00000020812
equus_caballus ENSECAG00000009244
felis_catus ENSFCAG00000009580
canis_lupus_dingo ENSCAFG00020016958
carlito_syrichta ENSTSYG00000012543
mustela_putorius_furo ENSMPUG00000009512
neovison_vison ENSNVIG00000017549
ursus_maritimus ENSUMAG00000008437
ursus_americanus ENSUAMG00000019768
ailuropoda_melanoleuca ENSAMEG00000010662
canis_lupus_familiaris ENSCAFG00000007309
vulpes_vulpes ENSVVUG00000028699
panthera_tigris_altaica ENSPTIG00000003550
cavia_aperea ENSCAPG00000017502
mandrillus_leucophaeus ENSMLEG00000004454
castor_canadensis ENSCCNG00000009911
dipodomys_ordii ENSDORG00000002606
mus_musculus ENSMUSG00000026976
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023238
mus_spicilegus ENSMSIG00000025431
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024155
mus_pahari MGP_PahariEiJ_G0024696
rattus_norvegicus ENSRNOG00000026203
meriones_unguiculatus ENSMUGG00000004003
cricetulus_griseus_crigri-picr ENSCGRG00015004150
cricetulus_griseus_chok1gshd ENSCGRG00001017508
mesocricetus_auratus ENSMAUG00000004288
microtus_ochrogaster ENSMOCG00000021381
peromyscus_maniculatus_bairdii ENSPEMG00000015473
nannospalax_galili ENSNGAG00000000630
jaculus_jaculus ENSJJAG00000001232
cavia_porcellus ENSCPOG00000012011
octodon_degus ENSODEG00000005692
chinchilla_lanigera ENSCLAG00000004013
heterocephalus_glaber_female ENSHGLG00000015233
heterocephalus_glaber_male ENSHGLG00100003386
fukomys_damarensis ENSFDAG00000011238
marmota_marmota_marmota ENSMMMG00000002865
ictidomys_tridecemlineatus ENSSTOG00000024664
papio_anubis ENSPANG00000016994
theropithecus_gelada ENSTGEG00000028494
cercocebus_atys ENSCATG00000036605
macaca_fascicularis ENSMFAG00000000442
chlorocebus_sabaeus ENSCSAG00000016682
piliocolobus_tephrosceles ENSPTEG00000016961
macaca_nemestrina ENSMNEG00000036717
macaca_mulatta ENSMMUG00000011578
rhinopithecus_roxellana ENSRROG00000036666
rhinopithecus_bieti ENSRBIG00000033831
pan_paniscus ENSPPAG00000031225
pan_troglodytes ENSPTRG00000012380
homo_sapiens ENSG00000125618
pongo_abelii ENSPPYG00000012184
saimiri_boliviensis_boliviensis ENSSBOG00000020944
callithrix_jacchus ENSCJAG00000013889
aotus_nancymaae ENSANAG00000022412
microcebus_murinus ENSMICG00000003265
propithecus_coquereli ENSPCOG00000019998
erinaceus_europaeus ENSEEUG00000003041
ochotona_princeps ENSOPRG00000012910
tursiops_truncatus ENSTTRG00000011948
vicugna_pacos ENSVPAG00000003973
oryctolagus_cuniculus ENSOCUG00000004187
tupaia_belangeri ENSTBEG00000008679
nomascus_leucogenys ENSNLEG00000002157
ornithorhynchus_anatinus ENSOANG00000010554
phascolarctos_cinereus ENSPCIG00000025722
notamacropus_eugenii ENSMEUG00000013983
