equus_asinus_asinus ENSEASG00005015284
equus_caballus ENSECAG00000029188
sus_scrofa ENSSSCG00000039819
vulpes_vulpes ENSVVUG00000026816
canis_lupus_dingo ENSCAFG00020007285
ursus_maritimus ENSUMAG00000004412
ursus_americanus ENSUAMG00000019936
panthera_tigris_altaica ENSPTIG00000020966
panthera_pardus ENSPPRG00000023219
felis_catus ENSFCAG00000035484
mus_musculus ENSMUSG00000074219
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032399
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031280
mus_pahari MGP_PahariEiJ_G0022886
rattus_norvegicus ENSRNOG00000039252
meriones_unguiculatus ENSMUGG00000015247
cricetulus_griseus_crigri ENSCGRG00000016014
cricetulus_griseus_chok1gshd ENSCGRG00001000091
microtus_ochrogaster ENSMOCG00000016743
peromyscus_maniculatus_bairdii ENSPEMG00000028964
nannospalax_galili ENSNGAG00000021731
octodon_degus ENSODEG00000009258
heterocephalus_glaber_male ENSHGLG00100020521
cavia_porcellus ENSCPOG00000036045
spermophilus_dauricus ENSSDAG00000008627
marmota_marmota_marmota ENSMMMG00000021974
ictidomys_tridecemlineatus ENSSTOG00000021516
macaca_fascicularis ENSMFAG00000037336
macaca_nemestrina ENSMNEG00000030430
mandrillus_leucophaeus ENSMLEG00000039513
papio_anubis ENSPANG00000029961
theropithecus_gelada ENSTGEG00000007186
piliocolobus_tephrosceles ENSPTEG00000036915
prolemur_simus ENSPSMG00000000417
microcebus_murinus ENSMICG00000032629
