apteryx_haastii ENSAHAG00000010926
apteryx_owenii ENSAOWG00000006721
nothoprocta_perdicaria ENSNPEG00000004931
dromaius_novaehollandiae ENSDNVG00000003011
crocodylus_porosus ENSCPRG00005002474
chrysemys_picta_bellii ENSCPBG00000024676
gopherus_agassizii ENSGAGG00000000742
chelonoidis_abingdonii ENSCABG00000003402
chrysemys_picta_bellii ENSCPBG00000001232
anser_brachyrhynchus ENSABRG00000004555
anas_platyrhynchos_platyrhynchos ENSAPLG00000016453
salvator_merianae ENSSMRG00000000852
pogona_vitticeps ENSPVIG00000023416
xenopus_tropicalis ENSXETG00000020729
latimeria_chalumnae ENSLACG00000008103
parus_major ENSPMJG00000003050
octodon_degus ENSODEG00000012634
octodon_degus ENSODEG00000010443
octodon_degus ENSODEG00000011434
octodon_degus ENSODEG00000007889
octodon_degus ENSODEG00000018700
octodon_degus ENSODEG00000016804
chinchilla_lanigera ENSCLAG00000006603
cavia_porcellus ENSCPOG00000011491
cavia_aperea ENSCAPG00000007947
heterocephalus_glaber_female ENSHGLG00000008749
heterocephalus_glaber_male ENSHGLG00100013608
fukomys_damarensis ENSFDAG00000014469
oryctolagus_cuniculus ENSOCUG00000006286
mus_spicilegus ENSMSIG00000027788
mus_musculus ENSMUSG00000027935
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025227
mus_pahari MGP_PahariEiJ_G0026671
rattus_norvegicus ENSRNOG00000016733
meriones_unguiculatus ENSMUGG00000006928
cricetulus_griseus_crigri-picr ENSCGRG00015006117
cricetulus_griseus_chok1gshd ENSCGRG00001021505
cricetulus_griseus_crigri ENSCGRG00000012126
mesocricetus_auratus ENSMAUG00000015713
microtus_ochrogaster ENSMOCG00000021448
peromyscus_maniculatus_bairdii ENSPEMG00000017353
nannospalax_galili ENSNGAG00000010309
jaculus_jaculus ENSJJAG00000010575
marmota_marmota_marmota ENSMMMG00000017661
ictidomys_tridecemlineatus ENSSTOG00000011222
urocitellus_parryii ENSUPAG00010015124
spermophilus_dauricus ENSSDAG00000001577
castor_canadensis ENSCCNG00000021259
tupaia_belangeri ENSTBEG00000012734
carlito_syrichta ENSTSYG00000012566
erinaceus_europaeus ENSEEUG00000001233
bos_taurus ENSBTAG00000017604
bos_mutus ENSBMUG00000026807
bison_bison_bison ENSBBBG00000013260
ovis_aries ENSOARG00000001777
capra_hircus ENSCHIG00000022271
tursiops_truncatus ENSTTRG00000011183
sus_scrofa ENSSSCG00000006564
vicugna_pacos ENSVPAG00000001663
myotis_lucifugus ENSMLUG00000017186
microcebus_murinus ENSMICG00000010340
prolemur_simus ENSPSMG00000021328
propithecus_coquereli ENSPCOG00000012189
otolemur_garnettii ENSOGAG00000016969
pan_paniscus ENSPPAG00000028435
pan_troglodytes ENSPTRG00000001370
gorilla_gorilla ENSGGOG00000023693
homo_sapiens ENSG00000143545
homo_sapiens ENSG00000285641
pongo_abelii ENSPPYG00000000790
nomascus_leucogenys ENSNLEG00000028944
rhinopithecus_roxellana ENSRROG00000036885
rhinopithecus_bieti ENSRBIG00000008552
colobus_angolensis_palliatus ENSCANG00000036573
piliocolobus_tephrosceles ENSPTEG00000035527
cercocebus_atys ENSCATG00000041779
mandrillus_leucophaeus ENSMLEG00000042247
theropithecus_gelada ENSTGEG00000019711
papio_anubis ENSPANG00000004479
chlorocebus_sabaeus ENSCSAG00000001898
macaca_fascicularis ENSMFAG00000041018
macaca_nemestrina ENSMNEG00000028951
macaca_mulatta ENSMMUG00000017586
rhinopithecus_bieti ENSRBIG00000038247
piliocolobus_tephrosceles ENSPTEG00000001325
macaca_nemestrina ENSMNEG00000042708
mandrillus_leucophaeus ENSMLEG00000038681
saimiri_boliviensis_boliviensis ENSSBOG00000020342
callithrix_jacchus ENSCJAG00000009933
cebus_capucinus ENSCCAG00000028502
aotus_nancymaae ENSANAG00000030247
equus_asinus_asinus ENSEASG00005000683
equus_caballus ENSECAG00000016551
canis_lupus_dingo ENSCAFG00020009258
sorex_araneus ENSSARG00000007035
dasypus_novemcinctus ENSDNOG00000046350
loxodonta_africana ENSLAFG00000025695
loxodonta_africana ENSLAFG00000032079
procavia_capensis ENSPCAG00000003243
dipodomys_ordii ENSDORG00000001591
ursus_maritimus ENSUMAG00000020303
ursus_americanus ENSUAMG00000024383
ailuropoda_melanoleuca ENSAMEG00000011919
mustela_putorius_furo ENSMPUG00000007896
neovison_vison ENSNVIG00000017346
canis_lupus_familiaris ENSCAFG00000017389
vulpes_vulpes ENSVVUG00000028354
canis_lupus_dingo ENSCAFG00020006871
vulpes_vulpes ENSVVUG00000015600
panthera_tigris_altaica ENSPTIG00000021869
panthera_pardus ENSPPRG00000008865
felis_catus ENSFCAG00000045269
pteropus_vampyrus ENSPVAG00000011095
notamacropus_eugenii ENSMEUG00000009667
phascolarctos_cinereus ENSPCIG00000029350
monodelphis_domestica ENSMODG00000017295
sarcophilus_harrisii ENSSHAG00000011866
labrus_bergylta ENSLBEG00000026779
takifugu_rubripes ENSTRUG00000024177
hippocampus_comes ENSHCOG00000007440
fundulus_heteroclitus ENSFHEG00000021221
kryptolebias_marmoratus ENSKMAG00000001908
poecilia_reticulata ENSPREG00000017567
poecilia_latipinna ENSPLAG00000005832
xiphophorus_couchianus ENSXCOG00000019533
oryzias_melastigma ENSOMEG00000008210
oreochromis_niloticus ENSONIG00000006340
neolamprologus_brichardi ENSNBRG00000004124
amphilophus_citrinellus ENSACIG00000008584
cynoglossus_semilaevis ENSCSEG00000002358
periophthalmus_magnuspinnatus ENSPMGG00000007680
mastacembelus_armatus ENSMAMG00000014602
gasterosteus_aculeatus ENSGACG00000011925
gadus_morhua ENSGMOG00000019023
esox_lucius ENSELUG00000012801
astyanax_mexicanus ENSAMXG00000030712
pygocentrus_nattereri ENSPNAG00000004189
ictalurus_punctatus ENSIPUG00000003199
danio_rerio ENSDARG00000034771
lepisosteus_oculatus ENSLOCG00000006687
caenorhabditis_elegans_strain_n2 WBGene00019317
