mustela_putorius_furo ENSMPUG00000008308
cavia_aperea ENSCAPG00000017186
ornithorhynchus_anatinus ENSOANG00000011921
taeniopygia_guttata ENSTGUG00000013895
lonchura_striata_domestica ENSLSDG00000002975
cyanistes_caeruleus ENSCCEG00000009060
calidris_pygmaea ENSCPGG00000016947
cyprinodon_variegatus ENSCVAG00000008716
papio_anubis ENSPANG00000014392
apteryx_haastii ENSAHAG00000004892
apteryx_owenii ENSAOWG00000004012
dromaius_novaehollandiae ENSDNVG00000002136
manacus_vitellinus ENSMVIG00005006960
lepidothrix_coronata ENSLCOG00000002989
crocodylus_porosus ENSCPRG00005007867
pogona_vitticeps ENSPVIG00000017655
anolis_carolinensis ENSACAG00000010996
notechis_scutatus ENSNSUG00000014774
salvator_merianae ENSSMRG00000016863
sphenodon_punctatus ENSSPUG00000014897
cebus_capucinus ENSCCAG00000036875
saimiri_boliviensis_boliviensis ENSSBOG00000033455
pan_troglodytes ENSPTRG00000049806
pan_troglodytes ENSPTRG00000045137
pan_paniscus ENSPPAG00000029021
gorilla_gorilla ENSGGOG00000026021
nomascus_leucogenys ENSNLEG00000033116
macaca_mulatta ENSMMUG00000042835
macaca_fascicularis ENSMFAG00000002785
mandrillus_leucophaeus ENSMLEG00000040248
chlorocebus_sabaeus ENSCSAG00000009927
rhinopithecus_roxellana ENSRROG00000039369
rhinopithecus_bieti ENSRBIG00000031827
colobus_angolensis_palliatus ENSCANG00000028788
pan_troglodytes ENSPTRG00000051381
pan_paniscus ENSPPAG00000037379
gorilla_gorilla ENSGGOG00000022062
nomascus_leucogenys ENSNLEG00000034909
pan_paniscus ENSPPAG00000041919
pan_troglodytes ENSPTRG00000045716
gorilla_gorilla ENSGGOG00000022061
nomascus_leucogenys ENSNLEG00000031782
macaca_mulatta ENSMMUG00000018997
theropithecus_gelada ENSTGEG00000013265
mandrillus_leucophaeus ENSMLEG00000031826
papio_anubis ENSPANG00000029789
macaca_fascicularis ENSMFAG00000042136
macaca_nemestrina ENSMNEG00000031381
colobus_angolensis_palliatus ENSCANG00000003782
cebus_capucinus ENSCCAG00000021605
aotus_nancymaae ENSANAG00000035789
carlito_syrichta ENSTSYG00000037300
octodon_degus ENSODEG00000018813
canis_lupus_dingo ENSCAFG00020014527
neovison_vison ENSNVIG00000024897
dasypus_novemcinctus ENSDNOG00000037158
