seriola_lalandi_dorsalis ENSSLDG00000010340
seriola_dumerili ENSSDUG00000022752
pundamilia_nyererei ENSPNYG00000010340
haplochromis_burtoni ENSHBUG00000015784
neolamprologus_brichardi ENSNBRG00000002512
haplochromis_burtoni ENSHBUG00000014712
pundamilia_nyererei ENSPNYG00000021085
hippocampus_comes ENSHCOG00000000292
coturnix_japonica ENSCJPG00005010634
melopsittacus_undulatus ENSMUNG00000006419
apteryx_owenii ENSAOWG00000005326
apteryx_haastii ENSAHAG00000009682
apteryx_rowi ENSARWG00000007865
