urocitellus_parryii ENSUPAG00010009984
marmota_marmota_marmota ENSMMMG00000024176
spermophilus_dauricus ENSSDAG00000009802
castor_canadensis ENSCCNG00000003607
mus_spicilegus ENSMSIG00000028084
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015814
mus_musculus ENSMUSG00000044854
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015014
mus_pahari MGP_PahariEiJ_G0028246
rattus_norvegicus ENSRNOG00000004066
meriones_unguiculatus ENSMUGG00000025462
cricetulus_griseus_chok1gshd ENSCGRG00001011197
cricetulus_griseus_crigri-picr ENSCGRG00015009012
peromyscus_maniculatus_bairdii ENSPEMG00000027598
jaculus_jaculus ENSJJAG00000021411
