periophthalmus_magnuspinnatus ENSPMGG00000019524
anabas_testudineus ENSATEG00000023059
acanthochromis_polyacanthus ENSAPOG00000016065
acanthochromis_polyacanthus ENSAPOG00000005943
mola_mola ENSMMOG00000017897
seriola_lalandi ENSSLDG00000012337
astyanax_mexicanus ENSAMXG00005003866
astyanax_mexicanus ENSAMXG00000035956
electrophorus_electricus ENSEEEG00000006917
nothoprocta_perdicaria ENSNPEG00000008064
gopherus_agassizii ENSGAGG00000010862
pogona_vitticeps ENSPVIG00000009365
notechis_scutatus ENSNSUG00000015460
sphenodon_punctatus ENSSPUG00000012421
cavia_aperea ENSCAPG00000016111
jaculus_jaculus ENSJJAG00000019811
pan_troglodytes ENSPTRG00000042816
pan_paniscus ENSPPAG00000037120
mandrillus_leucophaeus ENSMLEG00000039816
ciona_intestinalis ENSCING00000020371
