mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025723
mus_spicilegus ENSMSIG00000013448
mus_musculus ENSMUSG00000016344
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024798
mus_pahari MGP_PahariEiJ_G0026245
rattus_norvegicus ENSRNOG00000012722
meriones_unguiculatus ENSMUGG00000002121
meriones_unguiculatus ENSMUGG00000005158
meriones_unguiculatus ENSMUGG00000010524
peromyscus_maniculatus_bairdii ENSPEMG00000030332
microtus_ochrogaster ENSMOCG00000012754
cricetulus_griseus_crigri-picr ENSCGRG00015017162
cricetulus_griseus_crigri-picr ENSCGRG00015015233
cricetulus_griseus_chok1gshd ENSCGRG00001014557
cricetulus_griseus_crigri ENSCGRG00000011386
mesocricetus_auratus ENSMAUG00000018881
nannospalax_galili ENSNGAG00000009696
jaculus_jaculus ENSJJAG00000020293
castor_canadensis ENSCCNG00000021038
urocitellus_parryii ENSUPAG00010004632
spermophilus_dauricus ENSSDAG00000007502
ictidomys_tridecemlineatus ENSSTOG00000007808
marmota_marmota_marmota ENSMMMG00000001957
heterocephalus_glaber_male ENSHGLG00100004295
heterocephalus_glaber_female ENSHGLG00000014857
fukomys_damarensis ENSFDAG00000016766
octodon_degus ENSODEG00000003923
chinchilla_lanigera ENSCLAG00000005999
gorilla_gorilla ENSGGOG00000036746
bos_taurus ENSBTAG00000050929
bos_mutus ENSBMUG00000017283
capra_hircus ENSCHIG00000024786
bos_mutus ENSBMUG00000017129
bos_taurus ENSBTAG00000031800
bison_bison_bison ENSBBBG00000015597
bos_taurus ENSBTAG00000009002
bison_bison_bison ENSBBBG00000004448
ovis_aries ENSOARG00000010995
ovis_aries ENSOARG00000002849
capra_hircus ENSCHIG00000016840
sus_scrofa ENSSSCG00000036627
tursiops_truncatus ENSTTRG00000011800
myotis_lucifugus ENSMLUG00000014566
neovison_vison ENSNVIG00000019474
mustela_putorius_furo ENSMPUG00000008301
ursus_americanus ENSUAMG00000010913
panthera_pardus ENSPPRG00000008829
panthera_tigris_altaica ENSPTIG00000019343
felis_catus ENSFCAG00000024386
panthera_tigris_altaica ENSPTIG00000001970
panthera_pardus ENSPPRG00000022783
felis_catus ENSFCAG00000033404
panthera_pardus ENSPPRG00000004295
panthera_tigris_altaica ENSPTIG00000013846
felis_catus ENSFCAG00000040936
ursus_americanus ENSUAMG00000025214
ursus_maritimus ENSUMAG00000022207
ursus_maritimus ENSUMAG00000011112
ursus_americanus ENSUAMG00000009371
ursus_americanus ENSUAMG00000006349
canis_lupus_familiaris ENSCAFG00000015555
canis_lupus_dingo ENSCAFG00020010340
vulpes_vulpes ENSVVUG00000003535
panthera_pardus ENSPPRG00000007686
equus_caballus ENSECAG00000009413
equus_caballus ENSECAG00000035021
equus_asinus_asinus ENSEASG00005023172
pteropus_vampyrus ENSPVAG00000016803
pteropus_vampyrus ENSPVAG00000003525
