gambusia_affinis ENSGAFG00000001629
poecilia_reticulata ENSPREG00000011625
poecilia_reticulata ENSPREG00000010313
poecilia_latipinna ENSPLAG00000004574
poecilia_reticulata ENSPREG00000006507
poecilia_reticulata ENSPREG00000022716
xiphophorus_maculatus ENSXMAG00000022322
xiphophorus_maculatus ENSXMAG00000023950
xiphophorus_maculatus ENSXMAG00000020958
xiphophorus_maculatus ENSXMAG00000025739
xiphophorus_couchianus ENSXCOG00000002598
xiphophorus_couchianus ENSXCOG00000016061
xiphophorus_couchianus ENSXCOG00000014921
xiphophorus_maculatus ENSXMAG00000022340
poecilia_reticulata ENSPREG00000011343
poecilia_latipinna ENSPLAG00000008860
poecilia_reticulata ENSPREG00000011594
xiphophorus_maculatus ENSXMAG00000027360
poecilia_reticulata ENSPREG00000009649
fundulus_heteroclitus ENSFHEG00000008567
fundulus_heteroclitus ENSFHEG00000018536
oryzias_latipes ENSORLG00020021520
