pan_paniscus ENSPPAG00000029637
pan_troglodytes ENSPTRG00000009783
homo_sapiens ENSG00000169689
gorilla_gorilla ENSGGOG00000011589
macaca_fascicularis ENSMFAG00000037106
macaca_mulatta ENSMMUG00000010890
macaca_nemestrina ENSMNEG00000041358
mandrillus_leucophaeus ENSMLEG00000032856
cercocebus_atys ENSCATG00000037293
papio_anubis ENSPANG00000019030
rhinopithecus_bieti ENSRBIG00000035425
rhinopithecus_roxellana ENSRROG00000035010
colobus_angolensis_palliatus ENSCANG00000036568
aotus_nancymaae ENSANAG00000023211
canis_lupus_familiaris ENSCAFG00000031265
choloepus_hoffmanni ENSCHOG00000000332
