acanthochromis_polyacanthus ENSAPOG00000008000
amphiprion_percula ENSAPEG00000008518
kryptolebias_marmoratus ENSKMAG00000010648
poecilia_formosa ENSPFOG00000019180
haplochromis_burtoni ENSHBUG00000000687
astatotilapia_calliptera ENSACLG00000008343
mastacembelus_armatus ENSMAMG00000009407
monopterus_albus ENSMALG00000001083
gasterosteus_aculeatus ENSGACG00000020316
scophthalmus_maximus ENSSMAG00000018999
gadus_morhua ENSGMOG00000017984
esox_lucius ENSELUG00000013567
astyanax_mexicanus ENSAMXG00000010061
pygocentrus_nattereri ENSPNAG00000007141
prolemur_simus ENSPSMG00000015919
propithecus_coquereli ENSPCOG00000018708
microcebus_murinus ENSMICG00000026495
otolemur_garnettii ENSOGAG00000003029
callithrix_jacchus ENSCJAG00000047316
callithrix_jacchus ENSCJAG00000005520
callithrix_jacchus ENSCJAG00000047084
cebus_capucinus ENSCCAG00000026257
macaca_nemestrina ENSMNEG00000031716
macaca_fascicularis ENSMFAG00000026512
papio_anubis ENSPANG00000022588
theropithecus_gelada ENSTGEG00000017308
chlorocebus_sabaeus ENSCSAG00000009370
piliocolobus_tephrosceles ENSPTEG00000038490
colobus_angolensis_palliatus ENSCANG00000035040
rhinopithecus_bieti ENSRBIG00000043290
rhinopithecus_roxellana ENSRROG00000040785
pan_paniscus ENSPPAG00000022596
pan_troglodytes ENSPTRG00000029864
gorilla_gorilla ENSGGOG00000011111
homo_sapiens ENSG00000189129
pongo_abelii ENSPPYG00000012750
nomascus_leucogenys ENSNLEG00000010646
tupaia_belangeri ENSTBEG00000003345
cavia_porcellus ENSCPOG00000037289
chinchilla_lanigera ENSCLAG00000012966
heterocephalus_glaber_female ENSHGLG00000017020
heterocephalus_glaber_male ENSHGLG00100008260
cricetulus_griseus_crigri ENSCGRG00000001410
cricetulus_griseus_chok1gshd ENSCGRG00001010798
cricetulus_griseus_crigri-picr ENSCGRG00015016500
mesocricetus_auratus ENSMAUG00000001932
microtus_ochrogaster ENSMOCG00000022874
peromyscus_maniculatus_bairdii ENSPEMG00000023790
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019901
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019902
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019900
mus_spicilegus ENSMSIG00000026558
mus_musculus ENSMUSG00000095304
mus_musculus ENSMUSG00000072674
mus_musculus ENSMUSG00000094800
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019023
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019025
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019024
mus_pahari MGP_PahariEiJ_G0030037
mus_pahari MGP_PahariEiJ_G0030035
mus_pahari MGP_PahariEiJ_G0030036
rattus_norvegicus ENSRNOG00000011263
urocitellus_parryii ENSUPAG00010002557
marmota_marmota_marmota ENSMMMG00000021381
ochotona_princeps ENSOPRG00000004852
tursiops_truncatus ENSTTRG00000001143
vicugna_pacos ENSVPAG00000004321
sus_scrofa ENSSSCG00000010332
bos_mutus ENSBMUG00000026098
bos_taurus ENSBTAG00000020939
bison_bison_bison ENSBBBG00000015987
ovis_aries ENSOARG00000009984
capra_hircus ENSCHIG00000000102
equus_caballus ENSECAG00000011479
myotis_lucifugus ENSMLUG00000007594
felis_catus ENSFCAG00000040701
panthera_pardus ENSPPRG00000024241
ursus_americanus ENSUAMG00000008119
ailuropoda_melanoleuca ENSAMEG00000012985
ursus_maritimus ENSUMAG00000014078
mustela_putorius_furo ENSMPUG00000003622
vulpes_vulpes ENSVVUG00000025553
canis_lupus_dingo ENSCAFG00020014433
loxodonta_africana ENSLAFG00000007184
dasypus_novemcinctus ENSDNOG00000044384
