poecilia_latipinna ENSPLAG00000006975
poecilia_mexicana ENSPMEG00000001540
poecilia_reticulata ENSPREG00000014247
xiphophorus_couchianus ENSXCOG00000000607
gambusia_affinis ENSGAFG00000014420
mastacembelus_armatus ENSMAMG00000004406
tursiops_truncatus ENSTTRG00000004471
mus_caroli MGP_CAROLIEiJ_G0032508
procavia_capensis ENSPCAG00000011739
chelonoidis_abingdonii ENSCABG00000017828
taeniopygia_guttata ENSTGUG00000012478
gadus_morhua ENSGMOG00000002822
theropithecus_gelada ENSTGEG00000003794
piliocolobus_tephrosceles ENSPTEG00000033141
pan_paniscus ENSPPAG00000041823
pan_troglodytes ENSPTRG00000043439
gorilla_gorilla ENSGGOG00000036671
propithecus_coquereli ENSPCOG00000014665
tupaia_belangeri ENSTBEG00000002251
octodon_degus ENSODEG00000004900
octodon_degus ENSODEG00000000827
octodon_degus ENSODEG00000005445
cavia_aperea ENSCAPG00000017284
heterocephalus_glaber ENSHGLG00100017355
mus_spicilegus ENSMSIG00000008793
tursiops_truncatus ENSTTRG00000007752
capra_hircus ENSCHIG00000025862
vicugna_pacos ENSVPAG00000006411
saimiri_boliviensis ENSSBOG00000031411
drosophila_melanogaster FBgn0038826
