equus_asinus ENSEASG00005012627
pteropus_vampyrus ENSPVAG00000007680
neovison_vison ENSNVIG00000009666
mustela_putorius ENSMPUG00000000700
ursus_americanus ENSUAMG00000019924
ursus_maritimus ENSUMAG00000023932
canis_lupus ENSCAFG00020003521
canis_lupus ENSCAFG00000030461
vulpes_vulpes ENSVVUG00000001301
felis_catus ENSFCAG00000038284
panthera_pardus ENSPPRG00000009858
ovis_aries ENSOARG00000004045
capra_hircus ENSCHIG00000014371
bos_indicus ENSBIXG00005029390
bos_indicus ENSBIXG00000005181
bos_taurus ENSBTAG00000002281
bos_mutus ENSBMUG00000002796
bison_bison ENSBBBG00000012969
tursiops_truncatus ENSTTRG00000011571
pan_paniscus ENSPPAG00000041850
pan_troglodytes ENSPTRG00000045846
homo_sapiens ENSG00000177932
gorilla_gorilla ENSGGOG00000014245
pongo_abelii ENSPPYG00000016117
nomascus_leucogenys ENSNLEG00000001445
piliocolobus_tephrosceles ENSPTEG00000028933
colobus_angolensis ENSCANG00000042645
rhinopithecus_roxellana ENSRROG00000039027
macaca_mulatta ENSMMUG00000002485
macaca_nemestrina ENSMNEG00000034678
mandrillus_leucophaeus ENSMLEG00000029929
papio_anubis ENSPANG00000002751
theropithecus_gelada ENSTGEG00000017278
cercocebus_atys ENSCATG00000039049
chlorocebus_sabaeus ENSCSAG00000008484
cebus_capucinus ENSCCAG00000018268
saimiri_boliviensis ENSSBOG00000015814
aotus_nancymaae ENSANAG00000021816
carlito_syrichta ENSTSYG00000008898
prolemur_simus ENSPSMG00000011861
microcebus_murinus ENSMICG00000034512
propithecus_coquereli ENSPCOG00000020526
otolemur_garnettii ENSOGAG00000011077
mus_spicilegus ENSMSIG00000009873
mus_musculus ENSMUSG00000044807
mus_spretus MGP_SPRETEiJ_G0017138
mus_caroli MGP_CAROLIEiJ_G0016294
mus_pahari MGP_PahariEiJ_G0017429
rattus_norvegicus ENSRNOG00000029205
meriones_unguiculatus ENSMUGG00000002759
cricetulus_griseus ENSCGRG00015025818
cricetulus_griseus ENSCGRG00000018348
cricetulus_griseus ENSCGRG00001011620
mesocricetus_auratus ENSMAUG00000001171
microtus_ochrogaster ENSMOCG00000022297
peromyscus_maniculatus ENSPEMG00000014426
nannospalax_galili ENSNGAG00000013055
jaculus_jaculus ENSJJAG00000015911
castor_canadensis ENSCCNG00000002792
dipodomys_ordii ENSDORG00000015602
chinchilla_lanigera ENSCLAG00000012651
octodon_degus ENSODEG00000007509
cavia_porcellus ENSCPOG00000038581
heterocephalus_glaber ENSHGLG00100018307
heterocephalus_glaber ENSHGLG00000019454
fukomys_damarensis ENSFDAG00000005429
urocitellus_parryii ENSUPAG00010002992
ictidomys_tridecemlineatus ENSSTOG00000023695
spermophilus_dauricus ENSSDAG00000019199
marmota_marmota ENSMMMG00000010838
oryctolagus_cuniculus ENSOCUG00000035837
loxodonta_africana ENSLAFG00000006476
procavia_capensis ENSPCAG00000006966
echinops_telfairi ENSETEG00000005631
dasypus_novemcinctus ENSDNOG00000011675
