danio_rerio ENSDARG00000096849
astyanax_mexicanus ENSAMXG00000040537
anabas_testudineus ENSATEG00000012133
mastacembelus_armatus ENSMAMG00000017344
oryzias_latipes ENSORLG00020020291
oryzias_latipes ENSORLG00000022994
oryzias_latipes_asm223469v1 ENSORLG00015012685
oryzias_melastigma ENSOMEG00000011207
mola_mola ENSMMOG00000009720
seriola_lalandi_dorsalis ENSSLDG00000015459
seriola_dumerili ENSSDUG00000007015
kryptolebias_marmoratus ENSKMAG00000013074
cyprinodon_variegatus ENSCVAG00000023047
amphilophus_citrinellus ENSACIG00000011894
acanthochromis_polyacanthus ENSAPOG00000020971
amphiprion_percula ENSAPEG00000019433
stegastes_partitus ENSSPAG00000017379
scophthalmus_maximus ENSSMAG00000017772
hippocampus_comes ENSHCOG00000018378
esox_lucius ENSELUG00000022247
paramormyrops_kingsleyae ENSPKIG00000007039
paramormyrops_kingsleyae ENSPKIG00000019729
