mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029335
mus_spicilegus ENSMSIG00000001238
mus_musculus ENSMUSG00000045466
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028331
mus_pahari MGP_PahariEiJ_G0022088
rattus_norvegicus ENSRNOG00000026874
meriones_unguiculatus ENSMUGG00000021326
cricetulus_griseus_chok1gshd ENSCGRG00001014461
cricetulus_griseus_crigri ENSCGRG00000017517
cricetulus_griseus_crigri-picr ENSCGRG00015008326
mesocricetus_auratus ENSMAUG00000016124
microtus_ochrogaster ENSMOCG00000007530
peromyscus_maniculatus_bairdii ENSPEMG00000028517
nannospalax_galili ENSNGAG00000023477
castor_canadensis ENSCCNG00000012990
ictidomys_tridecemlineatus ENSSTOG00000022081
urocitellus_parryii ENSUPAG00010020603
spermophilus_dauricus ENSSDAG00000015062
marmota_marmota_marmota ENSMMMG00000006955
piliocolobus_tephrosceles ENSPTEG00000030299
dasypus_novemcinctus ENSDNOG00000031181
monodelphis_domestica ENSMODG00000002313
sarcophilus_harrisii ENSSHAG00000018340
phascolarctos_cinereus ENSPCIG00000009333
ornithorhynchus_anatinus ENSOANG00000031069
apteryx_owenii ENSAOWG00000004671
apteryx_haastii ENSAHAG00000000976
gopherus_agassizii ENSGAGG00000018764
salvator_merianae ENSSMRG00000017280
apteryx_rowi ENSARWG00000012201
zonotrichia_albicollis ENSZALG00000004906
ornithorhynchus_anatinus ENSOANG00000031247
