dasypus_novemcinctus ENSDNOG00000011820
choloepus_hoffmanni ENSCHOG00000001557
loxodonta_africana ENSLAFG00000002811
procavia_capensis ENSPCAG00000003796
echinops_telfairi ENSETEG00000015912
pan_troglodytes ENSPTRG00000019029
pan_paniscus ENSPPAG00000039137
homo_sapiens ENSG00000106066
gorilla_gorilla ENSGGOG00000009483
pongo_abelii ENSPPYG00000017687
nomascus_leucogenys ENSNLEG00000015062
colobus_angolensis_palliatus ENSCANG00000039468
piliocolobus_tephrosceles ENSPTEG00000020277
rhinopithecus_roxellana ENSRROG00000042100
rhinopithecus_bieti ENSRBIG00000038382
theropithecus_gelada ENSTGEG00000020346
papio_anubis ENSPANG00000006146
mandrillus_leucophaeus ENSMLEG00000041505
cercocebus_atys ENSCATG00000000641
macaca_mulatta ENSMMUG00000020184
macaca_fascicularis ENSMFAG00000000559
macaca_nemestrina ENSMNEG00000031185
chlorocebus_sabaeus ENSCSAG00000014372
cebus_capucinus ENSCCAG00000037178
saimiri_boliviensis_boliviensis ENSSBOG00000021419
callithrix_jacchus ENSCJAG00000008379
aotus_nancymaae ENSANAG00000021215
carlito_syrichta ENSTSYG00000006312
prolemur_simus ENSPSMG00000015408
propithecus_coquereli ENSPCOG00000028457
microcebus_murinus ENSMICG00000037854
otolemur_garnettii ENSOGAG00000000026
mus_spicilegus ENSMSIG00000023569
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029401
mus_musculus ENSMUSG00000052955
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028399
mus_pahari MGP_PahariEiJ_G0022149
rattus_norvegicus ENSRNOG00000009172
meriones_unguiculatus ENSMUGG00000006725
cricetulus_griseus_chok1gshd ENSCGRG00001012752
cricetulus_griseus_crigri-picr ENSCGRG00015021415
cricetulus_griseus_crigri ENSCGRG00000000204
mesocricetus_auratus ENSMAUG00000007253
microtus_ochrogaster ENSMOCG00000021500
peromyscus_maniculatus_bairdii ENSPEMG00000018828
nannospalax_galili ENSNGAG00000024201
jaculus_jaculus ENSJJAG00000008362
spermophilus_dauricus ENSSDAG00000021521
marmota_marmota_marmota ENSMMMG00000006841
ictidomys_tridecemlineatus ENSSTOG00000010505
urocitellus_parryii ENSUPAG00010002881
heterocephalus_glaber_male ENSHGLG00100014248
heterocephalus_glaber_female ENSHGLG00000016195
fukomys_damarensis ENSFDAG00000011587
chinchilla_lanigera ENSCLAG00000009635
octodon_degus ENSODEG00000009470
cavia_porcellus ENSCPOG00000013406
cavia_aperea ENSCAPG00000011163
castor_canadensis ENSCCNG00000014210
dipodomys_ordii ENSDORG00000012786
oryctolagus_cuniculus ENSOCUG00000016573
ochotona_princeps ENSOPRG00000012262
tupaia_belangeri ENSTBEG00000012213
pteropus_vampyrus ENSPVAG00000005535
myotis_lucifugus ENSMLUG00000013805
equus_asinus_asinus ENSEASG00005000218
equus_caballus ENSECAG00000024795
ursus_maritimus ENSUMAG00000001960
ursus_americanus ENSUAMG00000020622
ailuropoda_melanoleuca ENSAMEG00000005728
neovison_vison ENSNVIG00000011645
mustela_putorius_furo ENSMPUG00000004911
canis_lupus_familiaris ENSCAFG00000003017
canis_lupus_dingo ENSCAFG00020003917
vulpes_vulpes ENSVVUG00000024711
panthera_pardus ENSPPRG00000022917
panthera_tigris_altaica ENSPTIG00000018446
felis_catus ENSFCAG00000011225
bos_taurus ENSBTAG00000007146
bos_mutus ENSBMUG00000019523
bison_bison_bison ENSBBBG00000005509
ovis_aries ENSOARG00000008943
capra_hircus ENSCHIG00000015778
tursiops_truncatus ENSTTRG00000014785
sus_scrofa ENSSSCG00000016688
vicugna_pacos ENSVPAG00000012538
sorex_araneus ENSSARG00000000179
erinaceus_europaeus ENSEEUG00000012710
notamacropus_eugenii ENSMEUG00000003170
phascolarctos_cinereus ENSPCIG00000008535
sarcophilus_harrisii ENSSHAG00000010026
monodelphis_domestica ENSMODG00000015330
ornithorhynchus_anatinus ENSOANG00000009179
latimeria_chalumnae ENSLACG00000015941
xenopus_tropicalis ENSXETG00000012046
monopterus_albus ENSMALG00000011019
mastacembelus_armatus ENSMAMG00000013747
anabas_testudineus ENSATEG00000006320
seriola_dumerili ENSSDUG00000001270
seriola_lalandi_dorsalis ENSSLDG00000014724
scophthalmus_maximus ENSSMAG00000000083
gasterosteus_aculeatus ENSGACG00000008182
gasterosteus_aculeatus ENSGACG00000008172
labrus_bergylta ENSLBEG00000008956
xiphophorus_couchianus ENSXCOG00000019807
xiphophorus_maculatus ENSXMAG00000013886
gambusia_affinis ENSGAFG00000005404
poecilia_formosa ENSPFOG00000004633
poecilia_latipinna ENSPLAG00000015055
poecilia_mexicana ENSPMEG00000001113
poecilia_reticulata ENSPREG00000001566
fundulus_heteroclitus ENSFHEG00000015030
cyprinodon_variegatus ENSCVAG00000012267
kryptolebias_marmoratus ENSKMAG00000015213
oryzias_latipes ENSORLG00020015660
oryzias_latipes_asm223469v1 ENSORLG00015021660
oryzias_latipes ENSORLG00000007488
oryzias_melastigma ENSOMEG00000020677
acanthochromis_polyacanthus ENSAPOG00000017366
acanthochromis_polyacanthus ENSAPOG00000000472
amphiprion_ocellaris ENSAOCG00000003999
amphiprion_percula ENSAPEG00000011142
stegastes_partitus ENSSPAG00000013027
pundamilia_nyererei ENSPNYG00000014875
haplochromis_burtoni ENSHBUG00000017759
maylandia_zebra ENSMZEG00005014001
astatotilapia_calliptera ENSACLG00000003328
neolamprologus_brichardi ENSNBRG00000016620
oreochromis_niloticus ENSONIG00000002938
amphilophus_citrinellus ENSACIG00000016460
takifugu_rubripes ENSTRUG00000015515
tetraodon_nigroviridis ENSTNIG00000018432
mola_mola ENSMMOG00000001373
cynoglossus_semilaevis ENSCSEG00000004857
periophthalmus_magnuspinnatus ENSPMGG00000011763
hippocampus_comes ENSHCOG00000005489
gadus_morhua ENSGMOG00000014089
esox_lucius ENSELUG00000007617
pygocentrus_nattereri ENSPNAG00000009130
ictalurus_punctatus ENSIPUG00000002845
danio_rerio ENSDARG00000056480
scleropages_formosus ENSSFOG00015021768
paramormyrops_kingsleyae ENSPKIG00000009045
lepisosteus_oculatus ENSLOCG00000004266
gopherus_agassizii ENSGAGG00000025558
chelonoidis_abingdonii ENSCABG00000017173
chrysemys_picta_bellii ENSCPBG00000022520
pelodiscus_sinensis ENSPSIG00000015548
crocodylus_porosus ENSCPRG00005000643
sphenodon_punctatus ENSSPUG00000002678
pogona_vitticeps ENSPVIG00000015302
anolis_carolinensis ENSACAG00000007086
notechis_scutatus ENSNSUG00000011672
salvator_merianae ENSSMRG00000002600
drosophila_melanogaster FBgn0038738
