cyprinodon_variegatus ENSCVAG00000010897
fundulus_heteroclitus ENSFHEG00000008368
poecilia_formosa ENSPFOG00000001105
xiphophorus_maculatus ENSXMAG00000000161
poecilia_reticulata ENSPREG00000021103
gambusia_affinis ENSGAFG00000018499
poecilia_latipinna ENSPLAG00000011964
poecilia_mexicana ENSPMEG00000006766
kryptolebias_marmoratus ENSKMAG00000000439
oryzias_latipes_asm223469v1 ENSORLG00015018249
oryzias_latipes ENSORLG00000026297
oryzias_latipes ENSORLG00020019319
oryzias_melastigma ENSOMEG00000021061
gasterosteus_aculeatus ENSGACG00000015805
cynoglossus_semilaevis ENSCSEG00000007083
amphiprion_percula ENSAPEG00000003784
amphiprion_ocellaris ENSAOCG00000022859
acanthochromis_polyacanthus ENSAPOG00000022211
stegastes_partitus ENSSPAG00000008917
maylandia_zebra ENSMZEG00005020325
pundamilia_nyererei ENSPNYG00000016416
astatotilapia_calliptera ENSACLG00000023635
haplochromis_burtoni ENSHBUG00000011254
neolamprologus_brichardi ENSNBRG00000016657
oreochromis_niloticus ENSONIG00000012372
mastacembelus_armatus ENSMAMG00000015408
monopterus_albus ENSMALG00000010910
anabas_testudineus ENSATEG00000014810
seriola_dumerili ENSSDUG00000004777
seriola_lalandi_dorsalis ENSSLDG00000002344
labrus_bergylta ENSLBEG00000026390
mola_mola ENSMMOG00000011151
hippocampus_comes ENSHCOG00000011299
gadus_morhua ENSGMOG00000017510
esox_lucius ENSELUG00000017381
pygocentrus_nattereri ENSPNAG00000019877
astyanax_mexicanus ENSAMXG00000019712
ictalurus_punctatus ENSIPUG00000014361
danio_rerio ENSDARG00000079784
scleropages_formosus ENSSFOG00015020872
paramormyrops_kingsleyae ENSPKIG00000007061
lepisosteus_oculatus ENSLOCG00000012712
gallus_gallus ENSGALG00000044996
coturnix_japonica ENSCJPG00005008273
numida_meleagris ENSNMEG00000008780
anser_brachyrhynchus ENSABRG00000003416
serinus_canaria ENSSCAG00000008025
lonchura_striata_domestica ENSLSDG00000001094
zonotrichia_albicollis ENSZALG00000014638
taeniopygia_guttata ENSTGUG00000012557
ficedula_albicollis ENSFALG00000002631
cyanistes_caeruleus ENSCCEG00000010272
parus_major ENSPMJG00000011758
calidris_pugnax ENSCPUG00000010054
calidris_pygmaea ENSCPGG00000004841
apteryx_owenii ENSAOWG00000013156
apteryx_haastii ENSAHAG00000001260
apteryx_rowi ENSARWG00000011876
dromaius_novaehollandiae ENSDNVG00000018863
crocodylus_porosus ENSCPRG00005011378
chrysemys_picta_bellii ENSCPBG00000020343
gopherus_agassizii ENSGAGG00000000888
pelodiscus_sinensis ENSPSIG00000005676
sphenodon_punctatus ENSSPUG00000008040
