astyanax_mexicanus ENSAMXG00000043124
pygocentrus_nattereri ENSPNAG00000013111
ictalurus_punctatus ENSIPUG00000010529
danio_rerio ENSDARG00000100952
takifugu_rubripes ENSTRUG00000022034
hippocampus_comes ENSHCOG00000002634
amphilophus_citrinellus ENSACIG00000010055
amphiprion_percula ENSAPEG00000015670
amphiprion_ocellaris ENSAOCG00000017474
stegastes_partitus ENSSPAG00000006105
maylandia_zebra ENSMZEG00005018253
pundamilia_nyererei ENSPNYG00000005930
haplochromis_burtoni ENSHBUG00000019487
neolamprologus_brichardi ENSNBRG00000008878
oreochromis_niloticus ENSONIG00000020393
xiphophorus_maculatus ENSXMAG00000009048
xiphophorus_couchianus ENSXCOG00000003838
gambusia_affinis ENSGAFG00000005837
poecilia_mexicana ENSPMEG00000014244
poecilia_latipinna ENSPLAG00000000251
poecilia_formosa ENSPFOG00000001775
poecilia_reticulata ENSPREG00000013852
fundulus_heteroclitus ENSFHEG00000017909
seriola_lalandi_dorsalis ENSSLDG00000001019
seriola_dumerili ENSSDUG00000012941
scophthalmus_maximus ENSSMAG00000006547
gasterosteus_aculeatus ENSGACG00000012414
mola_mola ENSMMOG00000007946
oryzias_latipes ENSORLG00000003462
oryzias_latipes ENSORLG00020015659
oryzias_latipes_asm223469v1 ENSORLG00015021023
oryzias_melastigma ENSOMEG00000017755
cynoglossus_semilaevis ENSCSEG00000003996
mastacembelus_armatus ENSMAMG00000022429
labrus_bergylta ENSLBEG00000022960
esox_lucius ENSELUG00000016033
scleropages_formosus ENSSFOG00015000705
paramormyrops_kingsleyae ENSPKIG00000003518
