ficedula_albicollis ENSFALG00000006043
meleagris_gallopavo ENSMGAG00000002380
anolis_carolinensis ENSACAG00000003500
cricetulus_griseus ENSCGRG00000002493
cricetulus_griseus ENSCGRG00001011094
microtus_ochrogaster ENSMOCG00000012324
mus_spretus MGP_SPRETEiJ_G0033233
mus_caroli MGP_CAROLIEiJ_G0032094
mus_pahari MGP_PahariEiJ_G0014963
nannospalax_galili ENSNGAG00000023549
jaculus_jaculus ENSJJAG00000016113
dipodomys_ordii ENSDORG00000023239
cavia_aperea ENSCAPG00000000360
cavia_porcellus ENSCPOG00000022924
octodon_degus ENSODEG00000006811
chinchilla_lanigera ENSCLAG00000012333
heterocephalus_glaber ENSHGLG00100015641
heterocephalus_glaber ENSHGLG00000014211
fukomys_damarensis ENSFDAG00000007678
otolemur_garnettii ENSOGAG00000032505
ailuropoda_melanoleuca ENSAMEG00000007758
mustela_putorius ENSMPUG00000005548
ovis_aries ENSOARG00000016172
latimeria_chalumnae ENSLACG00000014814
lepisosteus_oculatus ENSLOCG00000005832
