poecilia_reticulata ENSPREG00000004342
neolamprologus_brichardi ENSNBRG00000010674
cynoglossus_semilaevis ENSCSEG00000001623
periophthalmus_magnuspinnatus ENSPMGG00000015321
cynoglossus_semilaevis ENSCSEG00000006121
takifugu_rubripes ENSTRUG00000025870
periophthalmus_magnuspinnatus ENSPMGG00000006659
xiphophorus_couchianus ENSXCOG00000019700
poecilia_mexicana ENSPMEG00000018222
seriola_lalandi_dorsalis ENSSLDG00000008681
anabas_testudineus ENSATEG00000006142
seriola_lalandi_dorsalis ENSSLDG00000023812
pundamilia_nyererei ENSPNYG00000002170
haplochromis_burtoni ENSHBUG00000015410
neolamprologus_brichardi ENSNBRG00000013495
amphilophus_citrinellus ENSACIG00000021048
gambusia_affinis ENSGAFG00000000255
poecilia_mexicana ENSPMEG00000015308
fundulus_heteroclitus ENSFHEG00000017336
periophthalmus_magnuspinnatus ENSPMGG00000013744
stegastes_partitus ENSSPAG00000012896
cynoglossus_semilaevis ENSCSEG00000019827
monopterus_albus ENSMALG00000017307
esox_lucius ENSELUG00000007444
gopherus_agassizii ENSGAGG00000011672
chelonoidis_abingdonii ENSCABG00000004138
mus_spicilegus ENSMSIG00000002926
mus_spicilegus ENSMSIG00000005463
mus_spicilegus ENSMSIG00000012676
mus_spicilegus ENSMSIG00000005495
mus_spicilegus ENSMSIG00000021337
mus_spicilegus ENSMSIG00000006499
mus_spicilegus ENSMSIG00000013502
mus_musculus ENSMUSG00000095470
otolemur_garnettii ENSOGAG00000034773
