xiphophorus_couchianus ENSXCOG00000004500
xiphophorus_maculatus ENSXMAG00000006313
gambusia_affinis ENSGAFG00000016402
poecilia_formosa ENSPFOG00000016210
poecilia_mexicana ENSPMEG00000001776
poecilia_latipinna ENSPLAG00000017591
poecilia_reticulata ENSPREG00000013697
fundulus_heteroclitus ENSFHEG00000014044
cyprinodon_variegatus ENSCVAG00000012471
oryzias_latipes ENSORLG00020001345
oryzias_latipes_asm223469v1 ENSORLG00015020172
oryzias_latipes ENSORLG00000014167
oryzias_melastigma ENSOMEG00000001600
amphiprion_ocellaris ENSAOCG00000002089
amphiprion_percula ENSAPEG00000023472
acanthochromis_polyacanthus ENSAPOG00000016032
stegastes_partitus ENSSPAG00000008616
kryptolebias_marmoratus ENSKMAG00000004229
seriola_dumerili ENSSDUG00000022536
seriola_lalandi_dorsalis ENSSLDG00000019759
cynoglossus_semilaevis ENSCSEG00000000405
periophthalmus_magnuspinnatus ENSPMGG00000015573
mastacembelus_armatus ENSMAMG00000007648
anabas_testudineus ENSATEG00000008606
labrus_bergylta ENSLBEG00000000951
takifugu_rubripes ENSTRUG00000003843
tetraodon_nigroviridis ENSTNIG00000006719
gasterosteus_aculeatus ENSGACG00000003908
scophthalmus_maximus ENSSMAG00000003462
maylandia_zebra ENSMZEG00005010510
astatotilapia_calliptera ENSACLG00000026902
pundamilia_nyererei ENSPNYG00000021762
astatotilapia_calliptera ENSACLG00000026836
haplochromis_burtoni ENSHBUG00000011108
neolamprologus_brichardi ENSNBRG00000016447
maylandia_zebra ENSMZEG00005010906
neolamprologus_brichardi ENSNBRG00000016490
oreochromis_niloticus ENSONIG00000019226
amphilophus_citrinellus ENSACIG00000015472
mola_mola ENSMMOG00000014443
mola_mola ENSMMOG00000014449
hippocampus_comes ENSHCOG00000006238
gadus_morhua ENSGMOG00000007613
esox_lucius ENSELUG00000021907
pygocentrus_nattereri ENSPNAG00000022695
pygocentrus_nattereri ENSPNAG00000027287
ictalurus_punctatus ENSIPUG00000002039
danio_rerio ENSDARG00000069100
danio_rerio ENSDARG00000055331
scleropages_formosus ENSSFOG00015022357
scleropages_formosus ENSSFOG00015022323
paramormyrops_kingsleyae ENSPKIG00000011195
lepisosteus_oculatus ENSLOCG00000006045
gopherus_agassizii ENSGAGG00000020224
chelonoidis_abingdonii ENSCABG00000018598
chrysemys_picta_bellii ENSCPBG00000014763
pelodiscus_sinensis ENSPSIG00000017701
sphenodon_punctatus ENSSPUG00000017592
pogona_vitticeps ENSPVIG00000010784
anolis_carolinensis ENSACAG00000013380
salvator_merianae ENSSMRG00000023506
notechis_scutatus ENSNSUG00000016253
notechis_scutatus ENSNSUG00000017345
apteryx_rowi ENSARWG00000004588
apteryx_haastii ENSAHAG00000004499
dromaius_novaehollandiae ENSDNVG00000015927
nothoprocta_perdicaria ENSNPEG00000014737
calidris_pygmaea ENSCPGG00000007977
calidris_pugnax ENSCPUG00000019976
lepidothrix_coronata ENSLCOG00000001019
manacus_vitellinus ENSMVIG00005014622
zonotrichia_albicollis ENSZALG00000006117
junco_hyemalis ENSJHYG00000010527
serinus_canaria ENSSCAG00000002202
lonchura_striata_domestica ENSLSDG00000009586
parus_major ENSPMJG00000010592
ficedula_albicollis ENSFALG00000007962
melopsittacus_undulatus ENSMUNG00000013003
gallus_gallus ENSGALG00000003495
meleagris_gallopavo ENSMGAG00000003531
coturnix_japonica ENSCJPG00005021434
numida_meleagris ENSNMEG00000000812
anas_platyrhynchos_platyrhynchos ENSAPLG00000008067
anser_brachyrhynchus ENSABRG00000022724
crocodylus_porosus ENSCPRG00005005188
oryctolagus_cuniculus ENSOCUG00000010380
ochotona_princeps ENSOPRG00000015920
octodon_degus ENSODEG00000006714
cavia_porcellus ENSCPOG00000015347
heterocephalus_glaber_male ENSHGLG00100012351
heterocephalus_glaber_female ENSHGLG00000004082
pteropus_vampyrus ENSPVAG00000007690
erinaceus_europaeus ENSEEUG00000007745
panthera_pardus ENSPPRG00000008229
panthera_pardus ENSPPRG00000009622
panthera_tigris_altaica ENSPTIG00000020185
felis_catus ENSFCAG00000004312
mustela_putorius_furo ENSMPUG00000003853
piliocolobus_tephrosceles ENSPTEG00000022136
macaca_nemestrina ENSMNEG00000000543
pan_troglodytes ENSPTRG00000001617
pan_paniscus ENSPPAG00000041488
homo_sapiens ENSG00000143149
pongo_abelii ENSPPYG00000000568
nomascus_leucogenys ENSNLEG00000014707
callithrix_jacchus ENSCJAG00000004575
saimiri_boliviensis_boliviensis ENSSBOG00000027046
aotus_nancymaae ENSANAG00000029992
propithecus_coquereli ENSPCOG00000020786
bison_bison_bison ENSBBBG00000002457
procavia_capensis ENSPCAG00000015817
dasypus_novemcinctus ENSDNOG00000017232
phascolarctos_cinereus ENSPCIG00000029991
notamacropus_eugenii ENSMEUG00000010289
latimeria_chalumnae ENSLACG00000009933
