fundulus_heteroclitus ENSFHEG00000019194
cyprinodon_variegatus ENSCVAG00000023397
kryptolebias_marmoratus ENSKMAG00000005464
oryzias_melastigma ENSOMEG00000007647
takifugu_rubripes ENSTRUG00000022678
seriola_lalandi_dorsalis ENSSLDG00000017804
seriola_dumerili ENSSDUG00000002360
scophthalmus_maximus ENSSMAG00000002225
labrus_bergylta ENSLBEG00000011429
gasterosteus_aculeatus ENSGACG00000003603
mola_mola ENSMMOG00000013770
cynoglossus_semilaevis ENSCSEG00000019934
mastacembelus_armatus ENSMAMG00000012472
monopterus_albus ENSMALG00000006966
anabas_testudineus ENSATEG00000004786
haplochromis_burtoni ENSHBUG00000018528
pundamilia_nyererei ENSPNYG00000011395
astatotilapia_calliptera ENSACLG00000008227
maylandia_zebra ENSMZEG00005015962
neolamprologus_brichardi ENSNBRG00000014891
amphilophus_citrinellus ENSACIG00000013663
amphiprion_percula ENSAPEG00000024186
amphiprion_ocellaris ENSAOCG00000022709
acanthochromis_polyacanthus ENSAPOG00000022082
stegastes_partitus ENSSPAG00000003804
poecilia_mexicana ENSPMEG00000011585
poecilia_formosa ENSPFOG00000017374
poecilia_latipinna ENSPLAG00000003011
poecilia_reticulata ENSPREG00000020948
gambusia_affinis ENSGAFG00000014118
xiphophorus_maculatus ENSXMAG00000015853
hippocampus_comes ENSHCOG00000014487
gadus_morhua ENSGMOG00000010485
pygocentrus_nattereri ENSPNAG00000011742
astyanax_mexicanus ENSAMXG00000009812
ictalurus_punctatus ENSIPUG00000004166
danio_rerio ENSDARG00000038076
scleropages_formosus ENSSFOG00015012397
paramormyrops_kingsleyae ENSPKIG00000005121
periophthalmus_magnuspinnatus ENSPMGG00000000765
lepisosteus_oculatus ENSLOCG00000007270
mandrillus_leucophaeus ENSMLEG00000038003
chlorocebus_sabaeus ENSCSAG00000010303
gorilla_gorilla ENSGGOG00000040112
saimiri_boliviensis_boliviensis ENSSBOG00000016292
microcebus_murinus ENSMICG00000035318
nannospalax_galili ENSNGAG00000018475
castor_canadensis ENSCCNG00000021173
spermophilus_dauricus ENSSDAG00000020229
spermophilus_dauricus ENSSDAG00000021044
urocitellus_parryii ENSUPAG00010015068
dipodomys_ordii ENSDORG00000023498
cricetulus_griseus_crigri-picr ENSCGRG00015020022
cricetulus_griseus_chok1gshd ENSCGRG00001011367
cricetulus_griseus_crigri ENSCGRG00000018667
microtus_ochrogaster ENSMOCG00000015940
rattus_norvegicus ENSRNOG00000045555
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025475
chinchilla_lanigera ENSCLAG00000016857
cavia_porcellus ENSCPOG00000014622
vulpes_vulpes ENSVVUG00000001382
neovison_vison ENSNVIG00000014497
ailuropoda_melanoleuca ENSAMEG00000009937
pteropus_vampyrus ENSPVAG00000014943
echinops_telfairi ENSETEG00000009426
fukomys_damarensis ENSFDAG00000009113
mus_pahari MGP_PahariEiJ_G0025998
otolemur_garnettii ENSOGAG00000009270
equus_asinus_asinus ENSEASG00005005116
ursus_americanus ENSUAMG00000010435
myotis_lucifugus ENSMLUG00000002996
loxodonta_africana ENSLAFG00000010392
heterocephalus_glaber_male ENSHGLG00100019296
mus_spicilegus ENSMSIG00000004626
ictidomys_tridecemlineatus ENSSTOG00000015322
pongo_abelii ENSPPYG00000010962
pan_troglodytes ENSPTRG00000013448
piliocolobus_tephrosceles ENSPTEG00000031172
rhinopithecus_bieti ENSRBIG00000037136
cebus_capucinus ENSCCAG00000033038
propithecus_coquereli ENSPCOG00000013287
cricetulus_griseus_chok1gshd ENSCGRG00001000701
octodon_degus ENSODEG00000013417
capra_hircus ENSCHIG00000010377
ovis_aries ENSOARG00000014753
bos_mutus ENSBMUG00000009687
equus_caballus ENSECAG00000012391
canis_lupus_dingo ENSCAFG00020005664
macaca_mulatta ENSMMUG00000044281
pan_paniscus ENSPPAG00000025981
callithrix_jacchus ENSCJAG00000017625
urocitellus_parryii ENSUPAG00010003860
mesocricetus_auratus ENSMAUG00000016463
tursiops_truncatus ENSTTRG00000017038
felis_catus ENSFCAG00000003232
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024553
prolemur_simus ENSPSMG00000002205
choloepus_hoffmanni ENSCHOG00000008950
colobus_angolensis_palliatus ENSCANG00000020599
cercocebus_atys ENSCATG00000019155
nomascus_leucogenys ENSNLEG00000010345
rattus_norvegicus ENSRNOG00000019823
mus_musculus ENSMUSG00000067847
panthera_pardus ENSPPRG00000000617
dasypus_novemcinctus ENSDNOG00000004863
phascolarctos_cinereus ENSPCIG00000027957
notamacropus_eugenii ENSMEUG00000007230
piliocolobus_tephrosceles ENSPTEG00000013124
rhinopithecus_roxellana ENSRROG00000038146
macaca_fascicularis ENSMFAG00000045983
homo_sapiens ENSG00000125995
aotus_nancymaae ENSANAG00000035886
carlito_syrichta ENSTSYG00000005602
meriones_unguiculatus ENSMUGG00000008237
cricetulus_griseus_crigri-picr ENSCGRG00015025701
dipodomys_ordii ENSDORG00000000232
heterocephalus_glaber_female ENSHGLG00000017688
oryctolagus_cuniculus ENSOCUG00000017062
vicugna_pacos ENSVPAG00000003817
bos_taurus ENSBTAG00000027361
ursus_maritimus ENSUMAG00000004313
vulpes_vulpes ENSVVUG00000023017
sorex_araneus ENSSARG00000007672
monodelphis_domestica ENSMODG00000001562
papio_anubis ENSPANG00000032657
macaca_nemestrina ENSMNEG00000031641
rhinopithecus_roxellana ENSRROG00000014110
pan_troglodytes ENSPTRG00000042851
cebus_capucinus ENSCCAG00000020063
carlito_syrichta ENSTSYG00000029535
cricetulus_griseus_crigri ENSCGRG00000005779
peromyscus_maniculatus_bairdii ENSPEMG00000002967
jaculus_jaculus ENSJJAG00000012142
marmota_marmota_marmota ENSMMMG00000023178
ochotona_princeps ENSOPRG00000002174
sus_scrofa ENSSSCG00000007308
bison_bison_bison ENSBBBG00000017038
mustela_putorius_furo ENSMPUG00000017787
panthera_tigris_altaica ENSPTIG00000007907
procavia_capensis ENSPCAG00000008749
xenopus_tropicalis ENSXETG00000025474
chelonoidis_abingdonii ENSCABG00000002942
gopherus_agassizii ENSGAGG00000015133
chrysemys_picta_bellii ENSCPBG00000011598
apteryx_haastii ENSAHAG00000007465
apteryx_owenii ENSAOWG00000014850
apteryx_rowi ENSARWG00000001512
dromaius_novaehollandiae ENSDNVG00000009472
calidris_pygmaea ENSCPGG00000011937
calidris_pugnax ENSCPUG00000016838
anser_brachyrhynchus ENSABRG00000019358
anas_platyrhynchos_platyrhynchos ENSAPLG00000003945
gallus_gallus ENSGALG00000027416
coturnix_japonica ENSCJPG00005020357
melopsittacus_undulatus ENSMUNG00000006998
parus_major ENSPMJG00000001282
cyanistes_caeruleus ENSCCEG00000007852
zonotrichia_albicollis ENSZALG00000013241
manacus_vitellinus ENSMVIG00005013030
serinus_canaria ENSSCAG00000012145
lonchura_striata_domestica ENSLSDG00000009425
taeniopygia_guttata ENSTGUG00000003046
junco_hyemalis ENSJHYG00000006032
lepidothrix_coronata ENSLCOG00000009552
ficedula_albicollis ENSFALG00000012502
pogona_vitticeps ENSPVIG00000005471
pogona_vitticeps ENSPVIG00000005469
anolis_carolinensis ENSACAG00000006430
notechis_scutatus ENSNSUG00000015148
notechis_scutatus ENSNSUG00000013686
salvator_merianae ENSSMRG00000002331
salvator_merianae ENSSMRG00000001649
sphenodon_punctatus ENSSPUG00000012362
latimeria_chalumnae ENSLACG00000018912
eptatretus_burgeri ENSEBUG00000000426
