sphenodon_punctatus ENSSPUG00000004811
salvator_merianae ENSSMRG00000000188
chrysemys_picta_bellii ENSCPBG00000002141
dipodomys_ordii ENSDORG00000003424
castor_canadensis ENSCCNG00000009813
cricetulus_griseus_crigri-picr ENSCGRG00015007466
cricetulus_griseus_chok1gshd ENSCGRG00001023056
cricetulus_griseus_crigri ENSCGRG00000011413
mesocricetus_auratus ENSMAUG00000001310
peromyscus_maniculatus_bairdii ENSPEMG00000024240
microtus_ochrogaster ENSMOCG00000013851
mus_spicilegus ENSMSIG00000012753
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026197
mus_musculus ENSMUSG00000042244
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025254
mus_pahari MGP_PahariEiJ_G0026698
rattus_norvegicus ENSRNOG00000046881
rattus_norvegicus ENSRNOG00000045617
nannospalax_galili ENSNGAG00000005730
jaculus_jaculus ENSJJAG00000019546
urocitellus_parryii ENSUPAG00010015788
ictidomys_tridecemlineatus ENSSTOG00000005008
spermophilus_dauricus ENSSDAG00000002750
marmota_marmota_marmota ENSMMMG00000018151
chinchilla_lanigera ENSCLAG00000003607
cavia_porcellus ENSCPOG00000001678
octodon_degus ENSODEG00000009237
heterocephalus_glaber_male ENSHGLG00100004600
fukomys_damarensis ENSFDAG00000014087
tupaia_belangeri ENSTBEG00000012306
pan_troglodytes ENSPTRG00000001342
pan_paniscus ENSPPAG00000043770
gorilla_gorilla ENSGGOG00000000853
homo_sapiens ENSG00000159527
pongo_abelii ENSPPYG00000000818
nomascus_leucogenys ENSNLEG00000010380
papio_anubis ENSPANG00000026391
mandrillus_leucophaeus ENSMLEG00000035858
cercocebus_atys ENSCATG00000038776
macaca_fascicularis ENSMFAG00000040293
macaca_nemestrina ENSMNEG00000042260
theropithecus_gelada ENSTGEG00000018590
chlorocebus_sabaeus ENSCSAG00000001842
piliocolobus_tephrosceles ENSPTEG00000036591
rhinopithecus_bieti ENSRBIG00000039930
saimiri_boliviensis_boliviensis ENSSBOG00000032598
cebus_capucinus ENSCCAG00000030517
callithrix_jacchus ENSCJAG00000036601
aotus_nancymaae ENSANAG00000025112
carlito_syrichta ENSTSYG00000005436
propithecus_coquereli ENSPCOG00000006126
prolemur_simus ENSPSMG00000020580
microcebus_murinus ENSMICG00000012628
otolemur_garnettii ENSOGAG00000008966
sorex_araneus ENSSARG00000004323
erinaceus_europaeus ENSEEUG00000004510
sus_scrofa ENSSSCG00000027322
tursiops_truncatus ENSTTRG00000012396
ovis_aries ENSOARG00000000389
capra_hircus ENSCHIG00000014425
bos_taurus ENSBTAG00000021443
bos_mutus ENSBMUG00000021780
bison_bison_bison ENSBBBG00000003071
panthera_pardus ENSPPRG00000005838
panthera_tigris_altaica ENSPTIG00000013360
felis_catus ENSFCAG00000002484
ursus_maritimus ENSUMAG00000001171
ursus_americanus ENSUAMG00000014283
myotis_lucifugus ENSMLUG00000000569
equus_asinus_asinus ENSEASG00005001050
equus_caballus ENSECAG00000011884
choloepus_hoffmanni ENSCHOG00000001473
dasypus_novemcinctus ENSDNOG00000010495
loxodonta_africana ENSLAFG00000000590
procavia_capensis ENSPCAG00000005570
echinops_telfairi ENSETEG00000017654
