nomascus_leucogenys ENSNLEG00000017007
homo_sapiens ENSG00000251247
rhinopithecus_roxellana ENSRROG00000024185
rhinopithecus_bieti ENSRBIG00000027330
colobus_angolensis_palliatus ENSCANG00000035373
chlorocebus_sabaeus ENSCSAG00000018533
aotus_nancymaae ENSANAG00000020111
prolemur_simus ENSPSMG00000002070
microcebus_murinus ENSMICG00000043350
urocitellus_parryii ENSUPAG00010021328
ictidomys_tridecemlineatus ENSSTOG00000015254
spermophilus_dauricus ENSSDAG00000005364
marmota_marmota_marmota ENSMMMG00000004347
castor_canadensis ENSCCNG00000004947
bos_taurus ENSBTAG00000008902
bison_bison_bison ENSBBBG00000021756
ovis_aries ENSOARG00000011308
vicugna_pacos ENSVPAG00000011869
neovison_vison ENSNVIG00000015811
mustela_putorius_furo ENSMPUG00000018910
ursus_americanus ENSUAMG00000004150
panthera_tigris_altaica ENSPTIG00000009521
panthera_pardus ENSPPRG00000012125
felis_catus ENSFCAG00000034270
octodon_degus ENSODEG00000015153
cavia_aperea ENSCAPG00000007385
microtus_ochrogaster ENSMOCG00000001758
peromyscus_maniculatus_bairdii ENSPEMG00000015830
cricetulus_griseus_crigri ENSCGRG00000016322
cricetulus_griseus_chok1gshd ENSCGRG00001023132
mesocricetus_auratus ENSMAUG00000020269
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028781
mus_musculus ENSMUSG00000051034
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027782
mus_pahari MGP_PahariEiJ_G0024362
rattus_norvegicus ENSRNOG00000051442
meriones_unguiculatus ENSMUGG00000013919
nannospalax_galili ENSNGAG00000018096
cavia_porcellus ENSCPOG00000039015
ovis_aries ENSOARG00000000292
capra_hircus ENSCHIG00000019435
bos_taurus ENSBTAG00000037710
bison_bison_bison ENSBBBG00000006065
bison_bison_bison ENSBBBG00000008080
bos_taurus ENSBTAG00000030440
capra_hircus ENSCHIG00000013939
bos_taurus ENSBTAG00000038755
bos_taurus ENSBTAG00000030444
bos_taurus ENSBTAG00000037699
bison_bison_bison ENSBBBG00000023117
capra_hircus ENSCHIG00000018557
panthera_tigris_altaica ENSPTIG00000011781
ursus_maritimus ENSUMAG00000018206
oryctolagus_cuniculus ENSOCUG00000029451
oryctolagus_cuniculus ENSOCUG00000029453
colobus_angolensis_palliatus ENSCANG00000036804
dasypus_novemcinctus ENSDNOG00000011560
procavia_capensis ENSPCAG00000011853
