labrus_bergylta ENSLBEG00000026059
mola_mola ENSMMOG00000001279
gasterosteus_aculeatus ENSGACG00000009400
monopterus_albus ENSMALG00000003549
mastacembelus_armatus ENSMAMG00000020081
anabas_testudineus ENSATEG00000017825
seriola_dumerili ENSSDUG00000021898
seriola_lalandi ENSSLDG00000013143
scophthalmus_maximus ENSSMAG00000011001
kryptolebias_marmoratus ENSKMAG00000007304
xiphophorus_maculatus ENSXMAG00000010501
xiphophorus_couchianus ENSXCOG00000017175
gambusia_affinis ENSGAFG00000020410
poecilia_mexicana ENSPMEG00000012430
poecilia_formosa ENSPFOG00000011338
poecilia_latipinna ENSPLAG00000022824
poecilia_reticulata ENSPREG00000018162
fundulus_heteroclitus ENSFHEG00000004939
cyprinodon_variegatus ENSCVAG00000013576
kryptolebias_marmoratus ENSKMAG00000008825
oryzias_latipes ENSORLG00000007980
oryzias_latipes ENSORLG00015006209
oryzias_latipes ENSORLG00020010685
oryzias_melastigma ENSOMEG00000010140
astatotilapia_calliptera ENSACLG00000017274
maylandia_zebra ENSMZEG00005011540
pundamilia_nyererei ENSPNYG00000014594
pundamilia_nyererei ENSPNYG00000000573
haplochromis_burtoni ENSHBUG00000013590
neolamprologus_brichardi ENSNBRG00000021343
oreochromis_niloticus ENSONIG00000020347
amphilophus_citrinellus ENSACIG00000009375
amphiprion_ocellaris ENSAOCG00000005177
amphiprion_percula ENSAPEG00000001000
acanthochromis_polyacanthus ENSAPOG00000007838
stegastes_partitus ENSSPAG00000023237
takifugu_rubripes ENSTRUG00000006076
tetraodon_nigroviridis ENSTNIG00000011127
cynoglossus_semilaevis ENSCSEG00000005187
periophthalmus_magnuspinnatus ENSPMGG00000000890
hippocampus_comes ENSHCOG00000004579
gadus_morhua ENSGMOG00000014301
esox_lucius ENSELUG00000006927
pygocentrus_nattereri ENSPNAG00000006724
astyanax_mexicanus ENSAMXG00000009177
ictalurus_punctatus ENSIPUG00000022513
danio_rerio ENSDARG00000022853
scleropages_formosus ENSSFOG00015016943
paramormyrops_kingsleyae ENSPKIG00000022411
lepisosteus_oculatus ENSLOCG00000010125
ursus_maritimus ENSUMAG00000023987
ursus_americanus ENSUAMG00000002940
ursus_americanus ENSUAMG00000026489
ailuropoda_melanoleuca ENSAMEG00000010169
neovison_vison ENSNVIG00000009207
mustela_putorius ENSMPUG00000016952
canis_lupus ENSCAFG00000006563
canis_lupus ENSCAFG00020011855
vulpes_vulpes ENSVVUG00000014456
panthera_pardus ENSPPRG00000011239
panthera_tigris ENSPTIG00000021116
felis_catus ENSFCAG00000006082
pteropus_vampyrus ENSPVAG00000000789
equus_asinus ENSEASG00005001959
equus_caballus ENSECAG00000012398
ovis_aries ENSOARG00000010336
capra_hircus ENSCHIG00000014149
bos_mutus ENSBMUG00000011307
bos_taurus ENSBTAG00000022681
bison_bison ENSBBBG00000025364
tursiops_truncatus ENSTTRG00000015293
sus_scrofa ENSSSCG00000011504
vicugna_pacos ENSVPAG00000001350
erinaceus_europaeus ENSEEUG00000013759
sorex_araneus ENSSARG00000006178
cricetulus_griseus ENSCGRG00001015087
cricetulus_griseus ENSCGRG00000010097
cricetulus_griseus ENSCGRG00015015445
mesocricetus_auratus ENSMAUG00000017534
microtus_ochrogaster ENSMOCG00000010159
peromyscus_maniculatus ENSPEMG00000010950
mus_spretus MGP_SPRETEiJ_G0029703
mus_caroli MGP_CAROLIEiJ_G0028676
mus_musculus ENSMUSG00000035245
mus_spicilegus ENSMSIG00000031608
mus_pahari MGP_PahariEiJ_G0022426
rattus_norvegicus ENSRNOG00000024533
meriones_unguiculatus ENSMUGG00000009116
nannospalax_galili ENSNGAG00000015400
jaculus_jaculus ENSJJAG00000020125
castor_canadensis ENSCCNG00000017480
dipodomys_ordii ENSDORG00000000514
chinchilla_lanigera ENSCLAG00000004823
octodon_degus ENSODEG00000006871
cavia_porcellus ENSCPOG00000013299
cavia_aperea ENSCAPG00000002037
heterocephalus_glaber ENSHGLG00000014748
heterocephalus_glaber ENSHGLG00100016560
fukomys_damarensis ENSFDAG00000006718
tupaia_belangeri ENSTBEG00000008388
pan_troglodytes ENSPTRG00000015092
pan_paniscus ENSPPAG00000040173
homo_sapiens ENSG00000163378
gorilla_gorilla ENSGGOG00000034885
pongo_abelii ENSPPYG00000013731
nomascus_leucogenys ENSNLEG00000001976
theropithecus_gelada ENSTGEG00000025707
