cavia_aperea ENSCAPG00000015322
cricetulus_griseus_crigri-picr ENSCGRG00015005989
urocitellus_parryii ENSUPAG00010012338
piliocolobus_tephrosceles ENSPTEG00000032623
carlito_syrichta ENSTSYG00000025690
vulpes_vulpes ENSVVUG00000024832
canis_lupus_dingo ENSCAFG00020019531
bos_taurus ENSBTAG00000054721
bos_mutus ENSBMUG00000024107
vulpes_vulpes ENSVVUG00000014612
theropithecus_gelada ENSTGEG00000016660
phascolarctos_cinereus ENSPCIG00000035533
phascolarctos_cinereus ENSPCIG00000036261
gambusia_affinis ENSGAFG00000015367
xiphophorus_couchianus ENSXCOG00000020743
