cyanistes_caeruleus ENSCCEG00000017073
manacus_vitellinus ENSMVIG00005010195
melopsittacus_undulatus ENSMUNG00000001639
calidris_pugnax ENSCPUG00000005398
anas_platyrhynchos_platyrhynchos ENSAPLG00000016833
mus_spicilegus ENSMSIG00000026860
stegastes_partitus ENSSPAG00000019380
poecilia_mexicana ENSPMEG00000002187
cynoglossus_semilaevis ENSCSEG00000001970
cyprinodon_variegatus ENSCVAG00000004804
monopterus_albus ENSMALG00000004642
poecilia_latipinna ENSPLAG00000011322
labrus_bergylta ENSLBEG00000022290
periophthalmus_magnuspinnatus ENSPMGG00000000408
