procavia_capensis ENSPCAG00000011239
loxodonta_africana ENSLAFG00000021447
capra_hircus ENSCHIG00000007604
ovis_aries ENSOARG00000019980
bos_taurus ENSBTAG00000012061
sus_scrofa ENSSSCG00000003646
myotis_lucifugus ENSMLUG00000001011
canis_lupus_dingo ENSCAFG00020006174
canis_lupus_familiaris ENSCAFG00000003201
neovison_vison ENSNVIG00000013253
felis_catus ENSFCAG00000046375
panthera_pardus ENSPPRG00000022367
equus_caballus ENSECAG00000026886
macaca_nemestrina ENSMNEG00000009418
cercocebus_atys ENSCATG00000006621
theropithecus_gelada ENSTGEG00000020829
papio_anubis ENSPANG00000009765
chlorocebus_sabaeus ENSCSAG00000000135
piliocolobus_tephrosceles ENSPTEG00000026400
pan_troglodytes ENSPTRG00000030679
homo_sapiens ENSG00000185668
cebus_capucinus ENSCCAG00000020138
callithrix_jacchus ENSCJAG00000048677
propithecus_coquereli ENSPCOG00000005829
microcebus_murinus ENSMICG00000001500
prolemur_simus ENSPSMG00000013843
otolemur_garnettii ENSOGAG00000029584
heterocephalus_glaber_female ENSHGLG00000021425
octodon_degus ENSODEG00000006688
castor_canadensis ENSCCNG00000020461
urocitellus_parryii ENSUPAG00010016876
cricetulus_griseus_chok1gshd ENSCGRG00001004375
cricetulus_griseus_crigri-picr ENSCGRG00015006004
mesocricetus_auratus ENSMAUG00000014508
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027425
mus_musculus ENSMUSG00000090125
mus_spicilegus ENSMSIG00000014969
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026446
mus_pahari MGP_PahariEiJ_G0028777
meriones_unguiculatus ENSMUGG00000006360
aotus_nancymaae ENSANAG00000021421
macaca_mulatta ENSMMUG00000044406
nannospalax_galili ENSNGAG00000014834
peromyscus_maniculatus_bairdii ENSPEMG00000026905
cavia_porcellus ENSCPOG00000039902
vulpes_vulpes ENSVVUG00000022893
ochotona_princeps ENSOPRG00000012834
oryctolagus_cuniculus ENSOCUG00000005412
ailuropoda_melanoleuca ENSAMEG00000001322
ursus_americanus ENSUAMG00000006127
dasypus_novemcinctus ENSDNOG00000014265
monodelphis_domestica ENSMODG00000017713
phascolarctos_cinereus ENSPCIG00000025707
