zonotrichia_albicollis ENSZALG00000003250
serinus_canaria ENSSCAG00000005348
taeniopygia_guttata ENSTGUG00000003565
lonchura_striata_domestica ENSLSDG00000001676
parus_major ENSPMJG00000016129
cyanistes_caeruleus ENSCCEG00000016606
ficedula_albicollis ENSFALG00000009878
manacus_vitellinus ENSMVIG00005014847
lepidothrix_coronata ENSLCOG00000012050
melopsittacus_undulatus ENSMUNG00000013314
calidris_pugnax ENSCPUG00000014863
calidris_pygmaea ENSCPGG00000006337
anser_brachyrhynchus ENSABRG00000022577
anas_platyrhynchos_platyrhynchos ENSAPLG00000006149
gallus_gallus ENSGALG00000014804
coturnix_japonica ENSCJPG00005008032
meleagris_gallopavo ENSMGAG00000003575
numida_meleagris ENSNMEG00000008169
apteryx_rowi ENSARWG00000011872
apteryx_owenii ENSAOWG00000001818
apteryx_haastii ENSAHAG00000007826
dromaius_novaehollandiae ENSDNVG00000014118
nothoprocta_perdicaria ENSNPEG00000016042
crocodylus_porosus ENSCPRG00005017314
gopherus_agassizii ENSGAGG00000000942
chelonoidis_abingdonii ENSCABG00000020798
chrysemys_picta_bellii ENSCPBG00000027563
pelodiscus_sinensis ENSPSIG00000009194
pogona_vitticeps ENSPVIG00000011566
anolis_carolinensis ENSACAG00000016545
salvator_merianae ENSSMRG00000001089
sphenodon_punctatus ENSSPUG00000014241
