cynoglossus_semilaevis ENSCSEG00000012870
periophthalmus_magnuspinnatus ENSPMGG00000006622
oryzias_latipes ENSORLG00000024288
oryzias_latipes ENSORLG00020011973
mola_mola ENSMMOG00000012737
takifugu_rubripes ENSTRUG00000025619
gasterosteus_aculeatus ENSGACG00000006311
labrus_bergylta ENSLBEG00000014006
seriola_dumerili ENSSDUG00000021714
seriola_lalandi_dorsalis ENSSLDG00000007630
scophthalmus_maximus ENSSMAG00000010956
mastacembelus_armatus ENSMAMG00000001065
monopterus_albus ENSMALG00000008244
anabas_testudineus ENSATEG00000015069
amphiprion_percula ENSAPEG00000000452
amphiprion_ocellaris ENSAOCG00000007374
acanthochromis_polyacanthus ENSAPOG00000011200
stegastes_partitus ENSSPAG00000001361
fundulus_heteroclitus ENSFHEG00000009665
cyprinodon_variegatus ENSCVAG00000008339
poecilia_formosa ENSPFOG00000003604
poecilia_latipinna ENSPLAG00000009100
poecilia_mexicana ENSPMEG00000016612
poecilia_reticulata ENSPREG00000015755
gambusia_affinis ENSGAFG00000014537
xiphophorus_maculatus ENSXMAG00000007465
xiphophorus_couchianus ENSXCOG00000016478
pundamilia_nyererei ENSPNYG00000021590
maylandia_zebra ENSMZEG00005004547
haplochromis_burtoni ENSHBUG00000003277
neolamprologus_brichardi ENSNBRG00000002858
amphilophus_citrinellus ENSACIG00000017315
esox_lucius ENSELUG00000005510
astyanax_mexicanus ENSAMXG00000000749
pygocentrus_nattereri ENSPNAG00000016991
ictalurus_punctatus ENSIPUG00000020294
danio_rerio ENSDARG00000097169
lepisosteus_oculatus ENSLOCG00000013774
latimeria_chalumnae ENSLACG00000016540
