seriola_lalandi ENSSLDG00000015354
seriola_dumerili ENSSDUG00000010232
lates_calcarifer ENSLCAG00010023982
scophthalmus_maximus ENSSMAG00000008251
oryzias_latipes ENSORLG00015009335
oryzias_latipes ENSORLG00020013416
oryzias_latipes ENSORLG00000026158
oryzias_melastigma ENSOMEG00000005280
poecilia_mexicana ENSPMEG00000018681
poecilia_latipinna ENSPLAG00000007900
poecilia_reticulata ENSPREG00000006664
gambusia_affinis ENSGAFG00000007512
fundulus_heteroclitus ENSFHEG00000016802
parambassis_ranga ENSPRNG00000020728
astatotilapia_calliptera ENSACLG00000010512
pundamilia_nyererei ENSPNYG00000001655
maylandia_zebra ENSMZEG00005006697
haplochromis_burtoni ENSHBUG00000018114
neolamprologus_brichardi ENSNBRG00000004372
amphilophus_citrinellus ENSACIG00000000644
amphiprion_ocellaris ENSAOCG00000024418
amphiprion_percula ENSAPEG00000004474
acanthochromis_polyacanthus ENSAPOG00000014946
stegastes_partitus ENSSPAG00000002289
cottoperca_gobio ENSCGOG00000022187
larimichthys_crocea ENSLCRG00005013027
labrus_bergylta ENSLBEG00000008498
periophthalmus_magnuspinnatus ENSPMGG00000009353
esox_lucius ENSELUG00000023612
pygocentrus_nattereri ENSPNAG00000016890
