poecilia_reticulata ENSPREG00000006481
cyprinodon_variegatus ENSCVAG00000018785
oryzias_latipes ENSORLG00020015533
neolamprologus_brichardi ENSNBRG00000000601
acanthochromis_polyacanthus ENSAPOG00000020095
stegastes_partitus ENSSPAG00000002656
astatotilapia_calliptera ENSACLG00000005057
neolamprologus_brichardi ENSNBRG00000005916
seriola_dumerili ENSSDUG00000005313
mastacembelus_armatus ENSMAMG00000018054
maylandia_zebra ENSMZEG00005014230
pundamilia_nyererei ENSPNYG00000004371
acanthochromis_polyacanthus ENSAPOG00000002284
anabas_testudineus ENSATEG00000011882
xiphophorus_couchianus ENSXCOG00000008325
gambusia_affinis ENSGAFG00000015905
poecilia_latipinna ENSPLAG00000003507
poecilia_mexicana ENSPMEG00000008593
gambusia_affinis ENSGAFG00000015878
fundulus_heteroclitus ENSFHEG00000008259
fundulus_heteroclitus ENSFHEG00000016308
astatotilapia_calliptera ENSACLG00000005308
anabas_testudineus ENSATEG00000012046
periophthalmus_magnuspinnatus ENSPMGG00000007569
