loxodonta_africana ENSLAFG00000026541
echinops_telfairi ENSETEG00000008730
bos_taurus ENSBTAG00000037651
bos_mutus ENSBMUG00000026790
bison_bison_bison ENSBBBG00000012972
ovis_aries ENSOARG00000000674
capra_hircus ENSCHIG00000012385
sus_scrofa ENSSSCG00000006580
equus_caballus ENSECAG00000006694
equus_asinus_asinus ENSEASG00005000932
ursus_americanus ENSUAMG00000003614
ursus_maritimus ENSUMAG00000020706
ailuropoda_melanoleuca ENSAMEG00000012213
neovison_vison ENSNVIG00000014942
mustela_putorius_furo ENSMPUG00000008343
canis_lupus_dingo ENSCAFG00020010348
canis_lupus_familiaris ENSCAFG00000032326
vulpes_vulpes ENSVVUG00000028250
panthera_tigris_altaica ENSPTIG00000020617
panthera_pardus ENSPPRG00000002558
felis_catus ENSFCAG00000038959
pteropus_vampyrus ENSPVAG00000006934
pan_troglodytes ENSPTRG00000001354
pan_paniscus ENSPPAG00000035026
gorilla_gorilla ENSGGOG00000024473
homo_sapiens ENSG00000196754
pongo_abelii ENSPPYG00000000807
nomascus_leucogenys ENSNLEG00000010409
macaca_fascicularis ENSMFAG00000003648
macaca_nemestrina ENSMNEG00000040172
macaca_mulatta ENSMMUG00000010978
papio_anubis ENSPANG00000014083
theropithecus_gelada ENSTGEG00000018882
cercocebus_atys ENSCATG00000038657
chlorocebus_sabaeus ENSCSAG00000001855
mandrillus_leucophaeus ENSMLEG00000037399
rhinopithecus_bieti ENSRBIG00000043549
rhinopithecus_roxellana ENSRROG00000001625
piliocolobus_tephrosceles ENSPTEG00000036345
colobus_angolensis_palliatus ENSCANG00000042002
cebus_capucinus ENSCCAG00000032373
saimiri_boliviensis_boliviensis ENSSBOG00000022888
callithrix_jacchus ENSCJAG00000045746
aotus_nancymaae ENSANAG00000014891
propithecus_coquereli ENSPCOG00000018529
microcebus_murinus ENSMICG00000029559
prolemur_simus ENSPSMG00000020676
ictidomys_tridecemlineatus ENSSTOG00000000655
urocitellus_parryii ENSUPAG00010015673
spermophilus_dauricus ENSSDAG00000002542
marmota_marmota_marmota ENSMMMG00000018090
carlito_syrichta ENSTSYG00000027906
otolemur_garnettii ENSOGAG00000006896
castor_canadensis ENSCCNG00000016837
dipodomys_ordii ENSDORG00000016153
mus_musculus ENSMUSG00000094018
mus_spicilegus ENSMSIG00000001423
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026188
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025245
mus_pahari MGP_PahariEiJ_G0026689
meriones_unguiculatus ENSMUGG00000024404
microtus_ochrogaster ENSMOCG00000017451
cricetulus_griseus_crigri-picr ENSCGRG00015007295
nannospalax_galili ENSNGAG00000016761
myotis_lucifugus ENSMLUG00000009333
phascolarctos_cinereus ENSPCIG00000029370
ornithorhynchus_anatinus ENSOANG00000014147
chelonoidis_abingdonii ENSCABG00000002888
