amphiprion_ocellaris ENSAOCG00000024529
amphiprion_percula ENSAPEG00000002036
maylandia_zebra ENSMZEG00005017288
haplochromis_burtoni ENSHBUG00000023315
astatotilapia_calliptera ENSACLG00000019830
oreochromis_niloticus ENSONIG00000014572
scophthalmus_maximus ENSSMAG00000019887
oryzias_latipes ENSORLG00020004129
oryzias_latipes_asm223469v1 ENSORLG00015021690
oryzias_latipes ENSORLG00000026539
oryzias_melastigma ENSOMEG00000016058
poecilia_mexicana ENSPMEG00000013118
poecilia_reticulata ENSPREG00000017552
gambusia_affinis ENSGAFG00000005551
monopterus_albus ENSMALG00000001505
mastacembelus_armatus ENSMAMG00000021983
periophthalmus_magnuspinnatus ENSPMGG00000020867
esox_lucius ENSELUG00000020571
pygocentrus_nattereri ENSPNAG00000028061
astyanax_mexicanus ENSAMXG00000032839
danio_rerio ENSDARG00000069260
paramormyrops_kingsleyae ENSPKIG00000007765
monopterus_albus ENSMALG00000007906
gasterosteus_aculeatus ENSGACG00000011670
xiphophorus_maculatus ENSXMAG00000022818
poecilia_formosa ENSPFOG00000023289
oryzias_latipes ENSORLG00000022513
anabas_testudineus ENSATEG00000023514
mola_mola ENSMMOG00000016170
cynoglossus_semilaevis ENSCSEG00000003063
tetraodon_nigroviridis ENSTNIG00000008066
takifugu_rubripes ENSTRUG00000020148
labrus_bergylta ENSLBEG00000025807
seriola_lalandi_dorsalis ENSSLDG00000015189
gadus_morhua ENSGMOG00000005949
gadus_morhua ENSGMOG00000001856
danio_rerio ENSDARG00000078329
ictalurus_punctatus ENSIPUG00000010738
paramormyrops_kingsleyae ENSPKIG00000011018
anolis_carolinensis ENSACAG00000003950
anolis_carolinensis ENSACAG00000027028
sphenodon_punctatus ENSSPUG00000017853
sphenodon_punctatus ENSSPUG00000017850
chrysemys_picta_bellii ENSCPBG00000025782
macaca_fascicularis ENSMFAG00000044083
macaca_mulatta ENSMMUG00000012480
macaca_nemestrina ENSMNEG00000040759
cercocebus_atys ENSCATG00000038181
mandrillus_leucophaeus ENSMLEG00000035360
chlorocebus_sabaeus ENSCSAG00000016044
theropithecus_gelada ENSTGEG00000021941
papio_anubis ENSPANG00000020368
piliocolobus_tephrosceles ENSPTEG00000020334
rhinopithecus_bieti ENSRBIG00000001566
colobus_angolensis_palliatus ENSCANG00000033936
rhinopithecus_roxellana ENSRROG00000040471
pan_paniscus ENSPPAG00000031173
pan_troglodytes ENSPTRG00000006199
homo_sapiens ENSG00000100918
gorilla_gorilla ENSGGOG00000016054
pongo_abelii ENSPPYG00000005687
nomascus_leucogenys ENSNLEG00000015300
cebus_capucinus ENSCCAG00000023660
saimiri_boliviensis_boliviensis ENSSBOG00000018125
aotus_nancymaae ENSANAG00000005303
carlito_syrichta ENSTSYG00000036107
microcebus_murinus ENSMICG00000001711
propithecus_coquereli ENSPCOG00000018317
prolemur_simus ENSPSMG00000015707
otolemur_garnettii ENSOGAG00000010635
tupaia_belangeri ENSTBEG00000017768
chinchilla_lanigera ENSCLAG00000009621
octodon_degus ENSODEG00000002543
cavia_porcellus ENSCPOG00000008313
cavia_aperea ENSCAPG00000016040
heterocephalus_glaber_female ENSHGLG00000001626
fukomys_damarensis ENSFDAG00000009533
ictidomys_tridecemlineatus ENSSTOG00000002276
urocitellus_parryii ENSUPAG00010009635
spermophilus_dauricus ENSSDAG00000022369
marmota_marmota_marmota ENSMMMG00000012150
mus_musculus ENSMUSG00000002324
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020193
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019304
mus_spicilegus ENSMSIG00000031116
mus_pahari MGP_PahariEiJ_G0030321
rattus_norvegicus ENSRNOG00000019503
meriones_unguiculatus ENSMUGG00000008696
cricetulus_griseus_crigri ENSCGRG00000014658
cricetulus_griseus_chok1gshd ENSCGRG00001013513
cricetulus_griseus_crigri-picr ENSCGRG00015018047
mesocricetus_auratus ENSMAUG00000019355
microtus_ochrogaster ENSMOCG00000008584
peromyscus_maniculatus_bairdii ENSPEMG00000013027
nannospalax_galili ENSNGAG00000003689
castor_canadensis ENSCCNG00000001061
ovis_aries ENSOARG00000019194
capra_hircus ENSCHIG00000020164
bison_bison_bison ENSBBBG00000021810
bos_mutus ENSBMUG00000024911
bos_taurus ENSBTAG00000002705
tursiops_truncatus ENSTTRG00000008625
sus_scrofa ENSSSCG00000002001
equus_caballus ENSECAG00000025116
equus_asinus_asinus ENSEASG00005011950
pteropus_vampyrus ENSPVAG00000010754
myotis_lucifugus ENSMLUG00000026414
ursus_americanus ENSUAMG00000024035
ursus_maritimus ENSUMAG00000022701
ailuropoda_melanoleuca ENSAMEG00000016327
mustela_putorius_furo ENSMPUG00000005934
neovison_vison ENSNVIG00000000434
canis_lupus_familiaris ENSCAFG00000012026
canis_lupus_dingo ENSCAFG00020003684
vulpes_vulpes ENSVVUG00000029150
panthera_pardus ENSPPRG00000024017
panthera_tigris_altaica ENSPTIG00000005330
felis_catus ENSFCAG00000027613
sorex_araneus ENSSARG00000010672
erinaceus_europaeus ENSEEUG00000010849
oryctolagus_cuniculus ENSOCUG00000002869
ochotona_princeps ENSOPRG00000016598
dasypus_novemcinctus ENSDNOG00000014351
loxodonta_africana ENSLAFG00000031194
procavia_capensis ENSPCAG00000015558
echinops_telfairi ENSETEG00000018376
phascolarctos_cinereus ENSPCIG00000010724
notamacropus_eugenii ENSMEUG00000010808
sarcophilus_harrisii ENSSHAG00000002442
monodelphis_domestica ENSMODG00000003359
xenopus_tropicalis ENSXETG00000014620
eptatretus_burgeri ENSEBUG00000003048
