maylandia_zebra ENSMZEG00005005463
haplochromis_burtoni ENSHBUG00000006612
pundamilia_nyererei ENSPNYG00000023481
monopterus_albus ENSMALG00000005162
seriola_lalandi_dorsalis ENSSLDG00000015178
seriola_lalandi_dorsalis ENSSLDG00000014663
seriola_dumerili ENSSDUG00000001406
mola_mola ENSMMOG00000021132
mola_mola ENSMMOG00000000636
mola_mola ENSMMOG00000000026
gasterosteus_aculeatus ENSGACG00000019775
gasterosteus_aculeatus ENSGACG00000019778
seriola_dumerili ENSSDUG00000001460
mastacembelus_armatus ENSMAMG00000013722
mastacembelus_armatus ENSMAMG00000000931
mastacembelus_armatus ENSMAMG00000000944
mastacembelus_armatus ENSMAMG00000013699
astatotilapia_calliptera ENSACLG00000016574
