monopterus_albus ENSMALG00000011647
mastacembelus_armatus ENSMAMG00000012632
anabas_testudineus ENSATEG00000005198
scophthalmus_maximus ENSSMAG00000020049
cynoglossus_semilaevis ENSCSEG00000004422
seriola_dumerili ENSSDUG00000006053
seriola_lalandi_dorsalis ENSSLDG00000015467
takifugu_rubripes ENSTRUG00000014606
tetraodon_nigroviridis ENSTNIG00000001068
mola_mola ENSMMOG00000001800
gasterosteus_aculeatus ENSGACG00000008509
labrus_bergylta ENSLBEG00000000996
poecilia_mexicana ENSPMEG00000022696
poecilia_reticulata ENSPREG00000021217
poecilia_latipinna ENSPLAG00000019325
xiphophorus_couchianus ENSXCOG00000019774
xiphophorus_maculatus ENSXMAG00000019788
gambusia_affinis ENSGAFG00000006101
cyprinodon_variegatus ENSCVAG00000011607
fundulus_heteroclitus ENSFHEG00000015806
kryptolebias_marmoratus ENSKMAG00000014351
oryzias_latipes ENSORLG00000008006
oryzias_latipes ENSORLG00020014439
oryzias_latipes_asm223469v1 ENSORLG00015020636
maylandia_zebra ENSMZEG00005014501
pundamilia_nyererei ENSPNYG00000015838
haplochromis_burtoni ENSHBUG00000000965
neolamprologus_brichardi ENSNBRG00000015620
oreochromis_niloticus ENSONIG00000020611
amphilophus_citrinellus ENSACIG00000015547
amphiprion_percula ENSAPEG00000009853
amphiprion_ocellaris ENSAOCG00000023848
acanthochromis_polyacanthus ENSAPOG00000005657
hippocampus_comes ENSHCOG00000018533
periophthalmus_magnuspinnatus ENSPMGG00000012116
gadus_morhua ENSGMOG00000007047
esox_lucius ENSELUG00000002945
pygocentrus_nattereri ENSPNAG00000009037
astyanax_mexicanus ENSAMXG00000025937
ictalurus_punctatus ENSIPUG00000007578
scleropages_formosus ENSSFOG00015000940
paramormyrops_kingsleyae ENSPKIG00000019753
lepisosteus_oculatus ENSLOCG00000018335
gopherus_agassizii ENSGAGG00000025515
chelonoidis_abingdonii ENSCABG00000002076
chrysemys_picta_bellii ENSCPBG00000016748
pelodiscus_sinensis ENSPSIG00000012218
crocodylus_porosus ENSCPRG00005003235
anolis_carolinensis ENSACAG00000003390
pogona_vitticeps ENSPVIG00000003011
notechis_scutatus ENSNSUG00000016914
salvator_merianae ENSSMRG00000005677
sphenodon_punctatus ENSSPUG00000009879
nothoprocta_perdicaria ENSNPEG00000015558
apteryx_rowi ENSARWG00000013813
gallus_gallus ENSGALG00000012688
coturnix_japonica ENSCJPG00005017917
numida_meleagris ENSNMEG00000001898
anser_brachyrhynchus ENSABRG00000012681
anas_platyrhynchos_platyrhynchos ENSAPLG00000021634
junco_hyemalis ENSJHYG00000015072
lonchura_striata_domestica ENSLSDG00000010696
parus_major ENSPMJG00000018200
cyanistes_caeruleus ENSCCEG00000001097
zonotrichia_albicollis ENSZALG00000003409
lepidothrix_coronata ENSLCOG00000005085
calidris_pygmaea ENSCPGG00000015583
calidris_pugnax ENSCPUG00000005159
phascolarctos_cinereus ENSPCIG00000013366
sarcophilus_harrisii ENSSHAG00000015039
monodelphis_domestica ENSMODG00000011227
notamacropus_eugenii ENSMEUG00000015140
neovison_vison ENSNVIG00000019748
mustela_putorius_furo ENSMPUG00000005133
ursus_americanus ENSUAMG00000014174
canis_lupus_familiaris ENSCAFG00000010151
canis_lupus_dingo ENSCAFG00020010518
vulpes_vulpes ENSVVUG00000003126
panthera_pardus ENSPPRG00000010753
panthera_tigris_altaica ENSPTIG00000004396
felis_catus ENSFCAG00000004265
bison_bison_bison ENSBBBG00000011710
bos_taurus ENSBTAG00000012087
capra_hircus ENSCHIG00000022100
ovis_aries ENSOARG00000020102
tursiops_truncatus ENSTTRG00000007132
equus_caballus ENSECAG00000002623
equus_asinus_asinus ENSEASG00005009535
pteropus_vampyrus ENSPVAG00000010831
erinaceus_europaeus ENSEEUG00000005716
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019365
mus_musculus ENSMUSG00000044231
mus_spicilegus ENSMSIG00000000524
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018485
mus_pahari MGP_PahariEiJ_G0019553
rattus_norvegicus ENSRNOG00000026286
meriones_unguiculatus ENSMUGG00000015548
cricetulus_griseus_crigri-picr ENSCGRG00015002611
cricetulus_griseus_chok1gshd ENSCGRG00001012520
cricetulus_griseus_crigri ENSCGRG00000013183
microtus_ochrogaster ENSMOCG00000002593
peromyscus_maniculatus_bairdii ENSPEMG00000014363
nannospalax_galili ENSNGAG00000002309
jaculus_jaculus ENSJJAG00000023113
dipodomys_ordii ENSDORG00000004597
heterocephalus_glaber_male ENSHGLG00100003530
heterocephalus_glaber_female ENSHGLG00000008705
cavia_porcellus ENSCPOG00000026167
castor_canadensis ENSCCNG00000027320
urocitellus_parryii ENSUPAG00010019969
spermophilus_dauricus ENSSDAG00000023553
ictidomys_tridecemlineatus ENSSTOG00000028904
marmota_marmota_marmota ENSMMMG00000016241
oryctolagus_cuniculus ENSOCUG00000003851
ochotona_princeps ENSOPRG00000003436
prolemur_simus ENSPSMG00000025413
otolemur_garnettii ENSOGAG00000007737
pan_troglodytes ENSPTRG00000017755
pan_paniscus ENSPPAG00000011964
gorilla_gorilla ENSGGOG00000016684
homo_sapiens ENSG00000187566
pongo_abelii ENSPPYG00000016262
nomascus_leucogenys ENSNLEG00000018685
macaca_nemestrina ENSMNEG00000000708
macaca_fascicularis ENSMFAG00000010699
macaca_mulatta ENSMMUG00000016626
cercocebus_atys ENSCATG00000002581
mandrillus_leucophaeus ENSMLEG00000027331
theropithecus_gelada ENSTGEG00000018869
papio_anubis ENSPANG00000018224
chlorocebus_sabaeus ENSCSAG00000019106
colobus_angolensis_palliatus ENSCANG00000000852
piliocolobus_tephrosceles ENSPTEG00000012219
rhinopithecus_roxellana ENSRROG00000031410
cebus_capucinus ENSCCAG00000005020
saimiri_boliviensis_boliviensis ENSSBOG00000005358
callithrix_jacchus ENSCJAG00000039154
aotus_nancymaae ENSANAG00000008212
procavia_capensis ENSPCAG00000002477
echinops_telfairi ENSETEG00000017025
dasypus_novemcinctus ENSDNOG00000006121
ornithorhynchus_anatinus ENSOANG00000011852
xenopus_tropicalis ENSXETG00000015428
latimeria_chalumnae ENSLACG00000005206
