seriola_dumerili ENSSDUG00000005872
seriola_lalandi_dorsalis ENSSLDG00000015308
scophthalmus_maximus ENSSMAG00000020144
monopterus_albus ENSMALG00000011502
mastacembelus_armatus ENSMAMG00000012908
anabas_testudineus ENSATEG00000005514
seriola_lalandi_dorsalis ENSSLDG00000004416
cynoglossus_semilaevis ENSCSEG00000004324
mola_mola ENSMMOG00000001717
takifugu_rubripes ENSTRUG00000021896
labrus_bergylta ENSLBEG00000000603
amphiprion_ocellaris ENSAOCG00000023703
amphiprion_percula ENSAPEG00000010156
acanthochromis_polyacanthus ENSAPOG00000005856
stegastes_partitus ENSSPAG00000008013
xiphophorus_couchianus ENSXCOG00000019785
xiphophorus_maculatus ENSXMAG00000024134
poecilia_formosa ENSPFOG00000002440
poecilia_latipinna ENSPLAG00000015748
poecilia_mexicana ENSPMEG00000001593
poecilia_reticulata ENSPREG00000000845
gambusia_affinis ENSGAFG00000005968
fundulus_heteroclitus ENSFHEG00000015565
cyprinodon_variegatus ENSCVAG00000011829
maylandia_zebra ENSMZEG00005014364
pundamilia_nyererei ENSPNYG00000015636
haplochromis_burtoni ENSHBUG00000017223
astatotilapia_calliptera ENSACLG00000004127
neolamprologus_brichardi ENSNBRG00000015892
amphilophus_citrinellus ENSACIG00000015753
oryzias_latipes ENSORLG00020014635
oryzias_latipes_asm223469v1 ENSORLG00015020874
oryzias_latipes ENSORLG00000007880
oryzias_melastigma ENSOMEG00000021384
hippocampus_comes ENSHCOG00000000145
kryptolebias_marmoratus ENSKMAG00000014561
periophthalmus_magnuspinnatus ENSPMGG00000011851
esox_lucius ENSELUG00000003006
pygocentrus_nattereri ENSPNAG00000022117
astyanax_mexicanus ENSAMXG00000042471
ictalurus_punctatus ENSIPUG00000000046
danio_rerio ENSDARG00000091079
lepisosteus_oculatus ENSLOCG00000011592
anolis_carolinensis ENSACAG00000013606
pogona_vitticeps ENSPVIG00000016300
notechis_scutatus ENSNSUG00000015188
salvator_merianae ENSSMRG00000003463
sphenodon_punctatus ENSSPUG00000006180
lonchura_striata_domestica ENSLSDG00000002030
taeniopygia_guttata ENSTGUG00000002770
serinus_canaria ENSSCAG00000014831
zonotrichia_albicollis ENSZALG00000010881
junco_hyemalis ENSJHYG00000004978
cyanistes_caeruleus ENSCCEG00000000730
parus_major ENSPMJG00000000709
ficedula_albicollis ENSFALG00000009627
lepidothrix_coronata ENSLCOG00000012343
manacus_vitellinus ENSMVIG00005017679
calidris_pygmaea ENSCPGG00000004150
calidris_pugnax ENSCPUG00000010872
melopsittacus_undulatus ENSMUNG00000014583
anser_brachyrhynchus ENSABRG00000010548
anas_platyrhynchos_platyrhynchos ENSAPLG00000013280
coturnix_japonica ENSCJPG00005012072
gallus_gallus ENSGALG00000010954
meleagris_gallopavo ENSMGAG00000010496
numida_meleagris ENSNMEG00000007394
apteryx_owenii ENSAOWG00000005510
apteryx_haastii ENSAHAG00000008462
apteryx_rowi ENSARWG00000016934
nothoprocta_perdicaria ENSNPEG00000002629
crocodylus_porosus ENSCPRG00005015969
pelodiscus_sinensis ENSPSIG00000014119
chrysemys_picta_bellii ENSCPBG00000022463
mus_spicilegus ENSMSIG00000020518
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029366
mus_musculus ENSMUSG00000029815
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028363
mus_pahari MGP_PahariEiJ_G0022113
rattus_norvegicus ENSRNOG00000009035
meriones_unguiculatus ENSMUGG00000019119
peromyscus_maniculatus_bairdii ENSPEMG00000030325
peromyscus_maniculatus_bairdii ENSPEMG00000020458
microtus_ochrogaster ENSMOCG00000011177
cricetulus_griseus_crigri-picr ENSCGRG00015019444
cricetulus_griseus_chok1gshd ENSCGRG00001007836
cricetulus_griseus_crigri ENSCGRG00000005563
mesocricetus_auratus ENSMAUG00000000260
nannospalax_galili ENSNGAG00000022280
jaculus_jaculus ENSJJAG00000024157
castor_canadensis ENSCCNG00000021516
dipodomys_ordii ENSDORG00000014184
urocitellus_parryii ENSUPAG00010015195
spermophilus_dauricus ENSSDAG00000010269
ictidomys_tridecemlineatus ENSSTOG00000027376
marmota_marmota_marmota ENSMMMG00000005281
cavia_aperea ENSCAPG00000006950
cavia_porcellus ENSCPOG00000015067
octodon_degus ENSODEG00000008210
chinchilla_lanigera ENSCLAG00000008469
heterocephalus_glaber_male ENSHGLG00100009667
heterocephalus_glaber_female ENSHGLG00000014820
tupaia_belangeri ENSTBEG00000000719
pan_troglodytes ENSPTRG00000018985
pan_paniscus ENSPPAG00000029348
gorilla_gorilla ENSGGOG00000010277
homo_sapiens ENSG00000156928
pongo_abelii ENSPPYG00000017731
nomascus_leucogenys ENSNLEG00000033575
rhinopithecus_roxellana ENSRROG00000044633
rhinopithecus_bieti ENSRBIG00000043513
colobus_angolensis_palliatus ENSCANG00000031341
piliocolobus_tephrosceles ENSPTEG00000037116
mandrillus_leucophaeus ENSMLEG00000041736
cercocebus_atys ENSCATG00000039054
macaca_fascicularis ENSMFAG00000043713
macaca_mulatta ENSMMUG00000004841
macaca_nemestrina ENSMNEG00000035724
papio_anubis ENSPANG00000016790
theropithecus_gelada ENSTGEG00000022283
chlorocebus_sabaeus ENSCSAG00000013969
saimiri_boliviensis_boliviensis ENSSBOG00000018985
cebus_capucinus ENSCCAG00000036592
callithrix_jacchus ENSCJAG00000042462
aotus_nancymaae ENSANAG00000038181
carlito_syrichta ENSTSYG00000012660
propithecus_coquereli ENSPCOG00000023462
microcebus_murinus ENSMICG00000033474
prolemur_simus ENSPSMG00000004591
otolemur_garnettii ENSOGAG00000017157
pteropus_vampyrus ENSPVAG00000011294
myotis_lucifugus ENSMLUG00000027691
bos_mutus ENSBMUG00000021893
bison_bison_bison ENSBBBG00000004003
capra_hircus ENSCHIG00000023356
ovis_aries ENSOARG00000012833
tursiops_truncatus ENSTTRG00000008920
sus_scrofa ENSSSCG00000036722
erinaceus_europaeus ENSEEUG00000010411
ailuropoda_melanoleuca ENSAMEG00000003483
ursus_maritimus ENSUMAG00000000343
mustela_putorius_furo ENSMPUG00000013534
neovison_vison ENSNVIG00000013104
canis_lupus_familiaris ENSCAFG00000002755
canis_lupus_dingo ENSCAFG00020002703
panthera_pardus ENSPPRG00000019365
panthera_tigris_altaica ENSPTIG00000007567
felis_catus ENSFCAG00000029829
equus_caballus ENSECAG00000016105
equus_asinus_asinus ENSEASG00005021994
choloepus_hoffmanni ENSCHOG00000002338
dasypus_novemcinctus ENSDNOG00000025603
loxodonta_africana ENSLAFG00000011921
echinops_telfairi ENSETEG00000015566
ochotona_princeps ENSOPRG00000010485
bos_taurus ENSBTAG00000019403
oryctolagus_cuniculus ENSOCUG00000008972
phascolarctos_cinereus ENSPCIG00000007943
notamacropus_eugenii ENSMEUG00000001727
sarcophilus_harrisii ENSSHAG00000007578
monodelphis_domestica ENSMODG00000001030
ornithorhynchus_anatinus ENSOANG00000014204
xenopus_tropicalis ENSXETG00000027527
latimeria_chalumnae ENSLACG00000012849
paramormyrops_kingsleyae ENSPKIG00000009997
scleropages_formosus ENSSFOG00015021332
petromyzon_marinus ENSPMAG00000005968
eptatretus_burgeri ENSEBUG00000015718
drosophila_melanogaster FBgn0029514
