mastacembelus_armatus ENSMAMG00000008674
anabas_testudineus ENSATEG00000000422
scophthalmus_maximus ENSSMAG00000003417
cynoglossus_semilaevis ENSCSEG00000004577
seriola_lalandi_dorsalis ENSSLDG00000024599
seriola_dumerili ENSSDUG00000000571
mola_mola ENSMMOG00000017483
takifugu_rubripes ENSTRUG00000022517
labrus_bergylta ENSLBEG00000012603
amphiprion_percula ENSAPEG00000013399
amphiprion_ocellaris ENSAOCG00000004070
acanthochromis_polyacanthus ENSAPOG00000009354
stegastes_partitus ENSSPAG00000007568
gasterosteus_aculeatus ENSGACG00000012777
monopterus_albus ENSMALG00000021331
xiphophorus_maculatus ENSXMAG00000012880
xiphophorus_couchianus ENSXCOG00000002708
gambusia_affinis ENSGAFG00000014937
poecilia_mexicana ENSPMEG00000000906
poecilia_formosa ENSPFOG00000016968
poecilia_latipinna ENSPLAG00000004294
fundulus_heteroclitus ENSFHEG00000012904
cyprinodon_variegatus ENSCVAG00000011541
kryptolebias_marmoratus ENSKMAG00000017770
oryzias_melastigma ENSOMEG00000006771
maylandia_zebra ENSMZEG00005018522
pundamilia_nyererei ENSPNYG00000024119
astatotilapia_calliptera ENSACLG00000004094
haplochromis_burtoni ENSHBUG00000013330
neolamprologus_brichardi ENSNBRG00000021792
oreochromis_niloticus ENSONIG00000016969
amphilophus_citrinellus ENSACIG00000013631
oryzias_latipes ENSORLG00000015849
oryzias_latipes ENSORLG00020015151
oryzias_latipes_asm223469v1 ENSORLG00015010211
oryzias_melastigma ENSOMEG00000019643
gambusia_affinis ENSGAFG00000004917
xiphophorus_maculatus ENSXMAG00000003824
poecilia_reticulata ENSPREG00000003572
acanthochromis_polyacanthus ENSAPOG00000010674
seriola_lalandi_dorsalis ENSSLDG00000007124
periophthalmus_magnuspinnatus ENSPMGG00000002328
tetraodon_nigroviridis ENSTNIG00000004837
esox_lucius ENSELUG00000001204
pygocentrus_nattereri ENSPNAG00000017194
astyanax_mexicanus ENSAMXG00000007635
ictalurus_punctatus ENSIPUG00000000533
danio_rerio ENSDARG00000078279
pygocentrus_nattereri ENSPNAG00000023850
astyanax_mexicanus ENSAMXG00000000184
ictalurus_punctatus ENSIPUG00000003361
danio_rerio ENSDARG00000055750
scleropages_formosus ENSSFOG00015020151
lepisosteus_oculatus ENSLOCG00000014427
