heterocephalus_glaber_male ENSHGLG00100012417
heterocephalus_glaber_female ENSHGLG00000006341
fukomys_damarensis ENSFDAG00000016436
chinchilla_lanigera ENSCLAG00000008594
castor_canadensis ENSCCNG00000021368
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029479
mus_spicilegus ENSMSIG00000022647
mus_musculus ENSMUSG00000049093
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028474
mus_pahari MGP_PahariEiJ_G0022210
rattus_norvegicus ENSRNOG00000007544
meriones_unguiculatus ENSMUGG00000024014
cricetulus_griseus_chok1gshd ENSCGRG00001014663
cricetulus_griseus_crigri ENSCGRG00000000237
cricetulus_griseus_crigri-picr ENSCGRG00015014033
mesocricetus_auratus ENSMAUG00000014424
microtus_ochrogaster ENSMOCG00000010821
peromyscus_maniculatus_bairdii ENSPEMG00000020840
nannospalax_galili ENSNGAG00000017497
ictidomys_tridecemlineatus ENSSTOG00000005238
urocitellus_parryii ENSUPAG00010013875
spermophilus_dauricus ENSSDAG00000018653
marmota_marmota_marmota ENSMMMG00000012144
oryctolagus_cuniculus ENSOCUG00000008918
ochotona_princeps ENSOPRG00000016196
tupaia_belangeri ENSTBEG00000003384
pan_paniscus ENSPPAG00000019836
pan_troglodytes ENSPTRG00000000839
gorilla_gorilla ENSGGOG00000006543
homo_sapiens ENSG00000162594
pongo_abelii ENSPPYG00000001258
nomascus_leucogenys ENSNLEG00000009199
colobus_angolensis_palliatus ENSCANG00000023764
piliocolobus_tephrosceles ENSPTEG00000013577
rhinopithecus_roxellana ENSRROG00000043794
rhinopithecus_bieti ENSRBIG00000030662
mandrillus_leucophaeus ENSMLEG00000036045
cercocebus_atys ENSCATG00000043155
macaca_nemestrina ENSMNEG00000041313
macaca_mulatta ENSMMUG00000000648
macaca_fascicularis ENSMFAG00000003679
theropithecus_gelada ENSTGEG00000014104
papio_anubis ENSPANG00000000873
chlorocebus_sabaeus ENSCSAG00000001363
cebus_capucinus ENSCCAG00000026286
saimiri_boliviensis_boliviensis ENSSBOG00000031496
callithrix_jacchus ENSCJAG00000017407
aotus_nancymaae ENSANAG00000036542
carlito_syrichta ENSTSYG00000007136
prolemur_simus ENSPSMG00000005526
microcebus_murinus ENSMICG00000000494
propithecus_coquereli ENSPCOG00000028626
otolemur_garnettii ENSOGAG00000006646
bison_bison_bison ENSBBBG00000013005
bison_bison_bison ENSBBBG00000002584
bos_mutus ENSBMUG00000010567
bos_taurus ENSBTAG00000014983
ovis_aries ENSOARG00000011083
capra_hircus ENSCHIG00000023744
tursiops_truncatus ENSTTRG00000009453
sus_scrofa ENSSSCG00000003801
vicugna_pacos ENSVPAG00000000921
ursus_maritimus ENSUMAG00000006850
ursus_americanus ENSUAMG00000020400
ailuropoda_melanoleuca ENSAMEG00000004611
mustela_putorius_furo ENSMPUG00000000781
neovison_vison ENSNVIG00000010999
canis_lupus_dingo ENSCAFG00020020599
canis_lupus_familiaris ENSCAFG00000018542
vulpes_vulpes ENSVVUG00000015557
panthera_tigris_altaica ENSPTIG00000013297
panthera_pardus ENSPPRG00000004538
felis_catus ENSFCAG00000001939
sorex_araneus ENSSARG00000008628
erinaceus_europaeus ENSEEUG00000005778
pteropus_vampyrus ENSPVAG00000017656
myotis_lucifugus ENSMLUG00000017295
equus_caballus ENSECAG00000017239
equus_asinus_asinus ENSEASG00005007895
dasypus_novemcinctus ENSDNOG00000008682
choloepus_hoffmanni ENSCHOG00000003628
loxodonta_africana ENSLAFG00000017639
procavia_capensis ENSPCAG00000014121
echinops_telfairi ENSETEG00000016751
notamacropus_eugenii ENSMEUG00000001264
phascolarctos_cinereus ENSPCIG00000028903
sarcophilus_harrisii ENSSHAG00000006594
monodelphis_domestica ENSMODG00000000877
ornithorhynchus_anatinus ENSOANG00000007770
lepidothrix_coronata ENSLCOG00000003660
manacus_vitellinus ENSMVIG00005007148
parus_major ENSPMJG00000012356
melopsittacus_undulatus ENSMUNG00000012267
calidris_pugnax ENSCPUG00000015110
calidris_pygmaea ENSCPGG00000000873
meleagris_gallopavo ENSMGAG00000017239
anas_platyrhynchos_platyrhynchos ENSAPLG00000027831
apteryx_owenii ENSAOWG00000013649
apteryx_haastii ENSAHAG00000005442
apteryx_rowi ENSARWG00000011483
nothoprocta_perdicaria ENSNPEG00000001361
crocodylus_porosus ENSCPRG00005011584
chelonoidis_abingdonii ENSCABG00000002595
gopherus_agassizii ENSGAGG00000013839
chrysemys_picta_bellii ENSCPBG00000001413
pelodiscus_sinensis ENSPSIG00000006733
pogona_vitticeps ENSPVIG00000003825
anolis_carolinensis ENSACAG00000027663
notechis_scutatus ENSNSUG00000003518
salvator_merianae ENSSMRG00000019968
bos_mutus ENSBMUG00000010553
latimeria_chalumnae ENSLACG00000009246
