oryzias_latipes ENSORLG00000026823
oryzias_melastigma ENSOMEG00000018815
kryptolebias_marmoratus ENSKMAG00000020970
tetraodon_nigroviridis ENSTNIG00000011231
periophthalmus_magnuspinnatus ENSPMGG00000010454
amphilophus_citrinellus ENSACIG00000021160
maylandia_zebra ENSMZEG00005000220
fundulus_heteroclitus ENSFHEG00000020907
gambusia_affinis ENSGAFG00000018593
gasterosteus_aculeatus ENSGACG00000004458
seriola_dumerili ENSSDUG00000006661
seriola_lalandi_dorsalis ENSSLDG00000000616
poecilia_formosa ENSPFOG00000015924
poecilia_reticulata ENSPREG00000013219
tetraodon_nigroviridis ENSTNIG00000013322
gasterosteus_aculeatus ENSGACG00000009340
poecilia_formosa ENSPFOG00000009887
cynoglossus_semilaevis ENSCSEG00000015370
amphiprion_ocellaris ENSAOCG00000020548
amphiprion_percula ENSAPEG00000019853
anabas_testudineus ENSATEG00000000954
mastacembelus_armatus ENSMAMG00000019242
astyanax_mexicanus ENSAMXG00000006555
pygocentrus_nattereri ENSPNAG00000014862
danio_rerio ENSDARG00000003395
