calidris_pygmaea ENSCPGG00000017843
calidris_pugnax ENSCPUG00000004450
manacus_vitellinus ENSMVIG00005002927
manacus_vitellinus ENSMVIG00005003748
lepidothrix_coronata ENSLCOG00000016350
ficedula_albicollis ENSFALG00000001999
lonchura_striata ENSLSDG00000010821
taeniopygia_guttata ENSTGUG00000008226
serinus_canaria ENSSCAG00000015893
zonotrichia_albicollis ENSZALG00000017631
junco_hyemalis ENSJHYG00000014191
cyanistes_caeruleus ENSCCEG00000023623
parus_major ENSPMJG00000018590
melopsittacus_undulatus ENSMUNG00000008142
anser_brachyrhynchus ENSABRG00000023191
anas_platyrhynchos ENSAPLG00000003249
meleagris_gallopavo ENSMGAG00000010060
coturnix_japonica ENSCJPG00005017821
gallus_gallus ENSGALG00000009551
numida_meleagris ENSNMEG00000022404
apteryx_owenii ENSAOWG00000000612
apteryx_haastii ENSAHAG00000006801
apteryx_rowi ENSARWG00000007179
dromaius_novaehollandiae ENSDNVG00000017963
nothoprocta_perdicaria ENSNPEG00000000359
crocodylus_porosus ENSCPRG00005014222
gopherus_agassizii ENSGAGG00000017750
chelonoidis_abingdonii ENSCABG00000004117
chrysemys_picta ENSCPBG00000005605
pelodiscus_sinensis ENSPSIG00000014619
anolis_carolinensis ENSACAG00000016359
notechis_scutatus ENSNSUG00000014387
pogona_vitticeps ENSPVIG00000016061
salvator_merianae ENSSMRG00000013755
sphenodon_punctatus ENSSPUG00000011229
vombatus_ursinus ENSVURG00010019867
phascolarctos_cinereus ENSPCIG00000022788
notamacropus_eugenii ENSMEUG00000006864
sarcophilus_harrisii ENSSHAG00000015273
monodelphis_domestica ENSMODG00000008772
dasypus_novemcinctus ENSDNOG00000019138
choloepus_hoffmanni ENSCHOG00000012322
loxodonta_africana ENSLAFG00000018517
echinops_telfairi ENSETEG00000012282
chinchilla_lanigera ENSCLAG00000003269
chinchilla_lanigera ENSCLAG00000002122
cavia_porcellus ENSCPOG00000014814
heterocephalus_glaber ENSHGLG00000018773
heterocephalus_glaber ENSHGLG00100006686
fukomys_damarensis ENSFDAG00000016421
ictidomys_tridecemlineatus ENSSTOG00000009040
spermophilus_dauricus ENSSDAG00000010680
urocitellus_parryii ENSUPAG00010010286
marmota_marmota ENSMMMG00000023624
castor_canadensis ENSCCNG00000029972
dipodomys_ordii ENSDORG00000015988
mus_musculus ENSMUSG00000027012
mus_spicilegus ENSMSIG00000007114
mus_spretus MGP_SPRETEiJ_G0024564
mus_caroli MGP_CAROLIEiJ_G0023642
mus_pahari MGP_PahariEiJ_G0025094
rattus_norvegicus ENSRNOG00000009781
meriones_unguiculatus ENSMUGG00000018598
peromyscus_maniculatus ENSPEMG00000023906
microtus_ochrogaster ENSMOCG00000017469
cricetulus_griseus ENSCGRG00001000739
cricetulus_griseus ENSCGRG00015002593
cricetulus_griseus ENSCGRG00000003253
nannospalax_galili ENSNGAG00000022933
jaculus_jaculus ENSJJAG00000022472
oryctolagus_cuniculus ENSOCUG00000009944
ochotona_princeps ENSOPRG00000014746
pan_troglodytes ENSPTRG00000023476
pan_paniscus ENSPPAG00000028769
homo_sapiens ENSG00000077380
gorilla_gorilla ENSGGOG00000002696
pongo_abelii ENSPPYG00000012930
nomascus_leucogenys ENSNLEG00000005419
macaca_fascicularis ENSMFAG00000046037
macaca_nemestrina ENSMNEG00000033393
cercocebus_atys ENSCATG00000029930
mandrillus_leucophaeus ENSMLEG00000032461
theropithecus_gelada ENSTGEG00000018397
papio_anubis ENSPANG00000025360
chlorocebus_sabaeus ENSCSAG00000014831
rhinopithecus_roxellana ENSRROG00000041352
rhinopithecus_bieti ENSRBIG00000027400
colobus_angolensis ENSCANG00000035147
callithrix_jacchus ENSCJAG00000007196
callithrix_jacchus ENSCJAG00000056010
cebus_capucinus ENSCCAG00000032503
saimiri_boliviensis ENSSBOG00000028159
aotus_nancymaae ENSANAG00000034069
carlito_syrichta ENSTSYG00000001700
microcebus_murinus ENSMICG00000006950
propithecus_coquereli ENSPCOG00000015276
propithecus_coquereli ENSPCOG00000026647
prolemur_simus ENSPSMG00000023405
otolemur_garnettii ENSOGAG00000000379
tupaia_belangeri ENSTBEG00000006558
ursus_americanus ENSUAMG00000015273
ursus_maritimus ENSUMAG00000014430
ailuropoda_melanoleuca ENSAMEG00000008582
canis_lupus ENSCAFG00020003396
canis_lupus ENSCAFG00000012696
vulpes_vulpes ENSVVUG00000015635
mustela_putorius ENSMPUG00000000825
neovison_vison ENSNVIG00000006700
panthera_pardus ENSPPRG00000020631
panthera_tigris ENSPTIG00000021581
equus_asinus ENSEASG00005022658
equus_caballus ENSECAG00000007660
bos_indicus ENSBIXG00005027153
bos_indicus ENSBIXG00000025195
bos_mutus ENSBMUG00000002038
bison_bison ENSBBBG00000019323
ovis_aries ENSOARG00000001885
capra_hircus ENSCHIG00000025418
tursiops_truncatus ENSTTRG00000011355
sus_scrofa ENSSSCG00000015948
vicugna_pacos ENSVPAG00000001834
sorex_araneus ENSSARG00000002780
erinaceus_europaeus ENSEEUG00000001131
pteropus_vampyrus ENSPVAG00000007989
myotis_lucifugus ENSMLUG00000000251
piliocolobus_tephrosceles ENSPTEG00000037609
macaca_mulatta ENSMMUG00000007301
bos_taurus ENSBTAG00000002646
felis_catus ENSFCAG00000004593
octodon_degus ENSODEG00000010272
carlito_syrichta ENSTSYG00000029625
procavia_capensis ENSPCAG00000008599
cavia_aperea ENSCAPG00000008198
ornithorhynchus_anatinus ENSOANG00000008576
xenopus_tropicalis ENSXETG00000009634
latimeria_chalumnae ENSLACG00000008325
scleropages_formosus ENSSFOG00015019650
paramormyrops_kingsleyae ENSPKIG00000005981
scleropages_formosus ENSSFOG00015000807
paramormyrops_kingsleyae ENSPKIG00000018984
clupea_harengus ENSCHAG00000027302
denticeps_clupeoides ENSDCDG00000032567
astyanax_mexicanus ENSAMXG00000011514
astyanax_mexicanus ENSAMXG00005025275
pygocentrus_nattereri ENSPNAG00000020336
ictalurus_punctatus ENSIPUG00000020518
electrophorus_electricus ENSEEEG00000019800
danio_rerio ENSDARG00000078386
periophthalmus_magnuspinnatus ENSPMGG00000011436
gouania_willdenowi ENSGWIG00000007170
cynoglossus_semilaevis ENSCSEG00000008271
takifugu_rubripes ENSTRUG00000017770
tetraodon_nigroviridis ENSTNIG00000016935
larimichthys_crocea ENSLCRG00005015740
mola_mola ENSMMOG00000002009
labrus_bergylta ENSLBEG00000018242
cottoperca_gobio ENSCGOG00000018011
gasterosteus_aculeatus ENSGACG00000004990
mastacembelus_armatus ENSMAMG00000005387
monopterus_albus ENSMALG00000008523
anabas_testudineus ENSATEG00000016242
betta_splendens ENSBSLG00000010752
seriola_lalandi ENSSLDG00000013231
seriola_dumerili ENSSDUG00000020724
lates_calcarifer ENSLCAG00010025443
scophthalmus_maximus ENSSMAG00000014253
amphiprion_percula ENSAPEG00000021434
