panthera_tigris_altaica ENSPTIG00000017045
vulpes_vulpes ENSVVUG00000010516
capra_hircus ENSCHIG00000000445
myotis_lucifugus ENSMLUG00000027987
rhinopithecus_roxellana ENSRROG00000043929
rhinopithecus_bieti ENSRBIG00000008179
saimiri_boliviensis_boliviensis ENSSBOG00000027541
carlito_syrichta ENSTSYG00000028371
propithecus_coquereli ENSPCOG00000014655
prolemur_simus ENSPSMG00000009795
castor_canadensis ENSCCNG00000003517
numida_meleagris ENSNMEG00000011327
gadus_morhua ENSGMOG00000011436
fundulus_heteroclitus ENSFHEG00000018870
